"currency_id","name","description","category_id","faction_id","max_quantity","flags_0","flags_1"
"1388","Armor Scraps","Gathered from enemy troops and vehicles throughout the warfront. Used in the training of troops and advancing research.","1","0","500",,
"1401","Stronghold Supplies","Used to build structures and perform research upgrades within a Warfront.","1","0","1000",,
"1534","Zandalari Archaeology Fragment","","82","0","200",,
"1535","Drust Archaeology Fragment","","82","0","200",,
"1540","Wood","Gathered by harvesting trees and piles of wood throughout the warfront. Used to construct buildings and upgrade troops.","142","0","100",,
"1541","Iron","Gathered throughout the warfront. Used to construct buildings and increase the power of you and your allies.","142","0","200",,
"1553","Azerite","The blood of Azeroth crystalizes into chunks of Azerite, an extremely potent and powerful material.","144","0","0",,
"1559","Essence of Storms","Extremely rare, found while killing enemies in the warfront. Used to grant yourself unbridled power at the Altar.","142","0","1",,
"1560","War Resources","Used to recruit troops, run missions, and research upgrades for your war effort.","143","0","0",,
"1565","Rich Azerite Fragment","A fragment of rich Azerite. Turn-in to a nearby War Master for rewards.","143","0","100000",,
"1579","Champions of Azeroth","Grants reputation with the Champions of Azeroth.","142","2164","0",,
"1580","Seal of Wartorn Fate","Twists fate to provide an opportunity for additional treasure from Battle for Azeroth raid and dungeon bosses.","143","0","5",,
"1585","Honor","Granted from slaying enemies of your faction","144","0","0",,
"1586","Honor Level","Granted from slaying many enemies of your faction","144","0","0",,
"1587","War Supplies","Used to raise a force for the Battle of Stromgarde","143","0","1000",,
"1592","Order of Embers","Grants reputation with the Order of Embers.","142","2161","0",,
"1593","Proudmoore Admiralty","Grants reputation with Proudmoore Admiralty.","142","2160","0",,
"1594","Storm's Wake","Grants reputation with Storm's Wake.","142","2162","0",,
"1595","Talanji's Expedition","Grants reputation with Talanji's Expedition.","142","2156","0",,
"1596","Voldunai","Grants reputation with the Voldunai.","142","2158","0",,
"1597","Zandalari Empire","Grants reputation with the Zandalari Empire.","142","2103","0",,
"1598","Tortollan Seekers","Grants reputation with the Tortollan Seekers.","142","2163","0",,
"1599","7th Legion","Grants reputation with the 7th Legion.","142","2159","0",,
"1600","Honorbound","Grants reputation with the Honorbound.","142","2157","0",,
"1602","Conquest","Earned from PvP activities.","142","0","0",,
"1703","BFA Season Rated Participation Currency","","142","0","900000",,
"1704","Spirit Shard","The shard pulses with energy.","23","0","200",,
"1705","Warfronts - Personal Tracker - Iron in Chest (Hidden)","","142","0","200",,
"1710","Seafarer's Dubloon","Currency used by the many varied tribes of the Great Sea. Used to procure items from traders on Island Expeditions.","143","0","0",,
"1714","Warfronts - Personal Tracker - Wood in Chest (Hidden)","","142","0","100",,
"1716","Honorbound Service Medal","A badge of merit for action taken on the battlefields of Kul Tiras, Zandalar, and active Warfronts. Sought by Provisioner Mukra at the port of Zandalar. For the Horde!","143","0","0",,
"1717","7th Legion Service Medal","A badge of merit for action taken on the battlefields of Kul Tiras, Zandalar, and active Warfronts. Sought by Provisioner Stoutforge in Boralus. For the Alliance!","143","0","0",,
"1718","Titan Residuum","Unpowered remnants of Azerite armor coveted by ethereal traders in Boralus and Zandalar. Obtained from Mythic Keystone weekly chests and by scrapping or disenchanting Azerite armor.","143","0","0",,
"1719","Corrupted Mementos","Fragments of memory from Horrific Visions of N'Zoth which can be analyzed at the Titanic Research Archive in the Chamber of Heart.","143","0","0",,
"1721","Prismatic Manapearl","A glistening sphere of arcane energy found around Nazjatar. These can be traded for rare and powerful items, or used to empower Benthic armor.","143","0","0",,
"1722","Azerite Ore","Gathered across the Island. Used to construct outpost buildings.","142","0","100",,
"1723","Lumber","Gathered across the Island. Used to construct outpost buildings.","142","0","30",,
"1738","Unshackled","Grants reputation with the Unshackled.","142","2373","0",,
"1739","Ankoan","Grants reputation with the Ankoan.","142","2400","0",,
"1740","Rustbolt Resistance (Hidden)","Grants reputation with the Rustbolt Resistance.","142","2391","0",,
"1742","Rustbolt Resistance","Grants reputation with the Rustbolt Resistance.","142","2391","0",,
"1743","8.2 NOT CURRENTLY USED","","143","0","0",,
"1744","Corrupted Memento","","142","0","0",,
"1745","Nazjatar Ally - Neri Sharpfin","Grants combat experience for Neri Sharpfin.","142","2389","0",,
"1746","Nazjatar Ally - Vim Brineheart","Grants combat experience for Vim Brineheart.","142","2390","0",,
"1747","Nazjatar Ally - Poen Gillbrack","Grants combat experience for Poen Gillbrack.","142","2388","0",,
"1748","Nazjatar Ally - Bladesman Inowari","Grants combat experience for Bladesman Inowari.","142","2377","0",,
"1749","Nazjatar Ally - Hunter Akana","Grants combat experience for Hunter Akana.","142","2375","0",,
"1750","Nazjatar Ally - Farseer Ori","Grants combat experience for Farseer Ori.","142","2376","0",,
"1752","Honeyback Hive","Grants reputation with the Honeyback Hive.","142","2395","0",,
"1755","Coalescing Visions","Wrathion can manipulate these visions into a vessel that will allow you to gain access to a Horrific Vision of N'Zoth.","143","0","0",,
"1757","Uldum Accord","Grants reputation with the Uldum Accord.","142","2417","0",,
"1758","Rajani","Grants reputation with the Rajani.","142","2415","0",,
"1803","Echoes of Ny'alotha","Scoured of N'Zoth's corruption, MOTHER can use this substance to synthesize essences in the Chamber of Heart.","143","0","0",,
