"status","map_id","name","parent_map_id","system","type","flags"
"primary_map_confirmed","862","Zuldazar","875","0","3","6"
"primary_map_confirmed","863","Nazmir","875","0","3","6"
"primary_map_confirmed","864","Vol'dun","875","0","3","6"
"primary_map_confirmed","895","Tiragarde Sound","876","0","3","6"
"primary_map_confirmed","896","Drustvar","876","0","3","6"
"primary_map_confirmed","942","Stormsong Valley","876","0","3","6"
"primary_map_confirmed","1355","Nazjatar","947","0","3","6"
"primary_map_confirmed","1462","Mechagon Island","876","0","3","6"
"primary_map_confirmed","1527","Uldum","12","0","3","326"
"primary_map_confirmed","1530","Vale of Eternal Blossoms","424","0","3","70"
