"status","release_decision","unavailable","availability_note","current_exists","mount_id","name","source_spell_id","item_ids","item_expansion_ids","source_type_enum","flags","source_text"
"policy_external_candidate","exclude_policy_external","False",,"True","32","Tiger","10790","8630","0","-1","64","|cFFFFD200Legacy|r"
"item_expansion_signal","include_bfa","False",,"True","926","Alabaster Hyena","237287","161773","7","2","4","|cFFFFD200Vendor: |rHoarder Jena|n|cFFFFD200Zone: |rVol'dun|n|cFFFFD200Faction: |rVoldunai - Exalted|n|cFFFFD200Cost: |r10000|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t"
"item_expansion_signal","include_bfa","False",,"True","928","Dune Scavenger","237286","163576","7","0","0","|cFFFFD200Zone:|r Vol'dun|n"
"item_expansion_signal","include_bfa","False",,"True","933","Obsidian Krolusk","239049","161215","7","5","0","|cFFFFD200Achievement: |rGlory of the Wartorn Hero|n|cFFFFD200Category: |rDungeons & Raids"
"item_expansion_signal","include_bfa","False",,"True","956","Leaping Veinseeker","243795","163575","7","0","0","|cFFFFD200Zone:|r Nazmir|n"
"item_expansion_signal","include_bfa","False",,"True","958","Spectral Pterrorwing","244712","161664","7","2","4","|cFFFFD200Vendor: |rNatal'hakata|n|cFFFFD200Zone: |rZuldazar|n|cFFFFD200Faction: |rZandalari Empire - Exalted|n|cFFFFD200Cost: |r90000|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t"
"item_expansion_signal","include_bfa","False",,"True","963","Bloodgorged Crawg","250735","163216","7","5","0","|cFFFFD200Achievement: |rGlory of the Uldir Raider|n|cFFFFD200Category: |rDungeons & Raids"
"item_expansion_signal","include_bfa","False",,"True","993","Squawks","254811","163586","7","0","0","|cFFFFD200Drop:|r Island Expeditions|n"
"item_expansion_signal","include_bfa","False",,"True","995","Sharkbait","254813","159842","7","0","0","|cFFFFD200Drop: |rHarlan Sweete|n|cFFFFD200Zone: |rFreehold (Mythic)|n|n|cFFFFD200Treasure: |rChallenger's Cache|n|cFFFFD200Zone: |rFreehold"
"policy_external_candidate","exclude_policy_external","False",,"True","996","Seabraid Stallion","255695","153539","7","7","4","|cFFFFD200Promotion:|r Battle for Azeroth Collector's Edition|n"
"policy_external_candidate","exclude_policy_external","False",,"True","997","Gilded Ravasaur","255696","153540","7","7","4","|cFFFFD200Promotion:|r Battle for Azeroth Collector's Edition|n"
"item_expansion_signal","include_bfa","False",,"True","999","Xiwyllag ATV","256123","153594","7","3","0","|cFFFFD200Profession:|r Blacksmithing & Engineering|n"
"item_expansion_signal","include_bfa","False",,"True","1010","Admiralty Stallion","259213","161911","7","2","4","|cFFFFD200Vendor: |rProvisioner Fray|n|cFFFFD200Zone: |rTiragarde Sound|n|cFFFFD200Faction: |rProudmoore Admiralty - Exalted|n|cFFFFD200Cost: |r10000|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t"
"policy_external_candidate","exclude_policy_external","False",,"True","1011","Shu-Zen, the Divine Sentinel","259395","156564","0","9","0","|cFFFFD200In-Game Shop|r |n"
"item_expansion_signal","include_bfa","False",,"True","1012","Green Marsh Hopper","259740","163183","7","2","0","|cFFFFD200Vendor: |rGottum|n|cFFFFD200Zone: |rNazmir|n|cFFFFD200Cost: |r333333|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t"
"item_expansion_signal","include_bfa","False",,"True","1013","Honeyback Harvester","259741","170069","7","1","0","|cFFFFD200Quest: |rLeaving the Hive: Harvester|n|cFFFFD200Zone: |rStormsong Valley"
"item_expansion_signal","include_bfa","False",,"True","1015","Dapple Gray","260172","161912","7","2","4","|cFFFFD200Vendor: |rSister Lilyana|n|cFFFFD200Zone: |rStormsong Valley|n|cFFFFD200Faction: |rStorm's Wake - Exalted|n|cFFFFD200Cost: |r10000|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t"
"item_expansion_signal","include_bfa","False",,"True","1016","Smoky Charger","260173","161910","7","2","4","|cFFFFD200Vendor: |rQuartermaster Alcorn|n|cFFFFD200Zone: |rDrustvar|n|cFFFFD200Faction: |rOrder of Embers - Exalted|n|cFFFFD200Cost: |r10000|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t"
"item_expansion_signal","include_bfa","False",,"True","1018","Terrified Pack Mule","260174","163574","7","0","0","|cFFFFD200Zone:|r Drustvar|n"
"item_expansion_signal","include_bfa","False",,"True","1019","Goldenmane","260175","163573","7","0","0","|cFFFFD200Zone:|r Stormsong|n"
"item_expansion_signal","include_bfa","False",,"True","1025","The Hivemind","261395","156798","7","0","5314","|cFFFFD200Drop:|r The Hivemind|n"
"item_expansion_signal","include_bfa","False",,"True","1026","Vicious War Basilisk","261434","163121","7","2","4","|cFFFFD200PvP:|r Battle for Azeroth: Season 3|nRated Arena and Rated Battleground Season Reward"
"item_expansion_signal","include_bfa","False",,"True","1027","Vicious War Basilisk","261433","163122","7","-1","4","|cFFFFD200PvP:|r Battle for Azeroth: Season 3|nRated Arena and Rated Battleground Season Reward"
