"status","release_decision","unavailable","availability_note","current_exists","species_id","name","creature_id","summon_spell_id","item_ids","item_expansion_ids","pet_type_enum","flags","source_type_enum","source_text"
"noncollectible_pet_battle_npc","exclude_noncollectible","False",,"True","2076","SpeedyNumberIII","125494","0","","","4","16408","-1",""
"policy_external_candidate","exclude_policy_external","False",,"True","2143","Tottle","129049","255702","153541","7","8","82","7","|cFFFFD200Promotion:|r Battle for Azeroth Collector's Edition|n"
"snapshot_candidate","include_bfa","False",,"True","2144","REUSE","129253","256010","162686","7","7","32","0"," "
"noncollectible_pet_battle_npc","exclude_noncollectible","False",,"True","2145","Bloodfeaster Larva","129256","0","","","4","32","-1",""
"snapshot_candidate","include_bfa","False",,"True","2146","Perculia's Peculiar Parrot","129920","257603","154902","6","1","32","0","|cFFFFD200Drop:|r Finely-Embroidered Handbag"
"snapshot_candidate","include_bfa","False",,"True","2157","Dart","131644","259758","156566","7","7","66","1","|cFFFFD200Quest: |rIt Seems You've Made a Friend|n|cFFFFD200Zone: |rNazmir"
"noncollectible_pet_battle_npc","exclude_noncollectible","False",,"True","2164","Colonel Shucks","133825","0","","","6","34","-1",""
"snapshot_candidate","include_bfa","False",,"True","2165","Francois","134406","264001","158077","7","2","18","0","|cFFFFD200Zone:|r Tiragarde Sound"
"policy_external_candidate","exclude_policy_external","False",,"True","2184","Whomper","138742","272771","160587","7","0","82","9","|cFFFFD200In-Game Shop|r|n"
"policy_external_candidate","exclude_policy_external","False",,"True","2185","Cap'n Crackers","138741","272772","160588","7","2","82","9","|cFFFFD200In-Game Shop|r|n"
"snapshot_candidate","include_bfa","False",,"True","2186","Spawn of Merektha","138964","273159","160702","7","7","2","0","|cFFFFD200Drop: |rMerektha|n|cFFFFD200Zone: |rTemple of Sethraliss (Mythic)"
"snapshot_candidate","include_bfa","False",,"True","2187","Filthy Slime","139049","273184","160704","7","5","2","0","|cFFFFD200Drop: |rGol'than the Malodorous|n|cFFFFD200Zone: |rTol Dagor (Mythic)"
"snapshot_candidate","include_bfa","False",,"True","2188","Poda","139073","273195","158464","7","7","2","1","|cFFFFD200Quest: |rMissing Business|n|cFFFFD200Zone: |rVol'dun"
"snapshot_candidate","include_bfa","False",,"True","2189","Smoochums","139081","273215","160708","7","3","2","2","|cFFFFD200Vendor: |rNigel Rifthold|n|cFFFFD200Zone: |rDrustvar|n|cFFFFD200Cost: |r200|Hitem:163036|h|TInterface\ICONS\INV_Currency_PetBattle.BLP:0|t|h"
"snapshot_candidate","include_bfa","False",,"True","2190","Guardian Cobra Hatchling","139252","273839","160847","7","7","2","1","|cFFFFD200Quest: |rMy Hungry Neighbor|n|cFFFFD200Zone: |rVol'dun"
"snapshot_candidate","include_bfa","False",,"True","2192","Vengeful Chicken","139372","273869","160940","7","9","2","1","|cFFFFD200Quest: |rCutting Edge Poultry Science"
"noncollectible_pet_battle_npc","exclude_noncollectible","False",,"True","2193","Shelly","139450","0","","","8","32","-1",""
"noncollectible_pet_battle_npc","exclude_noncollectible","False",,"True","2194","Sheldon","139452","0","","","8","32","-1",""
"noncollectible_pet_battle_npc","exclude_noncollectible","False",,"True","2195","Shelby","139455","0","","","8","32","-1",""
"snapshot_candidate","include_bfa","False",,"True","2196","Lil' Tika","139622","274202","161016","7","7","2","1","|cFFFFD200Vendor: |rHappy Holaua|n|cFFFFD200Zone: |rZuldazar|n|cFFFFD200Cost: |r200|Hitem:163036|h|TInterface\ICONS\INV_Currency_PetBattle.BLP:0|t|h|n"
"snapshot_candidate","include_bfa","False",,"True","2197","Direhorn Hatchling","139744","274348","161080","7","7","2","3","|cFFFFD200Profession: |rArchaeology"
"snapshot_candidate","include_bfa","False",,"True","2198","Taptaf","139770","274353","161081","7","7","2","4","|cFFFFD200Quest:|r Taptaf the Pig!|n|cFFFFD200Zone: |r Drustvar"
"snapshot_candidate","include_bfa","False",,"True","2199","Restored Revenant","139782","274380","161089","7","3","2","3","|cFFFFD200Profession: |rBattle for Azeroth Archaeology"
"noncollectible_pet_battle_npc","exclude_noncollectible","False",,"True","2200","Bristlespine","139987","0","","","7","33824","1","Vol'dun Quest"
"snapshot_candidate","include_bfa","False",,"True","2201","Enchanted Tiki Mask","139743","274760","152878","7","5","2","3","|cFFFFD200Profession: |rBattle for Azeroth Enchanting"
