"achievement_id","achievement","order_path","tree_id","criterion","criteria_id","criteria_type","criteria_asset","npc_ids","object_ids","entity_mapping","selection_decision"
"12939","Adventurer of Tiragarde Sound","0","69152","Auditor Dolp","41793","0","132182","132182",,"criteria_creature_asset","include_bfa"
"12939","Adventurer of Tiragarde Sound","1","69153","Barman Bill","41795","0","129181","129181",,"criteria_creature_asset","include_bfa"
"12939","Adventurer of Tiragarde Sound","2","69154","Bashmu","41796","0","132068","132068",,"criteria_creature_asset","include_bfa"
"12939","Adventurer of Tiragarde Sound","3","69155","Black-Eyed Bart","41797","0","132086","132086",,"criteria_creature_asset","include_bfa"
"12939","Adventurer of Tiragarde Sound","4","69156","Blackthorne","41798","0","139145","139145",,"criteria_creature_asset","include_bfa"
"12939","Adventurer of Tiragarde Sound","5","69157","Broodmother Razora","41800","0","130508","130508",,"criteria_creature_asset","include_bfa"
"12939","Adventurer of Tiragarde Sound","6","69158","Captain Wintersail","41806","0","132088","132088",,"criteria_creature_asset","include_bfa"
"12939","Adventurer of Tiragarde Sound","7","69159","Carla Smirk","41812","0","139152","139152",,"criteria_creature_asset","include_bfa"
"12939","Adventurer of Tiragarde Sound","8","69160","Fowlmouth","41813","0","132211","132211",,"criteria_creature_asset","include_bfa"
"12939","Adventurer of Tiragarde Sound","9","69161","Foxhollow Skyterror","41814","0","132127","132127",,"criteria_creature_asset","include_bfa"
"12939","Adventurer of Tiragarde Sound","10","69162","Gulliver","41819","0","139233","139233",,"criteria_creature_asset","include_bfa"
"12939","Adventurer of Tiragarde Sound","11","69163","Kulett the Ornery","41820","0","131520","131520",,"criteria_creature_asset","include_bfa"
"12939","Adventurer of Tiragarde Sound","12","69164","Lumbergrasp Sentinel","41821","0","134106","134106",,"criteria_creature_asset","include_bfa"
"12939","Adventurer of Tiragarde Sound","13","69165","Maison the Portable","41822","0","139290","139290",,"criteria_creature_asset","include_bfa"
"12939","Adventurer of Tiragarde Sound","14","69166","Imperiled Merchants","41823","0","137183","137183",,"criteria_creature_asset","include_bfa"
"12939","Adventurer of Tiragarde Sound","15","69167","Merianae","41824","0","131252","131252",,"criteria_creature_asset","include_bfa"
"12939","Adventurer of Tiragarde Sound","16","69168","P4-N73R4","41825","0","139205","139205",,"criteria_creature_asset","include_bfa"
"12939","Adventurer of Tiragarde Sound","17","69169","Pack Leader Asenya","41826","0","131262","131262",,"criteria_creature_asset","include_bfa"
"12939","Adventurer of Tiragarde Sound","18","69170","Raging Swell","41827","0","132179","132179",,"criteria_creature_asset","include_bfa"
"12939","Adventurer of Tiragarde Sound","19","69171","Ranja","41828","0","139278","139278",,"criteria_creature_asset","include_bfa"
"12939","Adventurer of Tiragarde Sound","20","69172","Saurolisk Tamer Mugg","41829","0","127290","127290",,"criteria_creature_asset","include_bfa"
"12939","Adventurer of Tiragarde Sound","21","69173","Sawtooth","41830","0","139287","139287",,"criteria_creature_asset","include_bfa"
"12939","Adventurer of Tiragarde Sound","22","69174","Shiverscale the Toxic","41831","0","139285","139285",,"criteria_creature_asset","include_bfa"
"12939","Adventurer of Tiragarde Sound","23","69175","Squacks","41832","0","132280","132280",,"criteria_creature_asset","include_bfa"
"12939","Adventurer of Tiragarde Sound","24","69176","Squirgle of the Depths","41833","0","139135","139135",,"criteria_creature_asset","include_bfa"
"12939","Adventurer of Tiragarde Sound","25","69177","Sythian the Swift","41834","0","139280","139280",,"criteria_creature_asset","include_bfa"
"12939","Adventurer of Tiragarde Sound","26","69178","Tempestria","41835","0","133356","133356",,"criteria_creature_asset","include_bfa"
