"current_exists","currency_id","name","description","category_id","faction_id","max_quantity","source"
"True","241","Champion's Seal","Awarded for valiant acts in the Crusader's Coliseum.","21","0","0","historical_collectible_source"
"True","391","Tol Barad Commendation","Awarded for brave deeds performed on Tol Barad.","2","0","0","historical_collectible_source"
"True","515","Darkmoon Prize Ticket","Awarded for winning games or doing favors at the Darkmoon Faire.","1","0","0","historical_collectible_source"
"True","1166","Timewarped Badge","Earned in Timewalking dungeons. Exchanged for goods from Timewalking Vendors in capital cities.","22","0","0","historical_collectible_source"
"True","1220","Order Resources","Used to recruit troops, run missions, and research upgrades for your order hall.","141","0","0","historical_collectible_source"
"True","1226","Nethershard","A fragment of crystallized nether brought to Azeroth by the Legion.","141","0","0","historical_collectible_source"
"True","1560","War Resources","Used to recruit troops, run missions, and research upgrades for your war effort.","143","0","0","historical_collectible_source"
"True","1710","Seafarer's Dubloon","Currency used by the many varied tribes of the Great Sea. Used to procure items from traders on Island Expeditions.","143","0","0","historical_collectible_source"
"True","1716","Honorbound Service Medal","A badge of merit for action taken on the battlefields of Kul Tiras, Zandalar, and active Warfronts. Sought by Provisioner Mukra at the port of Zandalar. For the Horde!","143","0","0","historical_collectible_source"
"True","1717","7th Legion Service Medal","A badge of merit for action taken on the battlefields of Kul Tiras, Zandalar, and active Warfronts. Sought by Provisioner Stoutforge in Boralus. For the Alliance!","143","0","0","historical_collectible_source"
"True","1719","Corrupted Mementos","Fragments of memory from Horrific Visions of N'Zoth which can be analyzed at the Titanic Research Archive in the Chamber of Heart.","143","0","0","historical_collectible_source"
"True","1721","Prismatic Manapearl","A glistening sphere of arcane energy found around Nazjatar. These can be traded for rare and powerful items, or used to empower Benthic armor.","143","0","0","historical_collectible_source"
"True","1803","Echoes of Ny'alotha","Scoured of N'Zoth's corruption, MOTHER can use this substance to synthesize essences in the Chamber of Heart.","143","0","0","historical_collectible_source"
"True","3363","Community Coupons","Earned from completing Endeavor tasks to support your Neighborhood and its friends. Used to purchase items from Endeavor Traders and some other vendors in your Neighborhood.","1","0","0","current_decoration_acquisition"
