"current_exists","map_id","name","parent_map_id","system","type","flags","source"
"True","862","Zuldazar","875","0","3","6","selected_primary_zone"
"True","863","Nazmir","875","0","3","6","selected_primary_zone"
"True","864","Vol'dun","875","0","3","6","selected_primary_zone"
"True","895","Tiragarde Sound","876","0","3","6","selected_primary_zone"
"True","896","Drustvar","876","0","3","6","selected_primary_zone"
"True","942","Stormsong Valley","876","0","3","6","selected_primary_zone"
"True","1355","Nazjatar","947","0","3","6","selected_primary_zone"
"True","1462","Mechagon Island","876","0","3","6","selected_primary_zone"
"True","1527","Uldum","12","0","3","326","selected_primary_zone"
"True","1530","Vale of Eternal Blossoms","424","0","3","70","selected_primary_zone"
