"achievement_id","achievement","order_path","tree_id","criterion","criteria_id","criteria_type","criteria_asset","npc_ids","object_ids","entity_mapping","selection_decision"
"12771","Treasures of Nazmir","0","67644","Lucky Horace's Lucky Chest","40857","27","49867",,,,"include_bfa"
"12771","Treasures of Nazmir","1","67645","Partially-Digested Treasure","40858","27","50061",,,,"include_bfa"
"12771","Treasures of Nazmir","2","67646","Cursed Nazmani Chest","40859","27","49979",,,,"include_bfa"
"12771","Treasures of Nazmir","3","67647","Cleverly Disguised Chest","40860","27","49885",,,,"include_bfa"
"12771","Treasures of Nazmir","4","67648","Lost Nazmani Treasure","40861","27","49891",,,,"include_bfa"
"12771","Treasures of Nazmir","5","67649","Offering to Bwonsamdi","40862","27","49484",,,,"include_bfa"
"12771","Treasures of Nazmir","6","67650","Shipwrecked Chest","40863","27","49483",,,,"include_bfa"
"12771","Treasures of Nazmir","7","67651","Venomous Seal","40864","27","49889",,,,"include_bfa"
"12771","Treasures of Nazmir","8","67652","Swallowed Naga Chest","40865","27","50045",,,,"include_bfa"
"12771","Treasures of Nazmir","9","67653","Wunja's Trove","40866","27","49313",,,,"include_bfa"
"12849","Treasures of Vol'dun","0","67873","Ashvane Spoils","40966","27","50237",,,,"include_bfa"
"12849","Treasures of Vol'dun","1","67874","Grayal's Last Offering","40967","27","51093",,,,"include_bfa"
"12849","Treasures of Vol'dun","2","67875","Lost Explorer's Bounty","40968","27","51132",,,,"include_bfa"
"12849","Treasures of Vol'dun","3","67876","Sandfury Reserve","40969","27","51133",,,,"include_bfa"
"12849","Treasures of Vol'dun","4","67877","Stranded Cache","40970","27","51135",,,,"include_bfa"
"12849","Treasures of Vol'dun","5","67878","Excavator's Greed","40971","27","51136",,,,"include_bfa"
"12849","Treasures of Vol'dun","6","67879","Zem'lan's Buried Treasure","40972","27","51137",,,,"include_bfa"
"12849","Treasures of Vol'dun","7","67913","Lost Offerings of Kimbul","41002","27","52992",,,,"include_bfa"
"12849","Treasures of Vol'dun","8","67914","Deadwood Chest","41003","27","52994",,,,"include_bfa"
"12849","Treasures of Vol'dun","9","67915","Sandsunken Treasure","41004","27","53004",,,,"include_bfa"
"12851","Treasures of Zuldazar","0","67899","Offerings of the Chosen","40988","27","48938",,,,"include_bfa"
"12851","Treasures of Zuldazar","1","67900","Witch Doctor's Hoard","40989","27","50259",,,,"include_bfa"
"12851","Treasures of Zuldazar","2","67901","Spoils of Pandaria","40990","27","49936",,,,"include_bfa"
"12851","Treasures of Zuldazar","3","67902","Gift of the Brokenhearted","40991","27","50582",,,,"include_bfa"
"12851","Treasures of Zuldazar","4","67903","Warlord's Cache","40992","27","49257",,,,"include_bfa"
"12851","Treasures of Zuldazar","5","67904","Dazar's Forgotten Chest","40993","27","50707",,,,"include_bfa"
"12851","Treasures of Zuldazar","6","67905","Da White Shark's Bounty","40994","27","50947",,,,"include_bfa"
"12851","Treasures of Zuldazar","7","67906","The Exile's Lament","40995","27","50949",,,,"include_bfa"
"12851","Treasures of Zuldazar","8","67907","Cache of Secrets","40996","27","51338",,,,"include_bfa"
"12851","Treasures of Zuldazar","9","67908","Riches of Tor'nowa","40997","27","51624",,,,"include_bfa"
"12852","Treasures of Tiragarde Sound","0","67943","Hay Covered Chest","41012","27","49963",,,,"include_bfa"
"12852","Treasures of Tiragarde Sound","1","67944","Cutwater Treasure Chest","41013","27","50442",,,,"include_bfa"
"12852","Treasures of Tiragarde Sound","2","67945","Precarious Noble Cache","41014","27","52866",,,,"include_bfa"
"12852","Treasures of Tiragarde Sound","3","67946","Forgotten Smuggler's Stash","41015","27","52867",,,,"include_bfa"
"12852","Treasures of Tiragarde Sound","4","67947","Scrimshaw Cache","41016","27","52870",,,,"include_bfa"
"12852","Treasures of Tiragarde Sound","5","67948","Secret of the Depths","41017","27","52195",,,,"include_bfa"
"12852","Treasures of Tiragarde Sound","6","67949","Soggy Treasure Map","41018","27","52807",,,,"include_bfa"
"12852","Treasures of Tiragarde Sound","7","67950","Faded Treasure Map","41019","27","52833",,,,"include_bfa"
"12852","Treasures of Tiragarde Sound","8","67951","Yellowed Treasure Map","41020","27","52836",,,,"include_bfa"
"12852","Treasures of Tiragarde Sound","9","67952","Singed Treasure Map","41021","27","52845",,,,"include_bfa"
"12853","Treasures of Stormsong Valley","0","68003","Weathered Treasure Chest","41061","27","51449",,,,"include_bfa"
"12853","Treasures of Stormsong Valley","1","68004","Old Ironbound Chest","41062","27","50089",,,,"include_bfa"
"12853","Treasures of Stormsong Valley","2","68005","Frosty Treasure Chest","41063","27","50526",,,,"include_bfa"
"12853","Treasures of Stormsong Valley","3","68006","Sunken Strongbox","41064","27","50734",,,,"include_bfa"
"12853","Treasures of Stormsong Valley","4","68007","Hidden Scholar's Chest","41065","27","50937",,,,"include_bfa"
"12853","Treasures of Stormsong Valley","5","68008","Smuggler's Stash","41066","27","49811",,,,"include_bfa"
"12853","Treasures of Stormsong Valley","6","68009","Discarded Lunchbox","41067","27","52326",,,,"include_bfa"
"12853","Treasures of Stormsong Valley","7","68010","Carved Wooden Chest","41068","27","52429",,,,"include_bfa"
"12853","Treasures of Stormsong Valley","8","68011","Venture Co. Supply Chest","41069","27","52976",,,,"include_bfa"
"12853","Treasures of Stormsong Valley","9","68012","Forgotten Chest","41070","27","52980",,,,"include_bfa"
"12995","Treasures of Drustvar","0","69017","Web-Covered Chest","41697","27","53356",,,,"include_bfa"
"12995","Treasures of Drustvar","1","69018","Merchant's Chest","41698","27","53357",,,,"include_bfa"
"12995","Treasures of Drustvar","2","69019","Runebound Cache","41699","27","53385",,,,"include_bfa"
"12995","Treasures of Drustvar","3","69020","Runebound Chest","41700","27","53386",,,,"include_bfa"
"12995","Treasures of Drustvar","4","69021","Runebound Coffer","41701","27","53387",,,,"include_bfa"
"12995","Treasures of Drustvar","5","69022","Hexed Chest","41702","27","53471",,,,"include_bfa"
"12995","Treasures of Drustvar","6","69023","Bespelled Chest","41703","27","53472",,,,"include_bfa"
"12995","Treasures of Drustvar","7","69024","Ensorcelled Chest","41704","27","53473",,,,"include_bfa"
"12995","Treasures of Drustvar","8","69025","Enchanted Chest","41705","27","53474",,,,"include_bfa"
"12995","Treasures of Drustvar","9","69077","Stolen Thornspeaker Cache","41752","27","53475",,,,"include_bfa"
"13549","Trove Tracker","0/0","79930","","45197","68","326394",,,,"include_bfa"
"13549","Trove Tracker","0/1","79931","","45198","68","326401",,,,"include_bfa"
"13549","Trove Tracker","0/2","79932","","45199","68","326402",,,,"include_bfa"
"13549","Trove Tracker","0/3","79933","","45200","68","326403",,,,"include_bfa"
"13549","Trove Tracker","0/4","79934","","45201","68","326404",,,,"include_bfa"
"13549","Trove Tracker","0/5","79935","","45202","68","326405",,,,"include_bfa"
"13549","Trove Tracker","0/6","79936","","45203","68","326406",,,,"include_bfa"
"13549","Trove Tracker","0/7","79937","","45204","68","326407",,,,"include_bfa"
