decor_id,catalog_name,catalog_scope,status,acquisition_expansion,source_text,achievement_ids,quest_ids,npc_ids,spell_ids,currency_ids,item_ids,classification_note,acquisition_source_url
"861","Open Lordaeron Banded Crate","bfa_theme","catalog_hidden_unobtainable","","—","","","","","","","No acquisition source; current catalog marks the row HiddenInCatalog","https://housing.wowdb.com/decor/861/open-lordaeron-banded-crate-861/"
"947","Dark Ship's Lantern","bfa_theme","acquisition_legion_confirmed","legion","A New Life for Undeath (Stormheim) Halenthos Brightstride (Dalaran) 2000","","38882","252043","","","","Acquisition source is Legion content","https://housing.wowdb.com/decor/947/dark-ships-lantern-947/"
"1171","[DNT] Zandalari Wall Shelf - DO NOT USE","bfa_theme","internal_dnt","","—","","","","","","","Internal or deprecated catalog row","https://housing.wowdb.com/decor/1171/dnt-zandalari-wall-shelf-do-not-use-1171/"
"1482","Sethraliss Priest's Pillow","bfa_theme","acquisition_midnight_confirmed","midnight","""High Tides"" Ren (Razorwind Shores) 2 50","","","255325","","","","Acquisition source is Midnight content","https://housing.wowdb.com/decor/1482/sethraliss-priests-pillow-1482/"
"1484","Sethrak Neckroll Pillow","bfa_theme","catalog_hidden_unobtainable","","—","","","","","","","No acquisition source; current catalog marks the row HiddenInCatalog","https://housing.wowdb.com/decor/1484/sethrak-neckroll-pillow-1484/"
"2465","Gnomish Steam-Powered Bed","bfa_theme","acquisition_vanilla_confirmed","vanilla","Engineering Classic Engineering (240)","","","","1261504","","","Acquisition source is Classic Engineering","https://housing.wowdb.com/decor/2465/gnomish-steam-powered-bed-2465/"
"2519","""The Water Lilies"" Painting","bfa_theme","catalog_hidden_unobtainable","","—","","","","","","","No acquisition source; current catalog marks the row HiddenInCatalog","https://housing.wowdb.com/decor/2519/the-water-lilies-painting-2519/"
"2524","""Tidesage's Omen"" Painting","bfa_theme","catalog_hidden_unobtainable","","—","","","","","","","No acquisition source; current catalog marks the row HiddenInCatalog","https://housing.wowdb.com/decor/2524/tidesages-omen-painting-2524/"
"2525","""Fate of All Life"" Painting","bfa_theme","catalog_hidden_unobtainable","","—","","","","","","","No acquisition source; current catalog marks the row HiddenInCatalog","https://housing.wowdb.com/decor/2525/fate-of-all-life-painting-2525/"
"2526","Tome of Forsaken Resilience","bfa_theme","acquisition_midnight_confirmed","midnight","Lonalo (Orgrimmar) 2000 Solelo (Stormwind City) 2000","","","256119;256071","","","","Only source is a Midnight-added housing vendor with no legacy content requirement","https://housing.wowdb.com/decor/2526/tome-of-forsaken-resilience-2526/"
