"achievement_id","achievement","tree_id","criterion","completion_quest_id","npc_id","object_id","mapping"
"12940","Adventurer of Stormsong Valley","69076","Song Mistress Dadalea","52448","141175",,"att_quest_npc_provider"
"12940","Adventurer of Stormsong Valley","69078","Severus the Outcast","50938","140997",,"att_quest_npc_provider"
"12940","Adventurer of Stormsong Valley","69079","Seabreaker Skoloth","51757","138938",,"att_quest_npc_provider"
"12940","Adventurer of Stormsong Valley","69080","Sabertron","51956","139328",,"att_quest_npc_provider"
"12940","Adventurer of Stormsong Valley","69081","The Lichen King","50974","136189",,"att_quest_npc_provider"
"12940","Adventurer of Stormsong Valley","69082","Ragna","50725","134884",,"att_quest_npc_provider"
"12940","Adventurer of Stormsong Valley","69083","Slickspill","51958","139319",,"att_quest_npc_provider"
"12940","Adventurer of Stormsong Valley","69084","Broodmother","51298","137025",,"att_quest_npc_provider"
"12940","Adventurer of Stormsong Valley","69085","Galestorm","50075","132007",,"att_quest_npc_provider"
"12940","Adventurer of Stormsong Valley","69086","Whirlwing","52457","142088",,"att_quest_npc_provider"
"12940","Adventurer of Stormsong Valley","69087","Kickers","52318","141029",,"att_quest_npc_provider"
"12940","Adventurer of Stormsong Valley","69088","Foreman Scripps","49951","131404",,"att_quest_npc_provider"
"12940","Adventurer of Stormsong Valley","69098","Poacher Zane","52469","141286",,"att_quest_npc_provider"
"12940","Adventurer of Stormsong Valley","69099","Pinku'shon","51959","139298",,"att_quest_npc_provider"
"12940","Adventurer of Stormsong Valley","69100","Grimscowl the Harebrained","52329","141059",,"att_quest_npc_provider"
"12940","Adventurer of Stormsong Valley","69101","Deepfang","50692","139385",,"att_quest_npc_provider"
"12940","Adventurer of Stormsong Valley","69102","Croaker","52303","140938",,"att_quest_npc_provider"
"12940","Adventurer of Stormsong Valley","69103","Corrupted Pod","52121","139968",,"att_quest_npc_provider"
"12940","Adventurer of Stormsong Valley","69104","Crushtacean","52466","136183",,"att_quest_npc_provider"
"12940","Adventurer of Stormsong Valley","69105","Dagrus the Scorned","50731","134897",,"att_quest_npc_provider"
"12940","Adventurer of Stormsong Valley","69106","Vinespeaker Ratha","50037","135939",,"att_quest_npc_provider"
"12940","Adventurer of Stormsong Valley","69107","Strange Mushroom Ring","50024",,"286952","att_quest_object_provider"
"12940","Adventurer of Stormsong Valley","69135","Haegol the Hammer","52460","141226",,"att_quest_npc_provider"
