"status","current_exists","decor_id","item_id","name","catalog_scope","acquisition_expansion","source_kind","source_text","achievement_ids","quest_ids","npc_ids","source_spell_ids","currency_ids","acquisition_source_url"
"acquisition_cataclysm_confirmed","True","855","245517","Gilnean Cauldron","cataclysm_theme","cataclysm","crafted","1 Gilnean Cauldron Accents › Food and Drink Crafting: Alchemy Profession: Cataclysm Alchemy (60)","","","","1261255","","https://housing.wowdb.com/decor/855/gilnean-cauldron-855/"
"acquisition_cataclysm_confirmed","True","858","245518","Worgen's Chicken Coop","cataclysm_theme","cataclysm","quest","3 Worgen's Chicken Coop Structural › Misc Structural Last Meal Lord Candren (Darnassus) 150 +1 more source","","24675","50307","","","https://housing.wowdb.com/decor/858/worgens-chicken-coop-858/"
"acquisition_cataclysm_confirmed","True","923","245504","Lordaeron Fence","global_acquisition_match","cataclysm","quest","1 Lordaeron Fence Structural › Misc Structural Lordaeron (Silverpine Forest) Captain Donald Adams (Undercity, Orgrimmar) 127 50","","27098","50304","","","https://housing.wowdb.com/decor/923/lordaeron-fence-923/"
"acquisition_cataclysm_confirmed","True","924","245505","Lordaeron Fencepost","global_acquisition_match","cataclysm","quest","1 Lordaeron Fencepost Structural › Misc Structural Lordaeron (Silverpine Forest) Captain Donald Adams (Undercity, Orgrimmar) 85","","27098","50304","","","https://housing.wowdb.com/decor/924/lordaeron-fencepost-924/"
"acquisition_cataclysm_confirmed","True","1281","243335","Tauren Bluff Rug","global_acquisition_match","cataclysm","quest","3 Tauren Bluff Rug Accents › Floor Walk With The Earth Mother (Mulgore) Brave Tuho (Thunder Bluff) 160","","26397","50483","","","https://housing.wowdb.com/decor/1281/tauren-bluff-rug-1281/"
"acquisition_cataclysm_confirmed","True","1315","245333","Shadowforge Wooden Box","global_acquisition_match","cataclysm","quest","1 Shadowforge Wooden Box Furnishings › Storage The Mountain-Lord's Support (Searing Gorge) Master Smith Burninate (Searing Gorge) 150","","28035","14624","","","https://housing.wowdb.com/decor/1315/shadowforge-wooden-box-1315/"
"acquisition_cataclysm_confirmed","True","1445","244655","Gilnean Circular Rug","cataclysm_theme","cataclysm","drop","5 Gilnean Circular Rug Accents › Floor Encounter: Lord Godfrey (Shadowfang Keep)","","","","","","https://housing.wowdb.com/decor/1445/gilnean-circular-rug-1445/"
"acquisition_cataclysm_confirmed","True","1481","244777","Surwich Peddler's Wagon","cataclysm_theme","cataclysm","quest","5 Surwich Peddler's Wagon Miscellaneous › Miscellaneous - All The Downfall of Marl Wormthorn Maurice Essman (Surwich, Blasted Lands) 1100","","25720","44337","","","https://housing.wowdb.com/decor/1481/surwich-peddlers-wagon-1481/"
"acquisition_cataclysm_confirmed","True","1793","245602","Gilnean Problem Solver","cataclysm_theme","cataclysm","crafted","5 Gilnean Problem Solver Accents › Misc Accents Crafting: Engineering Profession: Cataclysm Engineering (60)","","","","1261258","","https://housing.wowdb.com/decor/1793/gilnean-problem-solver-1793/"
"acquisition_cataclysm_confirmed","True","1794","245603","Gilnean Noble's Trellis","cataclysm_theme","cataclysm","vendor","3 Gilnean Noble's Trellis Nature › Misc Nature Lord Candren (Ruins of Gilneas) 350 Unknown Vendor (Teldrassil)","","","252520;50307","","","https://housing.wowdb.com/decor/1794/gilnean-nobles-trellis-1794/"
"acquisition_cataclysm_confirmed","True","1796","245605","Gilnean Stone Wall","cataclysm_theme","cataclysm","vendor","1 Gilnean Stone Wall Structural › Misc Structural Lord Candren (Stormwind City) 300 Unknown Vendor (Teldrassil)","","","252520;50307","","","https://housing.wowdb.com/decor/1796/gilnean-stone-wall-1796/"
"acquisition_cataclysm_confirmed","True","1827","245618","Surwich Expedition Tent","cataclysm_theme","cataclysm","crafted","5 Surwich Expedition Tent Structural › Large Structures Crafting: Tailoring Profession: Cataclysm Tailoring (60)","","","","1261317","","https://housing.wowdb.com/decor/1827/surwich-expedition-tent-1827/"
"acquisition_cataclysm_confirmed","True","1829","245620","Little Wolf's Loo","cataclysm_theme","cataclysm","quest","5 Little Wolf's Loo Structural › Large Structures Ready to Go (Ruins of Gilneas, Gilneas) Lord Candren (Darnassus) 50 +1 more source","","14402","50307","","","https://housing.wowdb.com/decor/1829/little-wolfs-loo-1829/"
"acquisition_cataclysm_confirmed","True","1830","245621","Gilnean Wooden Table","cataclysm_theme","cataclysm","crafted","3 Gilnean Wooden Table Furnishings › Tables and Desks Crafting: Inscription Profession: Cataclysm Inscription (60)","","","","1261259","","https://housing.wowdb.com/decor/1830/gilnean-wooden-table-1830/"
"acquisition_cataclysm_confirmed","True","1831","245622","Gilnean Wall Shelf","cataclysm_theme","cataclysm","crafted","3 Gilnean Wall Shelf Furnishings › Storage Crafting: Inscription Profession: Cataclysm Inscription (60)","","","","1261288","","https://housing.wowdb.com/decor/1831/gilnean-wall-shelf-1831/"
"acquisition_cataclysm_confirmed","True","1832","245623","Gilnean Rocking Chair","cataclysm_theme","cataclysm","crafted","1 Gilnean Rocking Chair Furnishings › Seating Crafting: Inscription Profession: Cataclysm Inscription (60)","","","","1261278","","https://housing.wowdb.com/decor/1832/gilnean-rocking-chair-1832/"
"acquisition_cataclysm_confirmed","True","1833","245624","Waning Wood Fence","cataclysm_theme","cataclysm","quest","1 Waning Wood Fence Structural › Misc Structural Cry For The Moon (Duskwood) Wilkinson (Duskwood) 150","","26760","44114","","","https://housing.wowdb.com/decor/1833/waning-wood-fence-1833/"
"acquisition_cataclysm_confirmed","True","2226","246409","Shadowforge Grinding Wheel","global_acquisition_match","cataclysm","quest","3 Shadowforge Grinding Wheel Accents › Misc Accents Welcome to the Brotherhood (Searing Gorge) Master Smith Burninate (Searing Gorge) 700","","28064","14624","","","https://housing.wowdb.com/decor/2226/shadowforge-grinding-wheel-2226/"
"acquisition_cataclysm_confirmed","True","2239","246422","Thelsamar Hanging Lantern","global_acquisition_match","cataclysm","quest","1 Thelsamar Hanging Lantern Lighting › Ceiling Lights Axis of Awful (Loch Modan) Drac Roughcut (Thelsamar, Loch Modan) 285","","26868","1465","","","https://housing.wowdb.com/decor/2239/thelsamar-hanging-lantern-2239/"
"acquisition_cataclysm_confirmed","True","2244","246427","Dilapidated Wildhammer Well","cataclysm_theme","cataclysm","quest","5 Dilapidated Wildhammer Well Structural › Large Structures Eye Spy (Twilight Highlands) Breana Bitterbrand (Twilight Highlands) 1000","","28244","253227","","","https://housing.wowdb.com/decor/2244/dilapidated-wildhammer-well-2244/"
"acquisition_cataclysm_confirmed","True","2245","246428","Overgrown Wildhammer Fountain","cataclysm_theme","cataclysm","quest","5 Overgrown Wildhammer Fountain Structural › Large Structures Wild, Wild, Wildhammer Wedding (Twilight Highlands) Breana Bitterbrand (Twilight Highlands) 1500","","28655","253227","","","https://housing.wowdb.com/decor/2245/overgrown-wildhammer-fountain-2245/"
"acquisition_cataclysm_confirmed","True","3867","247727","Iron Dragonmaw Gate","cataclysm_theme","cataclysm","achievement","5 Iron Dragonmaw Gate Structural › Doors Master of Twin Peaks Joruh (Orgrimmar) 5000 Honor","5223","","254606","","1792","https://housing.wowdb.com/decor/3867/iron-dragonmaw-gate-3867/"
"acquisition_cataclysm_confirmed","True","4401","248332","Stormwind Footlocker","global_acquisition_match","cataclysm","drop","1 Stormwind Footlocker Furnishings › Storage Drop: Deadmines Encounter: Vanessa VanCleef","","","","","","https://housing.wowdb.com/decor/4401/stormwind-footlocker-4401/"
"acquisition_cataclysm_confirmed","True","4444","248618","Westfall Woven Basket","global_acquisition_match","cataclysm","quest","1 Westfall Woven Basket Accents › Ornamental You Have Our Thanks (Westfall) Captain Lancy Revshon (Stormwind City) 190","","26270","49877","","","https://housing.wowdb.com/decor/4444/westfall-woven-basket-4444/"
