"status","release_decision","unavailable","availability_note","current_exists","official_guide_match","mount_id","name","source_spell_id","source_type_enum","flags","source_text","cataclysm_classic_mount_id"
"cataclysm_boundary_confirmed","include_cataclysm","False",,"True","False","350","Sunwalker Kodo","69820","1","4","|cFFFFD200Paladin|r","1869"
"cataclysm_boundary_confirmed","include_cataclysm","False",,"True","False","351","Great Sunwalker Kodo","69826","1","4","|cFFFFD200Paladin|r","1870"
"cataclysm_boundary_confirmed","include_cataclysm","False",,"True","False","367","Exarch's Elekk","73629","1","4","|cFFFFD200Legacy|r","1871"
"cataclysm_boundary_confirmed","include_cataclysm","False",,"True","False","368","Great Exarch's Elekk","73630","1","4","|cFFFFD200Quest|r |n","1872"
"cataclysm_boundary_confirmed","include_cataclysm","False",,"True","True","373","Vashj'ir Seahorse","75207","1","2064","|cFFFFD200Quest: |rThe Abyssal Ride|n|cFFFFD200Zone: |rKelp'thar Forest","1873"
"cataclysm_boundary_confirmed","include_cataclysm","False",,"True","False","386","Fossilized Raptor","84751","3","0","|cFFFFD200Profession: |rArchaeology","1875"
"cataclysm_boundary_confirmed","include_cataclysm","False",,"True","False","388","Goblin Trike","87090","2","0","|cFFFFD200Vendor: |rKall Worthaton|n|cFFFFD200Zone: |rOrgrimmar|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","1877"
"cataclysm_boundary_confirmed","include_cataclysm","False",,"True","False","389","Goblin Turbo-Trike","87091","2","0","|cFFFFD200Vendor: |rKall Worthaton|n|cFFFFD200Zone: |rOrgrimmar|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","1878"
"cataclysm_boundary_confirmed","include_cataclysm","False",,"True","True","391","Volcanic Stone Drake","88331","5","128","|cFFFFD200Achievement: |rGlory of the Cataclysm Hero|n|cFFFFD200Category: |rDungeons & Raids","1880"
"cataclysm_boundary_confirmed","include_cataclysm","False",,"True","True","392","Drake of the East Wind","88335","5","128","|cFFFFD200Achievement: |rGlory of the Cataclysm Raider|n|cFFFFD200Category: |rDungeons & Raids","1881"
"cataclysm_boundary_confirmed","include_cataclysm","False",,"True","True","393","Phosphorescent Stone Drake","88718","0","128","|cFFFFD200Drop:|r Aeonaxx|n|cFFFFD200Location:|r Deepholm|n","1882"
