"status","current_exists","map_id","name","parent_map_id","map_type","flags"
"cataclysm_support_confirmed","True","174","The Lost Isles","948","3","6"
"cataclysm_support_confirmed","True","179","Gilneas","13","6","6"
"cataclysm_support_confirmed","True","194","Kezan","948","3","6"
"cataclysm_support_confirmed","True","198","Mount Hyjal","12","3","6"
"cataclysm_support_confirmed","True","201","Kelp'thar Forest","203","3","6"
"cataclysm_support_confirmed","True","202","Gilneas City","179","3","6"
"cataclysm_support_confirmed","True","203","Vashj'ir","13","3","6"
"cataclysm_support_confirmed","True","204","Abyssal Depths","203","3","6"
"cataclysm_support_confirmed","True","205","Shimmering Expanse","203","3","6"
"cataclysm_support_confirmed","True","207","Deepholm","948","3","6"
"cataclysm_support_confirmed","True","241","Twilight Highlands","13","3","6"
"cataclysm_support_confirmed","True","244","Tol Barad","13","3","0"
"cataclysm_support_confirmed","True","245","Tol Barad Peninsula","13","3","0"
"cataclysm_support_confirmed","True","249","Uldum","12","3","6"
"cataclysm_support_confirmed","True","338","Molten Front","198","6","0"
