"collectible_type","source_id_type","source_id","mapped_id","guide_name","mapping","source_text","source_url","guide_url"
"mount","item","68823","410","Armored Razzashi Raptor","item_effect","Armored Razzashi Raptor The purebred royal raptors of Zul’Gurub, these mounts have become a rare sight in Stranglethorn Vale. The Gurubashi have been known to fly into a rage at the sight of any non-troll riding one of their precious beasts. Drop: Bloodlord Madokir Zul’Gurub --","https://www.wowhead.com/item=68823/armored-razzashi-raptor&brl","https://news.blizzard.com/en-us/article/23492555/cataclysm-mounts-pets-and-more"
"mount","item","94230","398","Brown Riding Camel","name_override_bad_guide_link","Brown Riding Camel Fennimore Quigley is credited with milking the first camel and breaking the record for the “longest unintentional flight,” all the same afternoon. Vendor: Blacksmith Abasi Uldum Faction: Ramkahen -Exalted 100 Gold","https://www.wowhead.com/item=94230/reins-of-the-amber-primordial-direhorn&brl","https://news.blizzard.com/en-us/article/23492555/cataclysm-mounts-pets-and-more"
"mount","item","94230","398","Brown Riding Camel","name_override_bad_guide_link","Brown Riding Camel Fennimore Quigley is credited with milking the first camel and breaking the record for the “longest unintentional flight,” all the same afternoon. Vendor: Blacksmith Abasi Uldum Faction: Ramkahen -Exalted 100 Gold","https://www.wowhead.com/item=94230/reins-of-the-amber-primordial-direhorn&brl","https://news.blizzard.com/en-us/article/23492555/cataclysm-mounts-pets-and-more"
"mount","item","77067","442","Blazing Drake","item_effect","Blazing Drake Blazing Drakes exhibit a boundless passion for life, and are considered by many to be among the most loyal mounts on Azeroth. Drop: Elementium Fragment Dragon Soul --","https://www.wowhead.com/item=77067/reins-of-the-blazing-drake&brl","https://news.blizzard.com/en-us/article/23492555/cataclysm-mounts-pets-and-more"
"mount","spell","97560","417","Corrupted Fire Hawk","source_spell","Corrupted Fire Hawk Millagazor was a fire hawk loyal to Ragnaros. At this time it is unknown how many of Millagazor’s eggs were corrupted. Achievement: Glory of the Firelands Raider -- --","https://www.wowhead.com/spell=97560/corrupted-fire-hawk&brl","https://news.blizzard.com/en-us/article/23492555/cataclysm-mounts-pets-and-more"
"mount","item","62901","392","Drake of the East Wind","item_effect","Drake of the East Wind In Deathwing’s mad quest to forge new dragons, he ignored amazing breeds ever before seen on Azeroth. Achievement: Glory of the Cataclysm Raider -- --","https://www.wowhead.com/item=62901/reins-of-the-drake-of-the-east-wind&brl","https://news.blizzard.com/en-us/article/23492555/cataclysm-mounts-pets-and-more"
"mount","item","63040","395","Drake of the North Wind","item_effect","Drake of the North Wind They sicken of the calm who know the storm. Drop: Altairus The Vortex Pinnacle --","https://www.wowhead.com/item=63040&brl","https://news.blizzard.com/en-us/article/23492555/cataclysm-mounts-pets-and-more"
"mount","item","63041","396","Drake of the South Wind","item_effect","Drake of the South Wind Gentle as a summer breeze, but that says little considering where it came from – Iresh Drop: Al’Akir Throne of the Four Winds --","https://www.wowhead.com/item=63041&brl","https://news.blizzard.com/en-us/article/23492555/cataclysm-mounts-pets-and-more"
"mount","item","63039","394","Drake of the West Wind","item_effect","Drake of the West Wind Harnessing the elemental powers of the storm, these majestic beasts crackle like lightning and roar like thunder. Vendor: Quartermaster Brazie Tol Barad Peninsula Faction: Baradin’s Wardens - Exalted","https://www.wowhead.com/item=63039&brl","https://news.blizzard.com/en-us/article/23492555/cataclysm-mounts-pets-and-more"
"mount","item","78919","445","Experiment 12-B","item_effect","Experiment 12-B Some believe Experiment 12-B is the result of a covert SI-7 initiative, others consider it the outcome of embryonic tinkering by goblin scientists. No matter the case this much is certain: given its streng, speed, and agility, Experiment 12-B was a success! Drop: Lesser Cache of the Aspects Dragon Soul --","https://www.wowhead.com/item=78919/experiment-12-b&brl","https://news.blizzard.com/en-us/article/23492555/cataclysm-mounts-pets-and-more"
"mount","item","71665","425","Flametalon of Alysrazor","item_effect","Flametalon of Alysrazor As with their matriarch, Alysrazor, the fury and fervor of these elemental avians are unquenchable. Drop: Alysrazor Firelands --","https://www.wowhead.com/item=71665/flametalon-of-alysrazor&brl","https://news.blizzard.com/en-us/article/23492555/cataclysm-mounts-pets-and-more"
"mount","item","69213","413","Flameward Hippgryph","item_effect","Flameward Hippgryph Flameward Hippogryphs revel in the defeat of Ragnaros, Lord of Fire. Achievement: The Molten Front Offensive -- --","https://www.wowhead.com/item=69213/flameward-hippogryph&brl","https://news.blizzard.com/en-us/article/23492555/cataclysm-mounts-pets-and-more"
