"achievement_id","title","category_id","order_path","tree_id","description","criteria_id","criteria_type","asset_id","amount","operator"
"73","Disgracin' The Basin","14802","1","7710","Assault 3 bases in a single Arathi Basin battle","123","30","122","3","0"
"154","Arathi Basin Victory","14802","1","2066","Win Arathi Basin","5896","1","529","1","0"
"155","Arathi Basin Veteran","14802","1","4716","Complete 100 victories in Arathi Basin.","5896","1","529","100","0"
"156","Territorial Dominance","14802","1","118","Win 10 Arathi Basin matches while controlling all 5 flags","1234","1","529","10","0"
"157","To The Rescue!","14802","1","5244","Defend 50 bases","414","30","123","50","0"
"158","Me and the Cappin' Makin' it Happen","14802","1","1077","Take 50 flags in Arathi Basin","308","30","122","50","0"
"159","Let's Get This Done","14802","0","1080","Win in 6 minutes","1237","1","529","1","0"
"161","Resilient Victory","14802","1","4406","Overcome a 500 resource disadvantage","3804","1","529","1","0"
"161","Resilient Victory","14802","2","4407","Overcome a 500 resource disadvantage","14966","1","529","1","0"
"162","We Had It All Along *cough*","14802","0","130","Win Arathi Basin by 50 points or less.","1235","1","529","1","0"
"165","Arathi Basin Perfection","14802","1","882","Arathi Basin Shutout","611","1","529","1","0"
"166","Warsong Gulch Victory","14804","1","420","Win Warsong Gulch","5899","1","489","1","0"
"167","Warsong Gulch Veteran","14804","1","423","Complete 100 victories in Warsong Gulch","5899","1","489","100","0"
"168","Warsong Gulch Perfection","14804","1","9103","Victory in Warsong Gulch with a shutout","1236","1","489","1","0"
"199","Capture the Flag","14804","1","3501","Capture the flag","439","30","42","1","0"
"200","Persistent Defender","14804","1","2384","Return the flag 50 times","440","30","44","50","0"
"201","Warsong Expedience","14804","0","8438","Win Warsong Gulch in under 7 minutes","758","1","489","1","0"
"202","Quick Cap","14804","0","2344","Cap in 75 seconds","5602","30","42","1","0"
"203","Not In My House","14804","0","2078","Kill 2 flag carriers before they leave the Silverwing Flag Room","7020","70","0","2","0"
"204","Ironman","14804","1","3656","3 captures and no death","1802","30","42","3","0"
"204","Ironman","14804","2","3657","win warsong","1824","1","489","1","0"
"206","Supreme Defender","14804","0","3410","Horde Flag Carriers","3698","70","0","100","0"
"207","Save the Day","14804","0","13706","Carrying Horde Flag","5605","70","0","1","0"
"207","Save the Day","14804","1","13705","Carrying Alliance Flag","5606","70","0","1","0"
"218","Alterac Valley Victory","14801","1","6279","Win Alterac Valley.","17411","1","30","1","0"
"219","Alterac Valley Veteran","14801","1","3875","Complete 100 victories in Alterac Valley","17411","1","30","100","0"
"220","Stormpike Perfection","14801","1","3827","Balinda and Vandaar survive","1242","1","30","1","0"
"220","Stormpike Perfection","14801","2","3824","win av","1825","1","30","1","0"
"220","Stormpike Perfection","14801","3","3832","Tower A1 owned by the Alliance","1803","1","30","1","0"
"220","Stormpike Perfection","14801","4","3826","Tower A1 owned by the Alliance","1804","1","30","1","0"
"220","Stormpike Perfection","14801","5","3833","Tower A3 owned by the Alliance","1805","1","30","1","0"
"220","Stormpike Perfection","14801","6","3825","Tower A4 owned by the Alliance","1806","1","30","1","0"
"220","Stormpike Perfection","14801","7","3828","Tower H1 owned by the Alliance","1807","1","30","1","0"
"220","Stormpike Perfection","14801","8","3830","Tower H2 owned by the Alliance","1808","1","30","1","0"
"220","Stormpike Perfection","14801","9","3829","Tower H3 owned by the Alliance","1809","1","30","1","0"
"220","Stormpike Perfection","14801","10","3831","Tower H4 owned by the Alliance","1810","1","30","1","0"
"221","Alterac Grave Robber","14801","1","187","Take 50 graveyards","419","30","63","50","0"
"222","Tower Defense","14801","1","3359","50 towers defended","436","30","64","50","0"
"223","The Sickly Gazelle","14801","1","3413","Kill someone in the Field of Strife before they dismount","6800","70","0","1","0"
"224","Loyal Defender","14801","1","4480","50 honorable kills in the Hall of the Frostwolf","3362","31","4407","50","0"
"225","Everything Counts","14801","1","3837","Kobold Cave Owned","3386","1","30","1","0"
"225","Everything Counts","14801","2","3836","Trogg Cave Owned","3387","1","30","1","0"
"226","The Alterac Blitz","14801","1","7772","Win in 6 minutes","1241","1","30","1","0"
"582","Alterac Valley All-Star","14801","1","5565","Assault a graveyard","421","30","63","1","0"
"582","Alterac Valley All-Star","14801","2","5562","Defend a graveyard","422","30","65","1","0"
"582","Alterac Valley All-Star","14801","3","5561","Assault a tower","423","30","61","1","0"
"582","Alterac Valley All-Star","14801","4","5564","Defend a tower","424","30","64","1","0"
"582","Alterac Valley All-Star","14801","5","5563","Kill someone in the Field of Strife","425","31","3057","1","0"
"583","Arathi Basin All-Star","14802","1","7605","Assault 2 bases","426","30","122","2","0"
"583","Arathi Basin All-Star","14802","2","7606","Defend 2 bases","427","30","123","2","0"
"584","Arathi Basin Assassin","14802","1","4851","Kill 5 people at the blacksmith","431","31","3421","5","0"
"584","Arathi Basin Assassin","14802","2","4848","Kill 5 people at the farm","432","31","3420","5","0"
"584","Arathi Basin Assassin","14802","3","4849","Kill 5 people at the gold mine","433","31","3423","5","0"
"584","Arathi Basin Assassin","14802","4","4850","Kill 5 people at the lumber mill","434","31","3422","5","0"
"584","Arathi Basin Assassin","14802","5","4852","Kill 5 people at the stables","435","31","3424","5","0"
"627","Explore Dun Morogh","14777","1","5692","Coldridge Pass","502","43","117","1","0"
"627","Explore Dun Morogh","14777","2","5693","Coldridge Valley","14148","43","2465","1","0"
"627","Explore Dun Morogh","14777","3","5694","Frostmane Front","14149","43","2466","1","0"
"627","Explore Dun Morogh","14777","4","5696","New Tinkertown","14150","43","2467","1","0"
