"status","release_decision","acquisition_expansion","unavailable","availability_note","current_exists","mount_id","name","source_spell_id","source_type_enum","flags","source_text","original_item_ids","att_nyi"
"classic_boundary_confirmed","include_classic","classic","False","","True","6","Brown Horse","458","2","0","|cFFFFD200Vendor: |rUnger Statforth|n|cFFFFD200Zone: |rWetlands|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","5656","False"
"exclude_unobtainable_or_internal","exclude_unobtainable_or_internal","","False","","True","7","Gray Wolf","459","2","64","|cFFFFD200Vendor: |rOgunaro Wolfrunner|n|cFFFFD200Zone: |rOrgrimmar|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","1134","True"
"exclude_unobtainable_or_internal","exclude_unobtainable_or_internal","","False","","True","8","White Stallion","468","2","64","|cFFFFD200Legacy|r","2415;901","True"
"classic_boundary_confirmed","include_classic","classic","False","","True","9","Black Stallion","470","2","0","|cFFFFD200Vendor: |rKatie Stokx|n|cFFFFD200Zone: |rStormwind City|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","2411","False"
"classic_boundary_confirmed","include_classic","classic","False","","True","11","Pinto","472","2","0","|cFFFFD200Vendor: |rKatie Stokx|n|cFFFFD200Zone: |rStormwind City|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","2414","False"
"exclude_unobtainable_or_internal","exclude_unobtainable_or_internal","","False","","True","12","Black Wolf","578","2","64","|cFFFFD200Vendor: |rOgunaro Wolfrunner|n|cFFFFD200Zone: |rOrgrimmar|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","1041","True"
"exclude_unobtainable_or_internal","exclude_unobtainable_or_internal","","False","","True","13","Red Wolf","579","2","64","|cFFFFD200Legacy|r","5663","True"
"classic_boundary_confirmed","include_classic","classic","False","","True","14","Timber Wolf","580","2","0","|cFFFFD200Vendor: |rOgunaro Wolfrunner|n|cFFFFD200Zone: |rOrgrimmar|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","1132","False"
"exclude_unobtainable_or_internal","exclude_unobtainable_or_internal","","False","","True","15","Winter Wolf","581","2","64","|cFFFFD200Legacy|r","1133","True"
"exclude_unobtainable_or_internal","exclude_unobtainable_or_internal","","False","","True","16","Nether-Swept Drake","3363","3","0","|cFFFFD200Profession:|r Voidstorm Fishing|n","21736","True"
"classic_boundary_confirmed","include_classic","classic","False","","True","17","Felsteed","5784","1","0","|cFFFFD200Class: |rWarlock","0","False"
"classic_boundary_confirmed","include_classic","classic","False","","True","18","Chestnut Mare","6648","2","0","|cFFFFD200Vendor: |rKatie Stokx|n|cFFFFD200Zone: |rStormwind City|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","5655","False"
"classic_boundary_confirmed","include_classic","classic","False","","True","19","Dire Wolf","6653","2","0","|cFFFFD200Vendor:|r Ogunaro Wolfrunner|n|cFFFFD200Location:|r Orgrimmar|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","5665","False"
"classic_boundary_confirmed","include_classic","classic","False","","True","20","Brown Wolf","6654","2","0","|cFFFFD200Vendor: |rOgunaro Wolfrunner|n|cFFFFD200Zone: |rOrgrimmar|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","5668","False"
"classic_boundary_confirmed","include_classic","classic","False","","True","21","Gray Ram","6777","2","0","|cFFFFD200Vendor: |rVeron Amberstill|n|cFFFFD200Zone: |rDun Morogh|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","5864","False"
"exclude_unobtainable_or_internal","exclude_unobtainable_or_internal","","False","","True","22","Black Ram","6896","2","64","|cFFFFD200Legacy|r","5874","True"
"classic_boundary_confirmed","include_classic","classic","False","","True","24","White Ram","6898","2","0","|cFFFFD200Vendor: |rVeron Amberstill|n|cFFFFD200Zone: |rDun Morogh|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","5873","False"
"classic_boundary_confirmed","include_classic","classic","False","","True","25","Brown Ram","6899","2","0","|cFFFFD200Vendor: |rVeron Amberstill|n|cFFFFD200Zone: |rDun Morogh|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","5872","False"
"classic_boundary_confirmed","include_classic","classic","False","","True","26","Striped Frostsaber","8394","2","0","|cFFFFD200Vendor: |rLelanai|n|cFFFFD200Zone: |rDarnassus|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","8631","False"
"classic_boundary_confirmed","include_classic","classic","False","","True","27","Emerald Raptor","8395","2","0","|cFFFFD200Vendor: |rZjolnir|n|cFFFFD200Zone: |rDurotar|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","8588","False"
"exclude_unobtainable_or_internal","exclude_unobtainable_or_internal","","False","","True","28","Skeletal Horse","8980","2","64","|cFFFFD200Legacy|r","8583","True"
"classic_boundary_confirmed","include_classic","classic","False","","True","31","Spotted Frostsaber","10789","2","0","|cFFFFD200Vendor: |rLelanai|n|cFFFFD200Zone: |rDarnassus|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t|n","8632","False"
"exclude_unobtainable_or_internal","exclude_unobtainable_or_internal","","False","","True","32","Tiger","10790","5","64","|cFFFFD200Legacy|r","8630","True"
"classic_boundary_confirmed","include_classic","classic","False","","True","34","Striped Nightsaber","10793","2","0","|cFFFFD200Vendor: |rLelanai|n|cFFFFD200Zone: |rDarnassus|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","8629","False"
"exclude_unobtainable_or_internal","exclude_unobtainable_or_internal","","False","","True","35","Ivory Raptor","10795","2","64","|cFFFFD200Legacy|r","8589","True"
"classic_boundary_confirmed","include_classic","classic","False","","True","36","Turquoise Raptor","10796","2","0","|cFFFFD200Vendor: |rZjolnir|n|cFFFFD200Zone: |rDurotar|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","8591","False"
"classic_boundary_confirmed","include_classic","classic","False","","True","38","Violet Raptor","10799","2","0","|cFFFFD200Vendor: |rZjolnir|n|cFFFFD200Zone: |rDurotar|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","8592","False"
"classic_boundary_confirmed","include_classic","classic","False","","True","39","Red Mechanostrider","10873","2","0","|cFFFFD200Vendor: |rMilli Featherwhistle|n|cFFFFD200Zone: |rDun Morogh|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","8563","False"
"classic_boundary_confirmed","include_classic","classic","False","","True","40","Blue Mechanostrider","10969","2","0","|cFFFFD200Vendor: |rMilli Featherwhistle|n|cFFFFD200Zone: |rDun Morogh|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","8595","False"
"classic_boundary_confirmed","include_classic","classic","False","","True","41","Warhorse","13819","1","4","|cFFFFD200Paladin|r|n","0","False"
"classic_boundary_confirmed","include_classic","classic","False","","True","42","White Mechanostrider Mod B","15779","2","64","|cFFFFD200Legacy|r","13326","False"
"exclude_unobtainable_or_internal","exclude_unobtainable_or_internal","","False","","True","43","Green Mechanostrider","15780","2","64","|cFFFFD200Vendor: |rMilli Featherwhistle|n|cFFFFD200Zone: |rDun Morogh|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","0","True"
"classic_boundary_confirmed","include_classic","classic","False","","True","45","Black Nightsaber","16055","2","64","|cFFFFD200Legacy|r","12303","False"
"classic_boundary_confirmed","include_classic","classic","False","","True","46","Ancient Frostsaber","16056","2","64","|cFFFFD200Legacy|r","12302","False"
"classic_boundary_confirmed","include_classic","classic","False","","True","50","Red Wolf","16080","2","64","|cFFFFD200Legacy|r","12330","False"
"classic_boundary_confirmed","include_classic","classic","False","","True","51","Arctic Wolf","16081","0","64","|cFFFFD200Legacy|r","12351","False"
