"status","release_decision","acquisition_expansion","unavailable","current_exists","toy_id","item_id","name","source_boundary","source_type_enum","flags","source_text"
"classic_source_confirmed","include_classic","classic","False","True","1","1973","Orb of Deception","att_classic","0","0","|cFFFFD200Drop: |rWorld Drop"
"classic_source_confirmed","include_classic","classic","False","True","29","21540","Elune's Lantern","att_classic","1","0","|cFFFFD200Quest: |rElune's Blessing|n|cFFFFD200Zone: |rMoonglade"
"classic_source_confirmed","include_classic","classic","False","True","239","17716","Snowmaster 9000","att_classic","3","0","|cFFFFD200Profession: |rEngineering"
"classic_source_confirmed","include_classic","classic","False","True","255","17712","Winter Veil Disguise Kit","att_classic","6","0","|cFFFFD200World Event: |rFeast of Winter Veil"
"classic_source_confirmed","include_classic","classic","False","True","256","18660","World Enlarger","att_classic","3","0","|cFFFFD200Profession: |rEngineering"
"classic_source_confirmed","include_classic","classic","False","True","378","13379","Piccolo of the Flaming Fire","att_classic","0","0","|cFFFFD200Drop: |rHearthsinger Forresten|n|cFFFFD200Zone: |rStratholme"
"classic_source_confirmed","include_classic","classic","False","True","480","18986","Ultrasafe Transporter: Gadgetzan","att_classic","3","2","|cFFFFD200Profession: |rEngineering"
"classic_source_confirmed","include_classic","classic","False","True","482","18984","Dimensional Ripper - Everlook","att_classic","3","2","|cFFFFD200Profession: |rEngineering"
"classic_source_confirmed","include_classic","classic","False","True","582","141331","Vial of Green Goo","att_classic_source_tree","0","2","|cFFFFD200Drop:|r Endgineer Omegaplugg|n"
"classic_source_confirmed","include_classic","classic","False","True","1340","208096","Familiar Journal","att_classic_source_tree","10","0","|cFFFFD200Discovery:|r Naxxramas|n"
