"status","current_exists","achievement_id","title","description","category_id","category_name","criteria_tree_id","reward_item_id","flags","points"
"dragonflight_category_confirmed","True","15325","Dracthyr, Awaken","Complete the following storylines in the Forbidden Reach.","15455","Dragonflight","94275","0","131072","10"
"dragonflight_category_confirmed","True","15394","Ohn'a'Roll","Complete the following storylines in the Ohn'ahran Plains.","15455","Dragonflight","137509","0","0","10"
"dragonflight_category_confirmed","True","15638","Dracthyr, Awaken","Complete the following storylines in the Forbidden Reach.","15455","Dragonflight","95596","0","131072","10"
"snapshot_candidate","True","15641","Many More Mini Minions","Collect 1200 unique pets.","15118","Collect","134003","191941","143360","10"
"snapshot_candidate","True","15642","Proven Pet Parent","Collect 1400 unique pets.","15118","Collect","134005","191936","143360","10"
"snapshot_candidate","True","15643","What Can I Say? They Love Me.","Collect 1600 unique pets.","15118","Collect","134007","191932","143360","10"
"internal_dnt","True","15655","Dragon Isles Blacksmithing 25 (DNT)","","15490","Blacksmithing","134147","0","9437188","0"
"internal_dnt","True","15656","Dragon Isles Blacksmithing 50 (DNT)","","15490","Blacksmithing","134149","0","9437188","0"
"internal_dnt","True","15657","Dragon Isles Blacksmithing 75 (DNT)","","15490","Blacksmithing","134153","0","9437188","0"
"internal_dnt","True","15658","Dragon Isles Alchemy 25 (DNT)","","15489","Alchemy","134155","0","9437188","0"
"internal_dnt","True","15659","Dragon Isles Alchemy 50 (DNT)","","15489","Alchemy","134157","0","9437188","0"
"internal_dnt","True","15660","Dragon Isles Alchemy 75 (DNT)","","15489","Alchemy","134161","0","9437188","0"
"dragonflight_category_hidden","True","15696","Ruby Lifeshrine Loop: Bronze","Complete Waking Shores Ruby Lifeshrine Loop.","15462","Dragonriding","0","0","1048576","0"
"dragonflight_category_hidden","True","15697","Ruby Lifeshrine Loop: Silver","Get Silver ranked time for Waking Shores Ruby Lifeshrine Loop.","15462","Dragonriding","0","0","1048576","0"
"dragonflight_category_hidden","True","15698","Ruby Lifeshrine Loop: Gold","Get Gold ranked time for Waking Shores Ruby Lifeshrine Loop.","15462","Dragonriding","0","0","1048576","0"
"dragonflight_category_hidden","True","15702","Ruby Lifeshrine Loop Advanced: Bronze","Complete Waking Shores Ruby Lifeshrine Loop Advanced.","15462","Dragonriding","0","0","1048576","0"
"dragonflight_category_hidden","True","15703","Ruby Lifeshrine Loop Advanced: Silver","Get Silver ranked time for Waking Shores Ruby Lifeshrine Loop Advanced.","15462","Dragonriding","0","0","1048576","0"
"dragonflight_category_hidden","True","15704","Ruby Lifeshrine Loop Advanced: Gold","Get Gold ranked time for Waking Shores Ruby Lifeshrine Loop Advanced.","15462","Dragonriding","0","0","1048576","0"
"dragonflight_category_hidden","True","15705","Flashfrost Flyover: Bronze","Complete Waking Shores Flashfrost Flyover.","15462","Dragonriding","0","0","1048576","0"
"dragonflight_category_hidden","True","15706","Flashfrost Flyover: Silver","Get Silver ranked time for Waking Shores Flashfrost Flyover.","15462","Dragonriding","0","0","1048576","0"
"dragonflight_category_hidden","True","15707","Flashfrost Flyover: Gold","Get Gold ranked time for Waking Shores Flashfrost Flyover.","15462","Dragonriding","0","0","1048576","0"
"internal_dnt","True","15708","<Hidden> 10.0 Dragon Riding - Drake Customization - Protodrake - Green Scales [DNT]","","15422","Shadowlands","134874","0","1179652","0"
"dragonflight_category_hidden","True","15709","Flashfrost Flyover Advanced: Bronze","Complete Waking Shores Flashfrost Flyover Advanced.","15462","Dragonriding","0","0","1048576","0"
"dragonflight_category_hidden","True","15710","Flashfrost Flyover Advanced: Silver","Get Silver ranked time for Waking Shores Flashfrost Flyover Advanced.","15462","Dragonriding","0","0","1048576","0"
"dragonflight_category_hidden","True","15711","Flashfrost Flyover Advanced: Gold","Get Gold ranked time for Waking Shores Flashfrost Flyover Advanced.","15462","Dragonriding","0","0","1048576","0"
"dragonflight_category_hidden","True","15712","Wild Preserve Slalom: Bronze","Complete Waking Shores Wild Preserve Slalom.","15462","Dragonriding","0","0","1048576","0"
"dragonflight_category_hidden","True","15713","Wild Preserve Slalom: Silver","Get Silver ranked time for Waking Shores Wild Preserve Slalom.","15462","Dragonriding","0","0","1048576","0"
"dragonflight_category_hidden","True","15714","Wild Preserve Slalom: Gold","Get Gold ranked time for Waking Shores Wild Preserve Slalom.","15462","Dragonriding","0","0","1048576","0"
"dragonflight_category_hidden","True","15715","Wild Preserve Slalom Advanced: Bronze","Complete Waking Shores Wild Preserve Slalom Advanced.","15462","Dragonriding","0","0","1048576","0"
"dragonflight_category_hidden","True","15716","Wild Preserve Slalom Advanced: Silver","Get Silver ranked time for Waking Shores Wild Preserve Slalom Advanced.","15462","Dragonriding","0","0","1048576","0"
"dragonflight_category_hidden","True","15717","Wild Preserve Slalom Advanced: Gold","Get Gold ranked time for Waking Shores Wild Preserve Slalom Advanced.","15462","Dragonriding","0","0","1048576","0"
"dragonflight_category_hidden","True","15718","Wild Preserve Circuit: Bronze","Complete Waking Shores Wild Preserve Circuit.","15462","Dragonriding","0","0","1048576","0"
"dragonflight_category_hidden","True","15719","Wild Preserve Circuit: Silver","Get Silver ranked time for Waking Shores Wild Preserve Circuit.","15462","Dragonriding","0","0","1048576","0"
"dragonflight_category_hidden","True","15720","Wild Preserve Circuit: Gold","Get Gold ranked time for Waking Shores Wild Preserve Circuit.","15462","Dragonriding","0","0","1048576","0"
"dragonflight_category_hidden","True","15721","Wild Preserve Circuit Advanced: Bronze","Complete Waking Shores Wild Preserve Circuit Advanced.","15462","Dragonriding","0","0","1048576","0"
"dragonflight_category_hidden","True","15722","Wild Preserve Circuit Advanced: Silver","Get Silver ranked time for Waking Shores Wild Preserve Circuit Advanced.","15462","Dragonriding","0","0","1048576","0"
"dragonflight_category_hidden","True","15723","Wild Preserve Circuit Advanced: Gold","Get Gold ranked time for Waking Shores Wild Preserve Circuit Advanced.","15462","Dragonriding","0","0","1048576","0"
"dragonflight_category_hidden","True","15724","Emberflow Flight: Bronze","Complete Waking Shores Emberflow Flight.","15462","Dragonriding","0","0","1048576","0"
"dragonflight_category_hidden","True","15725","Emberflow Flight: Silver","Get Silver ranked time for Waking Shores Emberflow Flight.","15462","Dragonriding","0","0","1048576","0"
"dragonflight_category_hidden","True","15726","Emberflow Flight: Gold","Get Gold ranked time for Waking Shores Emberflow Flight.","15462","Dragonriding","0","0","1048576","0"
"dragonflight_category_hidden","True","15727","Emberflow Flight Advanced: Bronze","Complete Waking Shores Emberflow Flight Advanced.","15462","Dragonriding","0","0","1048576","0"
"dragonflight_category_hidden","True","15728","Emberflow Flight Advanced: Silver","Get Silver ranked time for Waking Shores Emberflow Flight Advanced.","15462","Dragonriding","0","0","1048576","0"
"dragonflight_category_hidden","True","15729","Emberflow Flight Advanced: Gold","Get Gold ranked time for Waking Shores Emberflow Flight Advanced.","15462","Dragonriding","0","0","1048576","0"
"dragonflight_category_hidden","True","15730","Apex Canopy River Run: Bronze","Complete Waking Shores Apex Canopy River Run.","15462","Dragonriding","0","0","1048576","0"
"dragonflight_category_hidden","True","15731","Apex Canopy River Run: Silver","Get Silver ranked time for Waking Shores Apex Canopy River Run.","15462","Dragonriding","0","0","1048576","0"
"dragonflight_category_hidden","True","15732","Apex Canopy River Run: Gold","Get Gold ranked time for Waking Shores Apex Canopy River Run.","15462","Dragonriding","0","0","1048576","0"
"dragonflight_category_hidden","True","15733","Apex Canopy River Run Advanced: Bronze","Complete Waking Shores Apex Canopy River Run Advanced.","15462","Dragonriding","0","0","1048576","0"
"dragonflight_category_hidden","True","15734","Apex Canopy River Run Advanced: Silver","Get Silver ranked time for Waking Shores Apex Canopy River Run Advanced.","15462","Dragonriding","0","0","1048576","0"
"dragonflight_category_hidden","True","15735","Apex Canopy River Run Advanced: Gold","Get Gold ranked time for Waking Shores Apex Canopy River Run Advanced.","15462","Dragonriding","0","0","1048576","0"
"dragonflight_category_hidden","True","15736","Uktulut Coaster: Bronze","Complete Waking Shores Uktulut Coaster.","15462","Dragonriding","0","0","1048576","0"
"dragonflight_category_hidden","True","15737","Uktulut Coaster: Silver","Get Silver ranked time for Waking Shores Uktulut Coaster.","15462","Dragonriding","0","0","1048576","0"
"dragonflight_category_hidden","True","15738","Uktulut Coaster: Gold","Get Gold ranked time for Waking Shores Uktulut Coaster.","15462","Dragonriding","0","0","1048576","0"
"dragonflight_category_hidden","True","15739","Uktulut Coaster Advanced: Bronze","Complete Waking Shores Uktulut Coaster Advanced.","15462","Dragonriding","0","0","1048576","0"
"dragonflight_category_hidden","True","15740","Uktulut Coaster Advanced: Silver","Get Silver ranked time for Waking Shores Uktulut Coaster Advanced.","15462","Dragonriding","0","0","1048576","0"
"dragonflight_category_hidden","True","15741","Uktulut Coaster Advanced: Gold","Get Gold ranked time for Waking Shores Uktulut Coaster Advanced.","15462","Dragonriding","0","0","1048576","0"
"dragonflight_category_hidden","True","15742","Wingrest Roundabout: Bronze","Complete Waking Shores Wingrest Roundabout.","15462","Dragonriding","0","0","1048576","0"
"dragonflight_category_hidden","True","15743","Wingrest Roundabout: Silver","Get Silver ranked time for Waking Shores Wingrest Roundabout.","15462","Dragonriding","0","0","1048576","0"
"dragonflight_category_hidden","True","15744","Wingrest Roundabout: Gold","Get Gold ranked time for Waking Shores Wingrest Roundabout.","15462","Dragonriding","0","0","1048576","0"
"dragonflight_category_hidden","True","15745","Wingrest Roundabout Advanced: Bronze","Complete Waking Shores Wingrest Roundabout Advanced.","15462","Dragonriding","0","0","1048576","0"
"dragonflight_category_hidden","True","15746","Wingrest Roundabout Advanced: Silver","Get Silver ranked time for Waking Shores Wingrest Roundabout Advanced.","15462","Dragonriding","0","0","1048576","0"
"dragonflight_category_hidden","True","15747","Wingrest Roundabout Advanced: Gold","Get Gold ranked time for Waking Shores Wingrest Roundabout Advanced.","15462","Dragonriding","0","0","1048576","0"
"dragonflight_category_hidden","True","15757","Sundapple Copse Circuit: Bronze","Complete Ohn'ahran Plains Sundapple Copse Circuit.","15462","Dragonriding","0","0","1048576","0"
"dragonflight_category_hidden","True","15758","Sundapple Copse Circuit: Silver","Get Silver ranked time for Ohn'ahran Plains Sundapple Copse Circuit.","15462","Dragonriding","0","0","1048576","0"
"dragonflight_category_hidden","True","15759","Sundapple Copse Circuit: Gold","Get Gold ranked time for Ohn'ahran Plains Sundapple Copse Circuit.","15462","Dragonriding","0","0","1048576","0"
"dragonflight_category_hidden","True","15760","Sundapple Copse Circuit Advanced: Bronze","Complete Ohn'ahran Plains Waygate Sundapple Copse Circuit.","15462","Dragonriding","0","0","1048576","0"
"dragonflight_category_hidden","True","15761","Sundapple Copse Circuit Advanced: Silver","Get Silver ranked time for Ohn'ahran Plains Sundapple Copse Circuit Advanced.","15462","Dragonriding","0","0","1048576","0"
"dragonflight_category_hidden","True","15762","Sundapple Copse Circuit Advanced: Gold","Get Gold ranked time for Ohn'ahran Plains Sundapple Copse Circuit Advanced.","15462","Dragonriding","0","0","1048576","0"
"dragonflight_category_hidden","True","15763","Fen Flythrough: Bronze","Complete Ohn'ahran Plains Fen Flythrough.","15462","Dragonriding","0","0","1048576","0"
"dragonflight_category_hidden","True","15764","Fen Flythrough: Silver","Get Silver ranked time for Ohn'ahran Plains Fen Flythrough.","15462","Dragonriding","0","0","1048576","0"
"dragonflight_category_hidden","True","15765","Fen Flythrough: Gold","Get Gold ranked time for Ohn'ahran Plains Fen Flythrough.","15462","Dragonriding","0","0","1048576","0"
"dragonflight_category_hidden","True","15766","Fen Flythrough Advanced: Bronze","Complete Ohn'ahran Plains Fen Flythrough Advanced.","15462","Dragonriding","0","0","1048576","0"
"dragonflight_category_hidden","True","15767","Fen Flythrough Advanced: Silver","Get Silver ranked time for Ohn'ahran Plains Fen Flythrough Advanced.","15462","Dragonriding","0","0","1048576","0"
"dragonflight_category_hidden","True","15768","Fen Flythrough Advanced: Gold","Get Gold ranked time for Ohn'ahran Plains Fen Flythrough Advanced.","15462","Dragonriding","0","0","1048576","0"
"dragonflight_category_hidden","True","15769","Ravine River Run: Bronze","Complete Ohn'ahran Plains Ravine River Run.","15462","Dragonriding","0","0","1048576","0"
"dragonflight_category_hidden","True","15770","Ravine River Run: Silver","Get Silver ranked time for Ohn'ahran Plains Ravine River Run.","15462","Dragonriding","0","0","1048576","0"
"dragonflight_category_hidden","True","15771","Ravine River Run: Gold","Get Gold ranked time for Ohn'ahran Plains Ravine River Run.","15462","Dragonriding","0","0","1048576","0"
"dragonflight_category_hidden","True","15772","Ravine River Run Advanced: Bronze","Complete Ohn'ahran Plains Ravine River Run Advanced.","15462","Dragonriding","0","0","1048576","0"
"dragonflight_category_hidden","True","15773","Ravine River Run Advanced: Silver","Get Silver ranked time for Ohn'ahran Plains Ravine River Run Advanced.","15462","Dragonriding","0","0","1048576","0"
"dragonflight_category_hidden","True","15774","Ravine River Ru, Advanced: Gold","Get Gold ranked time for Ohn'ahran Plains Ravine River Run Advanced.","15462","Dragonriding","0","0","1048576","0"
"dragonflight_category_hidden","True","15775","Emerald Gardens Ascent: Bronze","Complete Ohn'ahran Plains Emerald Gardens Ascent.","15462","Dragonriding","0","0","1048576","0"
"dragonflight_category_hidden","True","15776","Emerald Gardens Ascent: Silver","Get Silver ranked time for Ohn'ahran Plains Emerald Gardens Ascent.","15462","Dragonriding","0","0","1048576","0"
"dragonflight_category_hidden","True","15777","Emerald Gardens Ascent: Gold","Get Gold ranked time for Ohn'ahran Plains Emerald Gardens Ascent.","15462","Dragonriding","0","0","1048576","0"
"dragonflight_category_hidden","True","15778","Emerald Gardens Ascent Advanced: Bronze","Complete Ohn'ahran Plains Emerald Gardens Ascent Advanced.","15462","Dragonriding","0","0","1048576","0"
"dragonflight_category_hidden","True","15779","Emerald Gardens Ascent Advanced: Silver","Get Silver ranked time for Ohn'ahran Plains Emerald Gardens Ascent Advanced.","15462","Dragonriding","0","0","1048576","0"
"dragonflight_category_hidden","True","15780","Emerald Gardens Ascent Advanced: Gold","Get Gold ranked time for Ohn'ahran Plains Emerald Gardens Ascent Advanced.","15462","Dragonriding","0","0","1048576","0"
"snapshot_candidate","True","15781","The Joy of Toy","Collect 500 toys.","15247","Toy Box","135709","197986","131072","10"
"dragonflight_category_hidden","True","15782","Maruukai Dash: Bronze","Complete Ohn'ahran Plains Maruukai Dash.","15462","Dragonriding","0","0","1048576","0"
"dragonflight_category_hidden","True","15783","Maruukai Dash: Silver","Get Silver ranked time for Ohn'ahran Plains Maruukai Dash.","15462","Dragonriding","0","0","1048576","0"
"dragonflight_category_hidden","True","15784","Maruukai Dash: Gold","Get Gold ranked time for Ohn'ahran Plains Maruukai Dash.","15462","Dragonriding","0","0","1048576","0"
"dragonflight_category_hidden","True","15785","Mirror of the Sky Dash: Bronze","Complete Ohn'ahran Plains Mirror of the Sky Dash.","15462","Dragonriding","0","0","1048576","0"
"dragonflight_category_hidden","True","15786","Mirror of the Sky Dash: Silver","Get Silver ranked time for Ohn'ahran Plains Mirror of the Sky Dash.","15462","Dragonriding","0","0","1048576","0"
"dragonflight_category_hidden","True","15787","Mirror of the Sky Dash: Gold","Get Gold ranked time for Ohn'ahran Plains Mirror of the Sky Dash.","15462","Dragonriding","0","0","1048576","0"
"dragonflight_category_hidden","True","15788","The Azure Span Sprint: Bronze","Complete The Azure Span Sprint.","15462","Dragonriding","0","0","1048576","0"
"dragonflight_category_hidden","True","15789","The Azure Span Sprint: Silver","Get Silver ranked time for The Azure Span Sprint.","15462","Dragonriding","0","0","1048576","0"
"dragonflight_category_hidden","True","15790","The Azure Span Sprint: Gold","Get Gold ranked time for The Azure Span Sprint.","15462","Dragonriding","0","0","1048576","0"
"dragonflight_category_hidden","True","15791","The Azure Span Sprint Advanced: Bronze","Complete The Azure Span Sprint Advanced.","15462","Dragonriding","0","0","1048576","0"
"dragonflight_category_hidden","True","15792","The Azure Span Sprint Advanced: Silver","Get Silver ranked time for The Azure Span Sprint Advanced.","15462","Dragonriding","0","0","1048576","0"
"dragonflight_category_hidden","True","15793","The Azure Span Sprint Advanced: Gold","Get Gold ranked time for The Azure Span Sprint Advanced.","15462","Dragonriding","0","0","1048576","0"
"dragonflight_category_confirmed","True","15794","A New Friend","Unlock the Renewed Proto-Drake.","15455","Dragonflight","135717","0","393216","10"
"dragonflight_category_confirmed","True","15795","Together in the Skies","Unlock the Windborne Velocidrake.","15455","Dragonflight","138126","0","131072","10"
"dragonflight_category_confirmed","True","15796","Cliffside Companion","Unlock the Cliffside Wylderdrake.","15455","Dragonflight","138130","0","131072","10"
