"currency_id","name","description","category_id","faction_id","max_quantity","flags_0","flags_1"
"1986","Players Remaining","","142","0","0","72958976","4"
"2001","Paden Test Currency","","144","0","0","2","0"
"2002","Renown-Maruuk Centaur","It's Renown","142","0","25","68943872","0"
"2003","Dragon Isles Supplies","Various resources and building materials that can assist the friendly factions of the Dragon Isles in their fight against the Primalists. Used to purchase items unlocked from renown.","250","0","0","134217730","0"
"2005","Druid Talent Points (DNT)","","1","0","0","0","0"
"2006","Restoration Talent Points (DNT)","","1","0","0","0","0"
"2011","Effigy Adornments","Crafted by the Shikaar, these adornments can enhance Major Hunt effigies.","250","0","0","34603010","0"
"2012","Death Knight Talent Points (DNT)","","1","0","0","0","0"
"2013","Frost Talent Points (DNT)","","1","0","0","0","0"
"2014","Unholy Talent Points (DNT)","","1","0","0","0","0"
"2015","Blood Talent Points (DNT)","","1","0","0","0","0"
"2016","Dragon Racing - Scoreboard - Race Complete Time","","251","0","0","68682752","0"
"2017","Dragon Racing - Scoreboard - Race Complete Time - Fraction 1","","251","0","0","68682752","0"
"2018","Dragon Racing - Scoreboard - Race Quest ID","","251","0","0","68682752","0"
"2019","Dragon Racing - Scoreboard - Race Complete Time - Silver","","251","0","0","68682752","0"
"2020","Dragon Racing - Scoreboard - Race Complete Time - Gold","","251","0","0","68682752","0"
"2021","Renown-Dragonscale Expedition","It's Renown","142","0","25","68943872","0"
"2022","Dragon Racing - Multiplayer Race Placement","","251","0","0","68682752","0"
"2023","Dragon Isles Blacksmithing Knowledge","Use Knowledge to learn Blacksmithing Specializations.

Knowledge can be gained through various means such as crafting recipes for the first time and completing quests offered in the Artisan's Market in Valdrakken.","142","0","0","0","0"
"2024","Dragon Isles Alchemy Knowledge","Use Knowledge to learn Alchemy Specializations.

Knowledge can be gained through various means such as crafting recipes for the first time and completing quests offered in the Artisan's Market in Valdrakken.","142","0","0","0","0"
"2025","Dragon Isles Leatherworking Knowledge","Use Knowledge to learn Leatherworking Specializations.

Knowledge can be gained through various means such as crafting recipes for the first time and completing quests offered in the Artisan's Market in Valdrakken.","142","0","0","0","0"
"2026","Dragon Isles Tailoring Knowledge","Use Knowledge to learn Tailoring Specializations.

Knowledge can be gained through various means such as crafting recipes for the first time and completing quests offered in the Artisan's Market in Valdrakken.","142","0","0","0","0"
"2027","Dragon Isles Engineering Knowledge","Use Knowledge to learn Engineering Specializations.

Knowledge can be gained through various means such as crafting recipes for the first time and completing quests offered in the Artisan's Market in Valdrakken.","142","0","0","0","0"
"2028","Dragon Isles Inscription Knowledge","Use Knowledge to learn Inscription Specializations.

Knowledge can be gained through various means such as crafting recipes for the first time and completing quests offered in the Artisan's Market in Valdrakken.","142","0","0","0","0"
"2029","Dragon Isles Jewelcrafting Knowledge","Use Knowledge to learn Jewelcrafting Specializations.

Knowledge can be gained through various means such as crafting recipes for the first time and completing quests offered in the Artisan's Market in Valdrakken.","142","0","0","0","0"
"2030","Dragon Isles Enchanting Knowledge","Use Knowledge to learn Enchanting Specializations.

Knowledge can be gained through various means such as crafting recipes for the first time and completing quests offered in the Artisan's Market in Valdrakken.","142","0","0","0","0"
"2031","Dragonscale Expedition","Grants Reputation with the Dragonscale Expedition.","142","2507","0","10","0"
"2032","Trader's Tender","Trader's Tender is exchanged for goods with the Trading Post.","1","0","0","2097154","8"
"2033","Dragon Isles Skinning Knowledge","Use Knowledge to learn Skinning Specializations.

Knowledge can be gained through various means such as studying discoveries found while skinning and completing quests offered by your trainer in Valdrakken.","142","0","0","0","0"
"2034","Dragon Isles Herbalism Knowledge","Use Knowledge to learn Herbalism Specializations.

Knowledge can be gained through various means such as studying discoveries found while gathering and completing quests offered by your trainer in Valdrakken.","142","0","0","0","0"
"2035","Dragon Isles Mining Knowledge","Use Knowledge to learn Mining Specializations.

Knowledge can be gained through various means such as studying discoveries found while mining and completing quests offered by your trainer in Valdrakken.","142","0","0","0","0"
"2036","Ancient Waygate Energy","Ancient Waygate Energy","142","0","7","74973184","0"
"2037","Dragon Racing - Scoreboard - Race Complete Time -Silver Fract 1","","251","0","0","68682752","0"
"2038","Dragon Racing - Scoreboard - Race Complete Time - Gold Fract 1","","251","0","0","68682752","0"
"2039","Dragon Racing - Scoreboard - Personal Best - Waking Shores 1","","251","0","0","68682752","0"
"2040","Dragon Racing - Scoreboard - Personal Best Time","","251","0","0","68682752","0"
"2041","Dragon Racing - Scoreboard - Personal Best Time - Fraction 1","","251","0","0","68682752","0"
"2042","Dragon Racing - Personal Best Record - Waking Shores 01 Easy","","251","0","0","68682752","0"
"2043","Dragon Racing - Personal Best Record - Waking Shores 01 Medium","","251","0","0","68682752","0"
"2044","Dragon Racing - Personal Best Record - Waking Shores 01 Hard","","251","0","0","68682752","0"
"2045","Dragon Glyph Embers","Proof of being bathed in the dragonfire of Dragon Glyphs. Can be turned in to Dragonrider trainers for enhanced training.","250","0","0","34603010","0"
"2046","Dragon Racing - Personal Best Record - Waking Shores 07 Easy","","251","0","0","68682752","0"
"2047","Dragon Racing - Personal Best Record - Waking Shores 07 Hard","","251","0","0","68682752","0"
"2048","Dragon Racing - Personal Best Record - Waking Shores 02 Easy","","251","0","0","68682752","0"
"2049","Dragon Racing - Personal Best Record - Waking Shores 02 Hard","","251","0","0","68682752","0"
"2050","Dragon Racing - Personal Best Record - Waking Shores 08 Easy","","251","0","0","68682752","0"
"2051","Dragon Racing - Personal Best Record - Waking Shores 08 Hard","","251","0","0","68682752","0"
"2052","Dragon Racing - Personal Best Record - Waking Shores 03 Easy","","251","0","0","68682752","0"
"2053","Dragon Racing - Personal Best Record - Waking Shores 03 Hard","","251","0","0","68682752","0"
"2054","Dragon Racing - Personal Best Record - Waking Shores 04 Easy","","251","0","0","68682752","0"
"2055","Dragon Racing - Personal Best Record - Waking Shores 04 Hard","","251","0","0","68682752","0"
"2056","Dragon Racing - Personal Best Record - Waking Shores 05 Easy","","251","0","0","68682752","0"
"2057","Dragon Racing - Personal Best Record - Waking Shores 05 Hard","","251","0","0","68682752","0"
"2058","Dragon Racing - Personal Best Record - Waking Shores 06 Easy","","251","0","0","68682752","0"
"2059","Dragon Racing - Personal Best Record - Waking Shores 06 Hard","","251","0","0","68682752","0"
"2060","Dragon Racing - Personal Best Record - Ohn'ahran Plains 01 Easy","","251","0","0","68682752","0"
"2061","Dragon Racing - Personal Best Record - Ohn'ahran Plains 01 Hard","","251","0","0","68682752","0"
"2062","Dragon Racing - Personal Best Record - Ohn'ahran Plains 02 Easy","","251","0","0","68682752","0"
"2063","Dragon Racing - Personal Best Record - Ohn'ahran Plains 02 Hard","","251","0","0","68682752","0"
"2064","Dragon Racing - Personal Best Record - Ohn'ahran Plains 03 Easy","","251","0","0","68682752","0"
"2065","Dragon Racing - Personal Best Record - Ohn'ahran Plains 03 Hard","","251","0","0","68682752","0"
"2066","Dragon Racing - Personal Best Record - Ohn'ahran Plains 04 Easy","","251","0","0","68682752","0"
"2067","Dragon Racing - Personal Best Record - Ohn'ahran Plains 04 Hard","","251","0","0","68682752","0"
"2069","Dragon Racing - Personal Best Record - Ohn'ahran Plains D05 Easy","","251","0","0","68682752","0"
"2070","Dragon Racing - Personal Best Record - Ohn'ahran Plains D06 Easy","","251","0","0","68682752","0"
"2073","[AC] Major Faction Test Currency","","250","0","80000","1343488","0"
"2074","Dragon Racing - Personal Best Record - Azure Span 01 Easy","","251","0","0","68682752","0"
"2075","Dragon Racing - Personal Best Record - Azure Span 01 Hard","","251","0","0","68682752","0"
"2076","Dragon Racing - Personal Best Record - Azure Span 02 Easy","","251","0","0","68682752","0"
"2077","Dragon Racing - Personal Best Record - Azure Span 02 Hard","","251","0","0","68682752","0"
"2078","Dragon Racing - Personal Best Record - Azure Span 03 Easy","","251","0","0","68682752","0"
"2079","Dragon Racing - Personal Best Record - Azure Span 03 Hard","","251","0","0","68682752","0"
"2080","Dragon Racing - Personal Best Record - Thaldraszus 01 Easy","","251","0","0","68682752","0"
"2081","Dragon Racing - Personal Best Record - Thaldraszus 01 Hard","","251","0","0","68682752","0"
"2082","Dragon Racing - Personal Best Record - Waking Shores MP 1","","251","0","0","68682752","0"
"2083","Dragon Racing - Personal Best Record - Azure Span 04 Easy","","251","0","0","68682752","0"
"2084","Dragon Racing - Personal Best Record - Azure Span 04 Hard","","251","0","0","68682752","0"
"2085","Dragon Racing - Personal Best Record - Azure Span 05 Easy","","251","0","0","68682752","0"
"2086","Dragon Racing - Personal Best Record - Azure Span 05 Hard","","251","0","0","68682752","0"
"2087","Renown-Tuskarr","It's Renown","142","0","30","68943872","0"
"2088","Renown-Valdrakken","It's Renown","142","0","30","68943872","0"
"2089","Dragon Racing - Personal Best Record - Azure Span 06 Easy","","251","0","0","68682752","0"
"2090","Dragon Racing - Personal Best Record - Azure Span 06 Hard","","251","0","0","68682752","0"
"2091","Dragon Racing - Tracking [DNT]","","251","0","0","68682752","0"
"2092","Dragon Racing - Personal Best Record - Thaldraszus 02 Easy","","251","0","0","68682752","0"
"2093","Dragon Racing - Personal Best Record - Thaldraszus 02 Hard","","251","0","0","68682752","0"
"2094","[DNT] AC Major Faction Test Renown","It's Renown","142","0","80","262146","0"
"2095","Dragon Racing - Personal Best Record - Thaldraszus MP 1","","251","0","0","68682752","0"
"2096","Dragon Racing - Personal Best Record - Thaldraszus 03 Easy","","251","0","0","68682752","0"
"2097","Dragon Racing - Personal Best Record - Thaldraszus 03 Hard","","251","0","0","68682752","0"
"2098","Dragon Racing - Personal Best Record - Thaldraszus 04 Easy","","251","0","0","68682752","0"
"2099","Dragon Racing - Personal Best Record - Thaldraszus 04 Hard","","251","0","0","68682752","0"
"2100","Dragon Racing - Versioning [DNT]","","251","0","0","68682752","0"
"2101","Dragon Racing - Personal Best Record - Thaldraszus 05 Easy","","251","0","0","68682752","0"
"2102","Dragon Racing - Personal Best Record - Thaldraszus 05 Hard","","251","0","0","68682752","0"
"2103","Dragon Racing - Personal Best Record - Thaldraszus 06 Easy","","251","0","0","68682752","0"
"2104","Dragon Racing - Personal Best Record - Thaldraszus 06 Hard","","251","0","0","68682752","0"
