"status","acquisition_expansion","catalog_theme_expansion","decor_id","item_id","decor_name","catalog_name","category","source_text","achievement_ids","quest_ids","npc_ids","spell_ids","currency_ids","classification_note","acquisition_source_url","item_name","item_expansion_id","flags","type","model_type","weight_cost"
"internal_dnt",,,"12","245399","[DNT] Orgrimmar Interior Wall - DO NOT USE",,,,,,,,,,,,,"192","1","2","3"
"internal_dnt",,,"13","245420","[DNT] Partition Pillar (WMO) - DO NOT USE",,,,,,,,,,,,,"192","1","2","3"
"internal_dnt",,,"60","245419","[DNT] Partition Doorway (WMO) - DO NOT USE",,,,,,,,,,,,,"192","1","2","3"
"needs_acquisition_expansion",,,"80","235994","Ornate Stonework Fireplace",,,,,,,,,,,"Ornate Stonework Fireplace","-3","3","1","1","5"
"needs_acquisition_expansion",,,"81","245398","Tusked Fireplace",,,,,,,,,,,"Tusked Fireplace","-3","3","1","1","5"
"internal_dnt",,,"83","245391","[DNT] Plain Interior Narrow Wall - DO NOT USE",,,,,,,,,,,,,"192","1","2","3"
"internal_dnt",,,"84","245389","[DNT] Plain Interior Wall - DO NOT USE",,,,,,,,,,,,,"192","1","2","3"
"internal_dnt",,,"85","245387","[DNT] Sturdy Wooden Interior Pillar - DO NOT USE",,,,,,,,,,,,,"192","1","2","3"
"internal_dnt",,,"87","245361","[DNT] Stormwind Interior Pillar - DO NOT USE",,,,,,,,,,,,,"192","1","2","3"
"internal_dnt",,,"88","245363","[DNT] Stormwind Interior Doorway - DO NOT USE",,,,,,,,,,,,,"192","1","2","3"
"internal_dnt",,,"89","245362","[DNT] Stormwind Interior Wall - DO NOT USE",,,,,,,,,,,,,"192","1","2","3"
"internal_dnt",,,"90","245364","[DNT] Stormwind Interior Narrow Wall - DO NOT USE",,,,,,,,,,,,,"192","1","2","3"
"internal_dnt",,,"91","245390","{DNT] Plain Interior Doorway - DO NOT USE",,,,,,,,,,,,,"192","1","2","3"
"needs_acquisition_expansion",,,"126","245275","Rolled Scroll",,,,,,,,,,,"Rolled Scroll","-3","3","1","1","1"
"internal_dnt",,,"129","245506","[DNT] Green Book of Runes - DO NOT USE",,,,,,,,,,,,,"192","1","1","1"
"needs_acquisition_expansion",,,"373","245375","Sturdy Wooden Bookcase",,,,,,,,,,,"Sturdy Wooden Bookcase","-3","3","1","1","3"
"needs_acquisition_expansion",,,"374","245384","Sturdy Wooden Shelf",,,,,,,,,,,"Sturdy Wooden Shelf","-3","3","1","1","1"
"needs_acquisition_expansion",,,"377","235675","Three-Candle Wrought Iron Chandelier",,,,,,,,,,,"Three-Candle Wrought Iron Chandelier","-3","259","3","1","1"
"needs_acquisition_expansion",,,"378","245355","Sturdy Wooden Interior Door",,,,,,,,,,,"Sturdy Wooden Interior Door","-3","3","1","1","3"
