"status","release_decision","current_exists","mount_id","name","source_spell_id","item_ids","item_expansion_ids","source_type_enum","flags","source_text"
"snapshot_candidate","include_dragonflight","True","482","Jungle Riding Crane","127178","87784","4","2","1152","|cFFFFD200World Event:|r WoW Remix: Mists of Pandaria"
"snapshot_candidate","exclude_policy_external","True","646","Coldflame Infernal","171840","116783;137576","0","0","64","|cFFFFD200Trading Post|r "
"snapshot_candidate","exclude_policy_external","True","799","Flarecore Infernal","213349","137615","0","0","64","|cFFFFD200Trading Post|r "
"snapshot_candidate","include_dragonflight","True","994","Royal Seafeather","254812","","","0","64","|cFFFFD200Faction: |rKeg Leg's Crew|n|cFFFFD200Renown: |r20"
"snapshot_candidate","exclude_policy_external","True","1168","Fiery Hearthsteed","278966","163186","7","0","0","|cFFFFD200Promotion:|r Hearthstone Anniversary"
"snapshot_candidate","include_dragonflight","True","1259","Silver Tidestallion","300154","","","0","2128","|cFFFFD200Faction: |rKeg Leg's Crew|n|cFFFFD200Renown: |r10"
"item_expansion_confirmed","include_dragonflight","True","1467","Noble Bruffalon","349935","192770;204382","9","2","0","|cFFFFD200Vendor: |rStorykeeper Ashekh|n|cFFFFD200Zone: |rThe Forbidden Reach|n|cFFFFD200Cost: |r100000|Hcurrency:2118|h|TInterface\ICONS\INV_Misc_Powder_Thorium.blp:0|t|h"
"item_expansion_confirmed","exclude_policy_external","True","1468","Amber Skitterfly","349943","192766","9","11","64","|cFFFFD200Trading Post|r|n"
"guide_confirmed","include_dragonflight","True","1469","Magmashell","350219","192777","9","0","0","|cFFFFD200Item: |rEmpty Magma Shell|n|cFFFFD200Zone: |rThe Waking Shores"
"item_expansion_confirmed","include_dragonflight","True","1474","Bestowed Thunderspine Packleader","351408","192792","9","5","0","|cFFFFD200Achievement:|r Centaur of Attention|n|cFFFFD200Category:|r Exploration"
"item_expansion_confirmed","include_dragonflight","True","1478","Skyskin Hornstrider","352926","192800","9","2","0","|cFFFFD200Vendor:|r Brendormi|n|cFFFFD200Cost:|r 150|Hitem:202039|h|TInterface\ICONS\inv_misc_stormlordsfavor.blp:0|t|h 3000|Hcurrency:2118|h|TInterface\ICONS\INV_Misc_Powder_Thorium.blp:0|t|h"
"snapshot_candidate","exclude_policy_external","True","1517","Bound Blizzard","358072","","","7","0","|cFFFFD200Promotion:|r |n"
"guide_confirmed","include_dragonflight","True","1545","Divine Kiss of Ohn'ahra","395644","","","1","2","|cFFFFD200Quest:|r A Whispering Breeze|n|cFFFFD200Zone:|r Ohn'ahran Plains"
"guide_confirmed","include_dragonflight","True","1546","Iskaara Trader's Ottuk","359409","198871","9","2","0","|cFFFFD200Vendor: |rTattukiaka|n|cFFFFD200Zone: |rThe Azure Span|n|cFFFFD200Cost: |r1|Hitem:195502|h|TInterface\ICONS\INV_10_DungeonJewelry_Primalist_Trinket_4_Earth.BLP:0|t|h 1|Hitem:195496|h|TInterface\ICONS\INV_10_DungeonJewelry_Primalist_Necklace_1_Air.BLP:0|t|h"
