"status","release_decision","current_exists","species_id","name","creature_id","summon_spell_id","item_ids","item_expansion_ids","pet_type_enum","flags","source_type_enum","source_text"
"snapshot_candidate","exclude_policy_external","True","2890","Sunny","171025","333570","190601","8","7","16466","9","|cFFFFD200In-Game Shop|r "
"snapshot_candidate","exclude_policy_external","True","3236","Gnomelia Gearheart","184285","364451","","","0","82","7","|cFFFFD200Promotion|r"
"snapshot_candidate","exclude_policy_external","True","3242","Lil' Maka'jin","185322","366833","190173","-3","7","16466","2","|cFFFFD200Trading Post|r"
"snapshot_candidate","exclude_policy_external","True","3243","Pippin","183686","366841","190175","-3","9","16466","2","|cFFFFD200Trading Post|r"
"snapshot_candidate","exclude_policy_external","True","3244","Drazka'zet the Wrathful","185324","366842","190176","-3","3","16466","2","|cFFFFD200Trading Post|r"
"snapshot_candidate","exclude_policy_external","True","3250","Egbob","183708","367732","190603","-3","4","16466","2","|cFFFFD200Trading Post|r"
"snapshot_candidate","exclude_policy_external","True","3251","Buzzworth","185604","367748","190604","-3","2","16466","2","|cFFFFD200Trading Post|r"
"snapshot_candidate","exclude_policy_external","True","3252","Garrlok","185606","367768","190607","-3","0","16466","11","|cFFFFD200Trading Post|r"
"snapshot_candidate","exclude_policy_external","True","3253","Crushhoof","185611","367778","190608","-3","7","16466","2","|cFFFFD200In-Game Shop|r"
"snapshot_candidate","exclude_policy_external","True","3254","Watcher of the Huntress","185621","367800","190609","-3","2","16466","2","|cFFFFD200Trading Post|r"
"snapshot_candidate","exclude_policy_external","True","3255","Buttercup","185756","368314","190925","-3","7","16466","2","|cFFFFD200Trading Post|r"
"guide_confirmed","include_dragonflight","True","3256","Jeweled Onyx Whelpling","186844","369723","191126;193889","9","1","2","3","|cFFFFD200Profession:|r Jewelcrafting|n"
"noncollectible_pet_battle_npc","exclude_noncollectible","True","3257","Test Beetle","186884","0","","","4","56","-1",""
"guide_confirmed","include_dragonflight","True","3259","Shaggy","188709","371534","191915","0","4","2","0","|cFFFFD200Treasure: |rSack of Oddities"
