"achievement_id","achievement","order_path","tree_id","criterion","criteria_id","criteria_type","criteria_asset","npc_ids"
"16676","Adventurer of The Waking Shores","0","139711","Gushgut the Beaksinker","56033","0","196056","196056"
"16676","Adventurer of The Waking Shores","1","139712","Nulltheria the Void Gazer","56034","0","193256","193256"
"16676","Adventurer of The Waking Shores","2","139713","Anhydros the Tidetaker","56035","0","187945","187945"
"16676","Adventurer of The Waking Shores","3","139714","Skewersnout","56036","0","193181","193181"
"16676","Adventurer of The Waking Shores","4","139715","Helmet Missingway","56037","0","199645","199645"
"16676","Adventurer of The Waking Shores","5","139716","Brundin the Dragonbane","56038","0","192738","192738"
"16676","Adventurer of The Waking Shores","6","139717","Drakewing","56039","0","193217","193217"
"16676","Adventurer of The Waking Shores","7","139718","Thunderous Matriarch","56040","0","193148","193148"
"16676","Adventurer of The Waking Shores","8","139719","Azra's Prized Peony","56041","0","193135","193135"
"16676","Adventurer of The Waking Shores","9","139720","Snappy","56042","0","193228","193228"
"16676","Adventurer of The Waking Shores","10","139721","O'nank Shorescour","56043","0","193118","193118"
"16676","Adventurer of The Waking Shores","11","139722","Smogswog the Firebreather","56044","0","193120","193120"
"16676","Adventurer of The Waking Shores","12","139723","Amethyzar the Glittering","56045","0","193132","193132"
"16676","Adventurer of The Waking Shores","13","139724","Magmaton","56046","0","186827","186827"
"16676","Adventurer of The Waking Shores","14","139725","Massive Magmashell","56047","0","193152","193152"
"16676","Adventurer of The Waking Shores","15","139726","Forgotten Gryphon","56048","0","193154","193154"
"16676","Adventurer of The Waking Shores","16/0","139729","Possessive Hornswog","57852","27","67048","192362;200002"
"16676","Adventurer of The Waking Shores","16/1","146454","Possessive Hornswog","60151","27","70864","192362;200002"
"16676","Adventurer of The Waking Shores","17","139727","Enkine the Voracious","56049","0","193134","193134"
"16676","Adventurer of The Waking Shores","18","139728","Captain Lancer","56050","0","193198","193198"
"16676","Adventurer of The Waking Shores","19","139730","Worldcarver A'tir","56052","0","186859","186859"
"16676","Adventurer of The Waking Shores","20","139731","Death's Shadow","56053","0","190985","190985"
"16676","Adventurer of The Waking Shores","21","139732","Shas'ith","56054","0","189822","189822"
"16676","Adventurer of The Waking Shores","22","139733","Lepidoralia the Resplendent","56055","0","193266","193266"
"16676","Adventurer of The Waking Shores","23","139734","Cauldronbearer Blakor","56056","0","186783","186783"
"16676","Adventurer of The Waking Shores","24","139735","Rohzor Forgesmash","56057","0","187598","187598"
"16676","Adventurer of The Waking Shores","25","139736","Turboris","56058","0","187886","187886"
"16676","Adventurer of The Waking Shores","26","139737","Battlehorn Pyrhus","56059","0","190986","190986"
"16676","Adventurer of The Waking Shores","27","139738","Char","56060","0","190991","190991"
"16676","Adventurer of The Waking Shores","28","139739","Rasnar the War Ender","56061","0","193232","193232"
"16676","Adventurer of The Waking Shores","29","141026","Morchok","56988","0","187306","187306"
"16676","Adventurer of The Waking Shores","30","141027","Shadeslash Trakken","56989","0","193271","193271"
"16676","Adventurer of The Waking Shores","31","141043","Slurpo, the Incredible Snail","57003","0","193175","193175"
"16677","Adventurer of the Ohn'ahran Plains","0","139741","Sparkspitter Vrak","56062","0","193165","193165"
"16677","Adventurer of the Ohn'ahran Plains","1","139742","Scav Notail","56063","0","193136","193136"
"16677","Adventurer of the Ohn'ahran Plains","2","139743","Enraged Sapphire","56064","0","193142","193142"
"16677","Adventurer of the Ohn'ahran Plains","3","139744","Seeker Teryx","56065","0","193188","193188"
"16677","Adventurer of the Ohn'ahran Plains","4","139745","Zenet Avis","56066","0","193209","193209"
"16677","Adventurer of the Ohn'ahran Plains","5","139746","Liskheszaera","56067","0","197009","197009"
"16677","Adventurer of the Ohn'ahran Plains","6","139747","Deadwaker Ghendish","56068","0","189652","189652"
"16677","Adventurer of the Ohn'ahran Plains","7","139748","Researcher Sneakwing","56069","0","196010","196010"
"16677","Adventurer of the Ohn'ahran Plains","8","139749","Mikrin of the Raging Winds","56070","0","193173","193173"
"16677","Adventurer of the Ohn'ahran Plains","9","139750","Ronsak the Decimator","56071","0","193227","193227"
"16677","Adventurer of the Ohn'ahran Plains","10","139751","Steamgill","56072","0","193123","193123"
"16677","Adventurer of the Ohn'ahran Plains","11","139752","Malsegan","56073","0","193212","193212"
"16677","Adventurer of the Ohn'ahran Plains","12","139753","Oshigol","56074","0","193235","193235"
"16677","Adventurer of the Ohn'ahran Plains","13","139754","Fulgurb","56075","0","193170","193170"
"16677","Adventurer of the Ohn'ahran Plains","14","139755","Windseeker Avash","56076","0","192045","192045"
"16677","Adventurer of the Ohn'ahran Plains","15","139756","Eaglemaster Niraak","56077","0","192020","192020"
"16677","Adventurer of the Ohn'ahran Plains","16","139757","Zarizz","56078","0","193140","193140"
"16677","Adventurer of the Ohn'ahran Plains","17","139758","Scaleseeker Mezeri","56079","0","193215","193215"
"16677","Adventurer of the Ohn'ahran Plains","18","139759","Shade of Grief","56080","0","187559","187559"
"16677","Adventurer of the Ohn'ahran Plains","19","139760","Nokhud Warmaster","56081","0","187219","187219"
"16677","Adventurer of the Ohn'ahran Plains","20","139761","Hamett","56082","0","187781","187781"
"16677","Adventurer of the Ohn'ahran Plains","21","139762","Hunter of the Deep","56083","0","188095","188095"
"16677","Adventurer of the Ohn'ahran Plains","22","139763","Irontree","56084","0","188124","188124"
"16677","Adventurer of the Ohn'ahran Plains","23","139764","Zerimek","56085","0","188451","188451"
"16677","Adventurer of the Ohn'ahran Plains","24","139765","Sulfurion","56086","0","191842","191842"
"16677","Adventurer of the Ohn'ahran Plains","25","139766","Porta the Overgrown","56087","0","191950","191950"
"16677","Adventurer of the Ohn'ahran Plains","26","139767","The Jolly Giant","56088","0","195204","195204"
"16677","Adventurer of the Ohn'ahran Plains","27","139768","Windscale the Stormborn","56089","0","192364","192364"
"16677","Adventurer of the Ohn'ahran Plains","28","139769","Vaniik the Stormtouched","56090","0","192453","192453"
"16677","Adventurer of the Ohn'ahran Plains","29","139770","Quackers the Terrible","56091","0","192557","192557"
"16677","Adventurer of the Ohn'ahran Plains","30","139771","Cinta the Forgotten","56092","0","195186","195186"
"16677","Adventurer of the Ohn'ahran Plains","31","139772","Rustlily","56093","0","195223","195223"
"16677","Adventurer of the Ohn'ahran Plains","32","139773","Makhra the Ashtouched","56094","0","195409","195409"
"16677","Adventurer of the Ohn'ahran Plains","33","139774","The Great Enla","56095","0","196334","196334"
"16677","Adventurer of the Ohn'ahran Plains","34","139775","Old Stormhide","56096","0","196350","196350"
"16678","Adventurer of The Azure Span","0","139777","Wilrive","56097","0","193632","193632"
"16678","Adventurer of The Azure Span","1","139778","Dragonhunter Gorund","56098","0","193157","193157"
"16678","Adventurer of The Azure Span","2","139779","Arcane Devourer","56099","0","194270","194270"
"16678","Adventurer of The Azure Span","3","139780","Mange the Outcast","56100","0","198004","198004"
"16678","Adventurer of The Azure Span","4","139781","Frostpaw","56101","0","191356","191356"
"16678","Adventurer of The Azure Span","5","139782","Mucka the Raker","56102","0","193201","193201"
"16678","Adventurer of The Azure Span","6","139783","Brackle","56103","0","194392","194392"
"16678","Adventurer of The Azure Span","7","139784","Frigidpelt Den Mother","56104","0","193698","193698"
"16678","Adventurer of The Azure Span","8","139785","Azure Pathfinder","56105","0","194210","194210"
"16678","Adventurer of The Azure Span","9","139786","Beogoka","56106","0","193116","193116"
"16678","Adventurer of The Azure Span","10","139787","Notfar the Unbearable","56107","0","193225","193225"
"16678","Adventurer of The Azure Span","11","139788","Blue Terror","56108","0","193259","193259"
"16678","Adventurer of The Azure Span","12","139789","Mahg the Trampler","56109","0","190244","190244"
"16678","Adventurer of The Azure Span","13","139790","Skag the Thrower","56110","0","193149","193149"
