"achievement_id","title","category_id","order_path","tree_id","description","criteria_id","criteria_type","asset_id","amount","operator"
"15325","Dracthyr, Awaken","15455","0","94276","The War Creche","52875","27","64871","0","0"
"15325","Dracthyr, Awaken","15455","1","94277","Old Weyrn Grounds","52876","27","65036","0","0"
"15325","Dracthyr, Awaken","15455","2","94279","The Healing Wings","52878","27","65075","0","0"
"15325","Dracthyr, Awaken","15455","3","94278","The Ebon Scales","52877","27","65057","0","0"
"15325","Dracthyr, Awaken","15455","4","94280","Froststone Vault","52879","27","65087","0","0"
"15325","Dracthyr, Awaken","15455","5","94281","Wrath of the Storm-Eater","54430","27","65100","0","0"
"15325","Dracthyr, Awaken","15455","6","94282","All Along the Watchtowers","52880","27","65101","0","0"
"15394","Ohn'a'Roll","15455","0/0","137511","","54669","27","65806","0","0"
"15394","Ohn'a'Roll","15455","1/0","137513","","54670","27","66025","0","0"
"15394","Ohn'a'Roll","15455","2/0","137515","","54671","27","66259","0","0"
"15394","Ohn'a'Roll","15455","3/0","137517","","54672","27","66783","0","0"
"15638","Dracthyr, Awaken","15455","0","95597","The War Creche","52875","27","64871","0","0"
"15638","Dracthyr, Awaken","15455","1","95598","Old Weyrn Grounds","52876","27","65036","0","0"
"15638","Dracthyr, Awaken","15455","2","95600","The Healing Wings","52878","27","65075","0","0"
"15638","Dracthyr, Awaken","15455","3","95599","The Ebon Scales","52877","27","65057","0","0"
"15638","Dracthyr, Awaken","15455","4","95601","Froststone Vault","52879","27","65087","0","0"
"15638","Dracthyr, Awaken","15455","5","95602","Wrath of the Storm-Eater","54430","27","65100","0","0"
"15638","Dracthyr, Awaken","15455","6","95603","The Dark Talons","53410","27","65613","0","0"
"15794","A New Friend","15455","0","135718","Learn Renewed Proto-Drake","53762","34","368896","1","0"
"15795","Together in the Skies","15455","0","138127","Learn Windborne Velocidrake","55118","34","368899","1","0"
"15796","Cliffside Companion","15455","0","138131","Learn Cliffside Wylderdrake","55120","34","368901","1","0"
"15797","An Azure Ally","15455","0","138129","Learn Highland Drake","55119","34","360954","1","0"
"15889","River Rapids Wrangler","15455","0","136488","","54051","27","70023","1","0"
"15890","Dragonscale Expedition: The Highest Peaks","15465","0","136486","Flags Placed","54050","27","70024","1","0"
"15890","Dragonscale Expedition: The Highest Peaks","15465","1","137990","Flags Placed","55035","27","70039","1","0"
"15890","Dragonscale Expedition: The Highest Peaks","15465","2","137991","Flags Placed","55036","27","70823","1","0"
"15890","Dragonscale Expedition: The Highest Peaks","15465","3","137992","Flags Placed","55037","27","70824","1","0"
"15890","Dragonscale Expedition: The Highest Peaks","15465","4","137993","Flags Placed","55038","27","70825","1","0"
"15890","Dragonscale Expedition: The Highest Peaks","15465","5","137994","Flags Placed","55039","27","70826","1","0"
"15890","Dragonscale Expedition: The Highest Peaks","15465","6","137995","Flags Placed","55040","27","70827","1","0"
"15890","Dragonscale Expedition: The Highest Peaks","15465","7","138481","Flags Placed","55332","27","71200","1","0"
"15890","Dragonscale Expedition: The Highest Peaks","15465","8","138516","Flags Placed","55355","27","71204","1","0"
"15890","Dragonscale Expedition: The Highest Peaks","15465","9","138517","Flags Placed","55356","27","71207","1","0"
"15890","Dragonscale Expedition: The Highest Peaks","15465","10","138518","Flags Placed","55357","27","71208","1","0"
"15890","Dragonscale Expedition: The Highest Peaks","15465","11","138519","Flags Placed","55358","27","71215","1","0"
"15890","Dragonscale Expedition: The Highest Peaks","15465","12","138520","Flags Placed","55359","27","71216","1","0"
"15890","Dragonscale Expedition: The Highest Peaks","15465","13","138521","Flags Placed","55360","27","71217","1","0"
"15890","Dragonscale Expedition: The Highest Peaks","15465","14","138522","Flags Placed","55361","27","71218","1","0"
"15890","Dragonscale Expedition: The Highest Peaks","15465","15","138523","Flags Placed","55362","27","71220","1","0"
"15890","Dragonscale Expedition: The Highest Peaks","15465","16","138524","Flags Placed","55363","27","71221","1","0"
"15890","Dragonscale Expedition: The Highest Peaks","15465","17","138525","Flags Placed","55364","27","71222","1","0"
"15890","Dragonscale Expedition: The Highest Peaks","15465","18","138526","Flags Placed","55365","27","71223","1","0"
"15890","Dragonscale Expedition: The Highest Peaks","15465","19","138527","Flags Placed","55366","27","71224","1","0"
"15915","Waking Shores: Bronze","15462","0","136655","","54235","8","15696","1","0"
"15915","Waking Shores: Bronze","15462","1","136656","","54236","8","15712","1","0"
"15915","Waking Shores: Bronze","15462","2","136657","","54237","8","15724","1","0"
"15915","Waking Shores: Bronze","15462","3","136658","","54238","8","15730","1","0"
"15915","Waking Shores: Bronze","15462","4","136659","","54239","8","15736","1","0"
"15915","Waking Shores: Bronze","15462","5","136660","","54240","8","15742","1","0"
"15915","Waking Shores: Bronze","15462","6","136661","","54241","8","15705","1","0"
"15915","Waking Shores: Bronze","15462","7","136662","","54242","8","15718","1","0"
"15916","Waking Shores: Silver","15462","0","136664","","54243","8","15697","1","0"
"15916","Waking Shores: Silver","15462","1","136665","","54244","8","15713","1","0"
"15916","Waking Shores: Silver","15462","2","136666","","54245","8","15725","1","0"
"15916","Waking Shores: Silver","15462","3","136667","","54246","8","15731","1","0"
"15916","Waking Shores: Silver","15462","4","136668","","54247","8","15737","1","0"
"15916","Waking Shores: Silver","15462","5","136669","","54248","8","15743","1","0"
"15916","Waking Shores: Silver","15462","6","136670","","54249","8","15706","1","0"
"15916","Waking Shores: Silver","15462","7","136671","","54250","8","15719","1","0"
"15917","Waking Shores: Gold","15462","0","136673","","54251","8","15698","1","0"
"15917","Waking Shores: Gold","15462","1","136674","","54252","8","15714","1","0"
"15917","Waking Shores: Gold","15462","2","136675","","54253","8","15726","1","0"
"15917","Waking Shores: Gold","15462","3","136676","","54254","8","15732","1","0"
"15917","Waking Shores: Gold","15462","4","136677","","54255","8","15738","1","0"
"15917","Waking Shores: Gold","15462","5","136678","","54256","8","15744","1","0"
"15917","Waking Shores: Gold","15462","6","136679","","54257","8","15707","1","0"
"15917","Waking Shores: Gold","15462","7","136680","","54258","8","15720","1","0"
"15918","Ohn'ahran Plains: Bronze","15462","0","136709","","54283","8","15757","1","0"
"15918","Ohn'ahran Plains: Bronze","15462","1","136710","","54284","8","15763","1","0"
"15918","Ohn'ahran Plains: Bronze","15462","2","136711","","54285","8","15769","1","0"
"15918","Ohn'ahran Plains: Bronze","15462","3","136712","","54286","8","15775","1","0"
"15918","Ohn'ahran Plains: Bronze","15462","4","136713","","54287","8","15782","1","0"
"15918","Ohn'ahran Plains: Bronze","15462","5","136714","","54288","8","15785","1","0"
"15918","Ohn'ahran Plains: Bronze","15462","6","137815","","54905","8","16302","1","0"
"15919","Ohn'ahran Plains: Silver","15462","0","136716","","54289","8","15758","1","0"
"15919","Ohn'ahran Plains: Silver","15462","1","136717","","54290","8","15764","1","0"
"15919","Ohn'ahran Plains: Silver","15462","2","136718","","54291","8","15770","1","0"
"15919","Ohn'ahran Plains: Silver","15462","3","136719","","54292","8","15776","1","0"
"15919","Ohn'ahran Plains: Silver","15462","4","136720","","54293","8","15783","1","0"
"15919","Ohn'ahran Plains: Silver","15462","5","136721","","54294","8","15786","1","0"
"15919","Ohn'ahran Plains: Silver","15462","6","137816","","54906","8","16303","1","0"
"15920","Ohn'ahran Plains: Gold","15462","0","136723","","54295","8","15759","1","0"
"15920","Ohn'ahran Plains: Gold","15462","1","136724","","54296","8","15765","1","0"
