"faction_id","name","parent_faction_id","renown_currency_id","friendship_rep_id","source"
"2503","Maruuk Centaur","2506","2002","0","selected_collectible_requirement"
"2507","Dragonscale Expedition","2506","2021","0","selected_collectible_requirement"
"2510","Valdrakken Accord","2506","2088","0","selected_collectible_requirement"
"2511","Iskaara Tuskarr","2506","2087","0","selected_collectible_requirement"
"2517","Wrathion","2510","0","396","selected_collectible_requirement"
"2518","Sabellian","2510","0","397","selected_collectible_requirement"
"2526","Winterpelt Furbolg","2506","0","0","selected_collectible_requirement"
"2544","Artisan's Consortium - Dragon Isles Branch","2510","0","398","selected_collectible_requirement"
"2550","Cobalt Assembly","2510","0","400","selected_collectible_requirement"
"2553","Soridormi","2510","0","411","selected_collectible_requirement"
"2564","Loamm Niffen","2506","2402","0","selected_collectible_requirement"
"2568","Glimmerogg Racer","2506","0","408","selected_collectible_requirement"
"2574","Dream Wardens","2506","2653","0","selected_collectible_requirement"
"2593","Keg Leg's Crew","0","2814","0","selected_collectible_requirement"
"2615","Azerothian Archives","2507","0","419","selected_collectible_requirement"
