"achievement_id","achievement","order_path","tree_id","treasure","criteria_id","criteria_type","criteria_asset","amount"
"16297","Treasures of The Waking Shores","0","137551","Golden Dragon Goblet","54698","27","70600","1"
"16297","Treasures of The Waking Shores","1","137552","Bubble Drifter","54699","27","70599","1"
"16297","Treasures of The Waking Shores","2","137553","Ruby Gem Cluster","54713","27","70598","1"
"16297","Treasures of The Waking Shores","3","137554","Yennu's Kite","54701","27","70345","1"
"16297","Treasures of The Waking Shores","4","137555","Dead Man's Chestplate","54702","27","70346","1"
"16297","Treasures of The Waking Shores","5","137556","Torn Riding Pack","54703","27","70378","1"
"16297","Treasures of The Waking Shores","6","138567","Misty Treasure Chest","55403","27","65646","1"
"16297","Treasures of The Waking Shores","7","138619","Onyx Gem Cluster","55448","27","72020","1"
"16299","Treasures of the Ohn'ahran Plains","0","137560","Nokhud Warspear","54707","27","67049","1"
"16299","Treasures of the Ohn'ahran Plains","1","137561","Slightly Chewed Duck Egg","54708","27","67950","1"
"16299","Treasures of the Ohn'ahran Plains","2","137562","Emerald Gem Cluster","54700","27","70391","1"
"16299","Treasures of the Ohn'ahran Plains","3","137563","Cracked Centaur Horn","54709","27","70402","1"
"16299","Treasures of the Ohn'ahran Plains","4","137564","Gold Swog Coin","54710","27","70379","1"
"16299","Treasures of the Ohn'ahran Plains","5","137565","Yennu's Boat","54711","27","70400","1"
"16300","Treasures of The Azure Span","0","137699","Forgotten Jewel Box","54804","27","70603","1"
"16300","Treasures of The Azure Span","1","137700","Gnoll Fiend Flail","54805","27","70604","1"
"16300","Treasures of The Azure Span","2","137701","Sapphire Gem Cluster","54806","27","70605","1"
"16300","Treasures of The Azure Span","3","137702","Lost Compass","54807","27","70606","1"
"16300","Treasures of The Azure Span","4","137703","Rubber Fish","54808","27","70380","1"
"16300","Treasures of The Azure Span","5","137704","Pepper Hammer","54809","27","70441","1"
"16301","Treasures of Thaldraszus","0","137706","Cracked Hourglass","54810","27","70607","1"
"16301","Treasures of Thaldraszus","1","137707","Sandy Wooden Duck","54811","27","70608","1"
"16301","Treasures of Thaldraszus","2","137708","Amber Gem Cluster","54812","27","70408","1"
"16301","Treasures of Thaldraszus","3","137709","Elegant Canvas Brush","54813","27","70609","1"
"16301","Treasures of Thaldraszus","4","137710","Surveyor's Magnifying Glass","54814","27","70610","1"
"16301","Treasures of Thaldraszus","5","137711","Acorn Harvester","54815","27","70611","1"
"17526","Treasures of the Forbidden Reach","0","143733","Forbidden Hoard","58487","29","405240","1"
"17526","Treasures of the Forbidden Reach","1","143734","Avian Trove","58488","29","405238","1"
"17526","Treasures of the Forbidden Reach","2","143735","Obsidian Coffer","58489","29","405241","1"
"17526","Treasures of the Forbidden Reach","3","143736","Spellsworn Reserves","58490","29","405242","1"
"17526","Treasures of the Forbidden Reach","4","143737","Bone Pile","58491","29","405244","1"
"17526","Treasures of the Forbidden Reach","5","143738","Farscale Cache","58492","29","405245","1"
"17526","Treasures of the Forbidden Reach","6","143739","Irontide Stash","58493","29","405246","1"
"17526","Treasures of the Forbidden Reach","7","143740","Storm-Eater Cairn","58494","29","405247","1"
"17526","Treasures of the Forbidden Reach","8","143741","Stonescaled Cairn","58495","29","405248","1"
"17526","Treasures of the Forbidden Reach","9","143742","Blazing Cairn","58496","29","405249","1"
"17526","Treasures of the Forbidden Reach","10","143743","Frozenheart Cairn","58497","29","405250","1"
"17526","Treasures of the Forbidden Reach","11","143744","Morqut Provisions","58498","29","405251","1"
"17786","Treasures of Zaralek Cavern","0","144893","Ancient Zaqali Chest","59222","27","73697","1"
"17786","Treasures of Zaralek Cavern","1","144894","Blazing Shadowflame Chest","59220","27","72986","1"
"17786","Treasures of Zaralek Cavern","2","144895","Bloody Body","59225","27","75232","1"
"17786","Treasures of Zaralek Cavern","3","144896","Charred Egg","59226","27","73706","1"
"17786","Treasures of Zaralek Cavern","4","144897","Chest of the Flights","59224","27","75187","1"
"17786","Treasures of Zaralek Cavern","5","144898","Crystal-Encased Chest","59228","27","74986","1"
"17786","Treasures of Zaralek Cavern","6","144899","Long-Lost Cache","59223","27","75019","1"
"17786","Treasures of Zaralek Cavern","7","144900","Old Trunk","59227","27","74995","1"
"17786","Treasures of Zaralek Cavern","8","144902","Well-Chewed Chest","59219","27","73395","1"
"19317","Treasures of the Emerald Dream","0","151286","Triflesnatch's Roving Trove","62952","27","77872","1"
"19317","Treasures of the Emerald Dream","1","151287","Hidden Moonkin Stash","62953","27","77858","1"
"19317","Treasures of the Emerald Dream","2","151288","Crystalline Glowblossom","62954","27","77950","1"
"19317","Treasures of the Emerald Dream","3","151290","Pineshrew Cache","62956","27","78120","1"
"19317","Treasures of the Emerald Dream","4","151294","Magical Bloom","62960","27","78005","1"
"19317","Treasures of the Emerald Dream","5","151295","Odd Burl","62961","27","78006","1"
"19317","Treasures of the Emerald Dream","6","151289","Reliquary of Ursol","62955","27","78107","1"
"19317","Treasures of the Emerald Dream","7","151291","Reliquary of Aviana","62957","27","78360","1"
"19317","Treasures of the Emerald Dream","8","151292","Reliquary of Ashamane","62958","27","78359","1"
"19317","Treasures of the Emerald Dream","9","151293","Reliquary of Goldrinn","62959","27","78361","1"
