item_id,recipe_spell_id,recipe_item_name,profession,source_url
203824,402118,Ancient Plans: Gurubashi Headplate,Blacksmithing,https://www.wowhead.com/news/332064/new-secret-craft-previously-unobtainable-zulgurub-drops-in-patch-10-0-7
203825,402123,Ancient Plans: Gurubashi Carver,Blacksmithing,https://www.wowhead.com/news/332064/new-secret-craft-previously-unobtainable-zulgurub-drops-in-patch-10-0-7
203826,402124,Ancient Plans: Venomfang,Blacksmithing,https://www.wowhead.com/news/332064/new-secret-craft-previously-unobtainable-zulgurub-drops-in-patch-10-0-7
203827,402125,Ancient Plans: Gurubashi Poker,Blacksmithing,https://www.wowhead.com/news/332064/new-secret-craft-previously-unobtainable-zulgurub-drops-in-patch-10-0-7
203828,402126,Ancient Plans: Gurubashi Grinder,Blacksmithing,https://www.wowhead.com/news/332064/new-secret-craft-previously-unobtainable-zulgurub-drops-in-patch-10-0-7
203829,402128,Ancient Plans: Gurubashi Hexxer,Blacksmithing,https://www.wowhead.com/news/332064/new-secret-craft-previously-unobtainable-zulgurub-drops-in-patch-10-0-7
203830,402129,Ancient Plans: Sceptre of Hexing,Blacksmithing,https://www.wowhead.com/news/332064/new-secret-craft-previously-unobtainable-zulgurub-drops-in-patch-10-0-7
203831,402130,Ancient Plans: Gurubashi Crusher,Blacksmithing,https://www.wowhead.com/news/332064/new-secret-craft-previously-unobtainable-zulgurub-drops-in-patch-10-0-7
203832,402131,Ancient Plans: Pitchfork of Mojo Madness,Blacksmithing,https://www.wowhead.com/news/332064/new-secret-craft-previously-unobtainable-zulgurub-drops-in-patch-10-0-7
203833,402134,Ancient Plans: Bloodherald,Blacksmithing,https://www.wowhead.com/news/332064/new-secret-craft-previously-unobtainable-zulgurub-drops-in-patch-10-0-7
203834,402135,Ancient Plans: Bloodlord's Reaver,Blacksmithing,https://www.wowhead.com/news/332064/new-secret-craft-previously-unobtainable-zulgurub-drops-in-patch-10-0-7
203835,402136,Ancient Plans: Fiery Vengeance,Blacksmithing,https://www.wowhead.com/news/332064/new-secret-craft-previously-unobtainable-zulgurub-drops-in-patch-10-0-7
203836,402137,"Ancient Plans: Warblades of the Hakkari, Reborn",Blacksmithing,https://www.wowhead.com/news/332064/new-secret-craft-previously-unobtainable-zulgurub-drops-in-patch-10-0-7
203837,402138,Ancient Plans: Gurubashi Slicer,Blacksmithing,https://www.wowhead.com/news/332064/new-secret-craft-previously-unobtainable-zulgurub-drops-in-patch-10-0-7
203838,402139,Ancient Formula: Mindslave's Reach,Enchanting,https://www.wowhead.com/news/332064/new-secret-craft-previously-unobtainable-zulgurub-drops-in-patch-10-0-7
203839,402140,Ancient Technique: Gurubashi Hoodoo Stick,Inscription,https://www.wowhead.com/news/332064/new-secret-craft-previously-unobtainable-zulgurub-drops-in-patch-10-0-7
203840,402141,Ancient Technique: Judgment of the Gurubashi,Inscription,https://www.wowhead.com/news/332064/new-secret-craft-previously-unobtainable-zulgurub-drops-in-patch-10-0-7
203841,402142,Ancient Technique: Gurubashi Ceremonial Staff,Inscription,https://www.wowhead.com/news/332064/new-secret-craft-previously-unobtainable-zulgurub-drops-in-patch-10-0-7
203842,402143,Ancient Pattern: Animist's Footwraps,Leatherworking,https://www.wowhead.com/news/332064/new-secret-craft-previously-unobtainable-zulgurub-drops-in-patch-10-0-7
203843,402144,Ancient Pattern: Animist's Legguards,Leatherworking,https://www.wowhead.com/news/332064/new-secret-craft-previously-unobtainable-zulgurub-drops-in-patch-10-0-7
203844,402146,Ancient Pattern: Gloves of the Tormentor,Leatherworking,https://www.wowhead.com/news/332064/new-secret-craft-previously-unobtainable-zulgurub-drops-in-patch-10-0-7
203845,402147,Ancient Pattern: Junglefury Gauntlets,Leatherworking,https://www.wowhead.com/news/332064/new-secret-craft-previously-unobtainable-zulgurub-drops-in-patch-10-0-7
203846,402148,Ancient Pattern: Junglefury Leggings,Leatherworking,https://www.wowhead.com/news/332064/new-secret-craft-previously-unobtainable-zulgurub-drops-in-patch-10-0-7
203847,402150,Ancient Pattern: Gurubashi's Grasp,Leatherworking,https://www.wowhead.com/news/332064/new-secret-craft-previously-unobtainable-zulgurub-drops-in-patch-10-0-7
203848,402151,Ancient Pattern: Bloodlord's Embrace,Tailoring,https://www.wowhead.com/news/332064/new-secret-craft-previously-unobtainable-zulgurub-drops-in-patch-10-0-7
203849,402152,Ancient Pattern: Gurubashi Tigerhide Cloak,Tailoring,https://www.wowhead.com/news/332064/new-secret-craft-previously-unobtainable-zulgurub-drops-in-patch-10-0-7
203850,402155,Ancient Pattern: Gurubashi Headdress,Tailoring,https://www.wowhead.com/news/332064/new-secret-craft-previously-unobtainable-zulgurub-drops-in-patch-10-0-7
203851,402156,Ancient Pattern: Ritualistic Legwarmers,Tailoring,https://www.wowhead.com/news/332064/new-secret-craft-previously-unobtainable-zulgurub-drops-in-patch-10-0-7
203861,402133,Ancient Plans: Venomreaver,Blacksmithing,https://www.wowhead.com/news/332064/new-secret-craft-previously-unobtainable-zulgurub-drops-in-patch-10-0-7
203968,402615,Ancient Pattern: Cord of Shriveled Heads,Leatherworking,https://www.wowhead.com/news/332064/new-secret-craft-previously-unobtainable-zulgurub-drops-in-patch-10-0-7
204406,405205,Ancient Design: Square Holders,Jewelcrafting,https://www.wowhead.com/news/332064/new-secret-craft-previously-unobtainable-zulgurub-drops-in-patch-10-0-7
