decor_id,catalog_name
562,"Winter Veil Tree"
714,"Silvermoon Wooden Chair"
715,"Small Silvermoon Bookcase"
716,"Reliquary Storage Crate"
717,"Long Sin'dorei Rug"
718,"Circular Sin'dorei Rug"
720,"Reliquary Telescope"
757,"""Aspects in the Clouds"" Painting"
758,"""Water Falls Home"" Painting"
866,"Studious Sin'dorei Desk"
1119,"Loch Modan Bearskin Rug"
1120,"Replica Dark Iron Mole Machine"
1173,"Gemmed Eversong Lantern"
1176,"Circular Silvermoon Table"
1177,"Blood Elven Candelabra"
1181,"Rectangular Sin'dorei Rug"
1190,"Sin'dorei Display Case"
1195,"Silvermoon Library Bookcase"
1198,"Long Silvermoon Table"
1236,"Enchanted Blood Elven Candelabra"
1446,"Silvermoon Painter's Cushion"
1447,"Small Silvermoon Seat Cushion"
1448,"Triangular Silvermoon Seat Cushion"
1449,"Circular Silvermoon Seat Cushion"
1450,"Silvermoon Pillow Roll"
1834,"Bel'ameth Bench"
1835,"[DNT] Ornamental Kaldorei Glaive - DO NOT USE - new asset coming"
1888,"Bel'ameth Barrel"
1987,"Bel'ameth Wooden Table"
1988,"[DNT] Amirdrassil Stool - DO NOT USE - new asset"
1989,"Bel'ameth Crafter's Tent"
1990,"Small Bel'ameth Tent"
2469,"Elegant Dracthyr's Tea Cup"
2529,"Open Tome of the Dragon's Dedication"
2530,"Tome of the Lost Dragon"
2531,"Tome of Reliquary Insights"
2593,"Drake Kebab Platter"
2594,"Roast Riverbeast Platter"
2595,"Valdrakken Blossomfruit Platter"
2596,"Bruffalon Rib Platter"
4159,"Draconic Stone Table"
4160,"Pentagonal Stone Table"
4161,"Valdrakken Sconce"
4162,"Valdrakken Banded Barrel"
4163,"Valdrakken Storage Crate"
4164,"Long Valdrakken Storage Crate"
4165,"Valdrakken Fence"
4166,"Valdrakken Fencepost"
4167,"Verdant Valdrakken Vase"
4168,"Valdrakken Garden Fountain"
4169,"Thaldraszus Telescope"
4170,"Draconic Nesting Bed"
4171,"[DNT] Valdrakken Bookcase - DO NOT USE - newer asset in place"
4172,"Valdrakken Chandelier"
4173,"Studious Dracthyr's Tomes"
4174,"Literature of the Blue Dragonflight"
4175,"Literature of the Green Dragonflight"
4176,"Literature of the Red Dragonflight"
4177,"Draconic Circular Rug"
4180,"The Great Hoard"
4423,"Ornamental Kaldorei Glaive"
4477,"Draconic Memorial Stone"
4478,"Dragon's Grand Mirror"
4479,"Valdrakken Stone Stool"
4480,"Valdrakken Gilded Throne"
4481,"Elegant Dracthyr's Tea Set"
4482,"Dragon's Hoard Chest"
4483,"Valdrakken Market Tent"
4819,"Stormwind Weapon Rack"
4839,"Nesingwary Mounted Shoveltusk Head"
4841,"Nesingwary Mounted Elk Head"
5556,"Preserver's Censer"
5557,"Dracthyr Weapon Rack"
5558,"Evoker's Elegant Rug"
5559,"Augmenter's Opal Banner"
5560,"Draconic Crafter's Table"
5689,"Devastator's Brazier"
7668,"Forbidden Fork"
7691,"Draconic Metalshaper's Anvil"
7692,"Replica Grathardormu's Hammer"
7693,"Green Thumb's Watering Can"
7694,"Draconic Auctioneer's Lectern"
7695,"Obsidian Warder Pennant"
7696,"Dark Talon Pennant"
7697,"Roasted Ram Leg"
7698,"Draconic Trader's Cart"
7699,"Artisan's Measuring Scales"
7700,"War Creche Teaching Crystal"
7701,"Ancient Weyrn Device"
7835,"Draconic Crafter's Forge"
9261,"Reliquary Tent"
9262,"[DNT] Horde Warlord's Throne - DO NOT USE - new asset here"
9263,"Horde Warlord's Throne"
9425,"Iskaaran Open-Air Tent"
9426,"Iskaaran Smith's Anvil"
9427,"Iskaaran Cookpot"
9428,"Iskaaran Hanging Lampfish"
9429,"Iskaaran Hanging Lantern"
9430,"Iskaaran Standing Lantern"
9431,"Tuskarr Meditative Incense Burner"
9432,"Tuskarr Crabber's Basket"
9433,"Fur-Adorned Iskaaran Worktable"
9434,"Tuskarr Postbag"
9435,"Finned Iskaaran Teapot"
9436,"Iskaaran Charcuterie Board"
9437,"Big Kinook's Legendary Soup Pot"
9438,"Arch of Iskaara"
10888,"Moonclasp Satchel"
10962,"Draconic Sconce"
10963,"Valdrakken Oven"
10964,"Draconic Scribe's Basin"
10965,"Five Flights' Grimoire"
11137,"Qalashi Goulash"
11162,"Wingrest Signal Brazier"
11163,"Valdrakken Hanging Lamp"
11164,"Valdrakken Lamppost"
11165,"Valdrakken Hanging Cauldron"
11322,"Pentagonal Valdrakken Tapestry"
11387,"Dragon's Elixir Bottle"
11388,"Tapestry of the Five Flights"
11454,"Large Brazier of Elune"
11929,"Titanic Tyrhold Fountain"
14330,"Valdrakken Bookcase"
16015,"Valdrakken Wall Shelf"
16227,"Decorated Underground Table"
16228,"Loamm Bartering Stall"
16229,"Ceramic Loamm Bowl"
16230,"Zaralek Candles"
16231,"Loamm Archway"
16232,"Gooey Niffen Jar"
16233,"Zaralek Snail Cart"
16234,"Strong Sniffin' Incense"
16235,"Underdecorated Underground Table"
16236,"Loamm Wheelpot"
16237,"Kilnmaster's Bucket"
16315,"Hearty Niffen Grub"
21088,"[DNT] [AUTOGEN] 10DG_Dragon_Fruit02.m2"
21092,"[DNT] [AUTOGEN] 10XP_Generic_Banana_Bunch01.m2"
21879,"[DNT] [AUTOGEN] 10MP_MolePeople_Storage_Pottery01.m2"
21880,"[DNT] [AUTOGEN] 10MP_MolePeople_Storage_Pottery_Desaturated02.m2"
21881,"[DNT] [AUTOGEN] 10MP_MolePeople_Storage_Pottery_Desaturated03.m2"
21932,"[DNT] [AUTOGEN] 10XP_Generic_Decor_HeadMounted_Dragon01.m2"
21933,"[DNT] [AUTOGEN] 10XP_Generic_Decor_BoarRug01.m2"
21934,"[DNT] [AUTOGEN] 10XP_Generic_Decor_HeadMounted_Doe01.m2"
21935,"[DNT] [AUTOGEN] 10XP_Generic_Decor_HeadMounted_Doe02.m2"
21936,"[DNT] [AUTOGEN] 10XP_Generic_Decor_HeadMounted_Dragon02.m2"
21937,"[DNT] [AUTOGEN] 10XP_Generic_Decor_HeadMounted_Elekk02.m2"
21938,"[DNT] [AUTOGEN] 10XP_Generic_Decor_HeadMounted_Lion02.m2"
21939,"[DNT] [AUTOGEN] 10XP_Generic_Decor_HeadMounted_ShovelTusk02.m2"
21940,"[DNT] [AUTOGEN] 10XP_Generic_Decor_HeadMounted_Tigger02.m2"
21941,"[DNT] [AUTOGEN] 10XP_Generic_Decor_HeadMounted_Elk02.m2"
21942,"[DNT] [AUTOGEN] 10XP_Generic_Decor_HeadMountFrame01.m2"
21943,"[DNT] [AUTOGEN] 10XP_Generic_Decor_HeadMountFrame02.m2"
21944,"[DNT] [AUTOGEN] 10XP_Generic_Decor_HeadMounted_Tiger01.m2"
23176,"Maruukai Barricade"
23177,"Wide Maruukai Barricade"
23178,"Maruukai Storage Basket"
23179,"Open Maruukai Storage Basket"
23180,"Maruukai Wooden Table"
23181,"Maruukai Feast Table"
23182,"Bakar's Napping Rug"
23183,"Ornate Khanam's Rug"
23184,"Large Ornate Khanam's Rug"
23185,"Maruukai Chef's Stove"
23186,"Tapered Maruukai Barricade"
23550,"Bakar's Snack"
23551,"Bakar's Dinner"
25121,"Cozy Bird Nest"
25274,"Gilded Silvermoon Compass"
26491,"K'areshi Tea Cup"
26492,"Purified Dracthyr Stein"
