"status","current_exists","achievement_id","title","description","category_id","category_name","criteria_tree_id","reward_item_id","flags","points"
"snapshot_non_legion_category","True","6","Level 10","Reach level 10.","92","General","2050",,"2101252","10"
"snapshot_non_legion_category","True","7","Level 20","Reach level 20.","92","General","2683",,"2101252","10"
"snapshot_non_legion_category","True","8","Level 30","Reach level 30.","92","General","1289",,"2101252","10"
"snapshot_non_legion_category","True","9","Level 40","Reach level 40.","92","General","942",,"2101252","10"
"snapshot_non_legion_category","True","10","Level 50","Reach level 50.","92","General","2053",,"2101252","10"
"snapshot_non_legion_category","True","11","Level 60","Reach level 60.","92","General","2056",,"2101252","10"
"snapshot_non_legion_category","True","12","Level 70","Reach level 70.","92","General","2059",,"2101252","10"
"snapshot_non_legion_category","True","13","Level 80","Reach level 80.","92","General","2262",,"2101252","10"
"snapshot_non_legion_category","True","15","Plenty of Pets","Collect 15 unique pets.","15118","Collect","22152",,"131072","10"
"snapshot_non_legion_category","True","16","Did Somebody Order a Knuckle Sandwich?","Raise your unarmed skill to 400.","15234","Legacy","6318",,"2048","0"
"snapshot_non_legion_category","True","31","A Simple Re-Quest","Complete a daily quest every day for five consecutive days.","96","Quests","2807",,"0","10"
"snapshot_non_legion_category","True","32","2000 Quests Completed","Complete 2000 quests.","96","Quests","2810",,"0","10"
"snapshot_non_legion_category","True","33","Nothing Boring About Borean","Complete the Borean Tundra storylines listed below.","14863","Northrend","1741",,"0","10"
"snapshot_non_legion_category","True","34","I've Toured the Fjord","Complete the Howling Fjord storylines listed below.","14863","Northrend","5287",,"0","10"
"snapshot_non_legion_category","True","35","Might of Dragonblight","Complete the Dragonblight storylines listed below.","14863","Northrend","1745",,"0","10"
"snapshot_non_legion_category","True","36","The Empire of Zul'Drak","Complete the Zul'Drak storylines listed below.","14863","Northrend","1881",,"0","10"
"snapshot_non_legion_category","True","37","Fo' Grizzle My Shizzle","Complete the Grizzly Hills storylines listed below.","14863","Northrend","5284",,"0","10"
"snapshot_non_legion_category","True","38","The Summit of Storm Peaks","Complete the Storm Peaks storylines listed below.","14863","Northrend","1884",,"0","10"
"snapshot_non_legion_category","True","39","Into the Basin","Complete the Sholazar Basin storylines listed below.","14863","Northrend","1887",,"0","10"
"snapshot_non_legion_category","True","40","Icecrown: The Final Goal","Complete the Icecrown storylines listed below.","14863","Northrend","3375",,"0","10"
"snapshot_non_legion_category","True","41","Loremaster of Northrend","Complete the Northrend quest achievements listed below.","14863","Northrend","5756",,"131072","10"
"snapshot_non_legion_category","True","42","Eastern Kingdoms Explorer","Explore the regions of Eastern Kingdoms.","97","Exploration","2402",,"131072","25"
"snapshot_non_legion_category","True","43","Kalimdor Explorer","Explore the regions of Kalimdor.","97","Exploration","3317",,"131072","25"
"snapshot_non_legion_category","True","44","Outland Explorer","Explore the regions of Outland.","97","Exploration","3340",,"131072","25"
"snapshot_non_legion_category","True","45","Northrend Explorer","Explore the regions of Northrend.","97","Exploration","12064",,"131072","25"
"snapshot_non_legion_category","True","46","Universal Explorer","Explore Eastern Kingdoms, Kalimdor, Outland, Northrend, the areas revealed by the Cataclysm, Pandaria, Draenor, and the Broken Isles.","97","Exploration","3257",,"131072","50"
"snapshot_non_legion_category","True","49","Alterac Valley victories","Alterac Valley victories","153","Battlegrounds","15889",,"1","0"
"snapshot_non_legion_category","True","50","Eye of the Storm victories","Eye of the Storm victories","153","Battlegrounds","9109",,"1","0"
"snapshot_non_legion_category","True","51","Arathi Basin victories","Arathi Basin victories","153","Battlegrounds","5504",,"1","0"
"snapshot_non_legion_category","True","52","Warsong Gulch battles","Warsong Gulch battles","153","Battlegrounds","5507",,"1","0"
"snapshot_non_legion_category","True","53","Alterac Valley battles","Alterac Valley battles","153","Battlegrounds","5510",,"1","0"
"snapshot_non_legion_category","True","54","Eye of the Storm battles","Eye of the Storm battles","153","Battlegrounds","1272",,"1","0"
"snapshot_non_legion_category","True","55","Arathi Basin battles","Arathi Basin battles","153","Battlegrounds","3391",,"1","0"
"removed_after_legion","False","56","Deaths in Warsong Gulch","Deaths in Warsong Gulch","124","Battlegrounds","140",,"1","0"
"removed_after_legion","False","57","Deaths in Alterac Valley","Deaths in Alterac Valley","124","Battlegrounds","2062",,"1","0"
"removed_after_legion","False","58","Deaths from Drek'Thar","Deaths from Drek'Thar","124","Battlegrounds","143",,"1","0"
"removed_after_legion","False","59","Deaths in Arathi Basin","Deaths in Arathi Basin","124","Battlegrounds","1064",,"1","0"
"snapshot_non_legion_category","True","60","Total deaths","Total deaths","122","Deaths","1189",,"1","0"
"snapshot_non_legion_category","True","73","Disgracin' The Basin","Assault 3 bases in a single Arathi Basin battle.","14802","Arathi Basin","7709",,"0","10"
"snapshot_non_legion_category","True","94","Quests abandoned","Quests abandoned","133","Quests","805",,"1","0"
"snapshot_non_legion_category","True","95","Average quests completed per day","Average quests completed per day","133","Quests","5199",,"65","0"
"snapshot_non_legion_category","True","97","Daily quests completed","Daily quests completed","133","Quests","5766",,"1","0"
"snapshot_non_legion_category","True","98","Quests completed","Quests completed","133","Quests","758",,"1","0"
"snapshot_non_legion_category","True","99","Ruins of Lordaeron matches","Ruins of Lordaeron matches","152","Rated Arenas","15898",,"1","0"
"snapshot_non_legion_category","True","100","Ring of Trials victories","Ring of Trials victories","152","Rated Arenas","836",,"1","0"
"snapshot_non_legion_category","True","101","Ring of Trials matches","Ring of Trials matches","152","Rated Arenas","945",,"1","0"
"snapshot_non_legion_category","True","102","Ruins of Lordaeron victories","Ruins of Lordaeron victories","152","Rated Arenas","8210",,"1","0"
"snapshot_non_legion_category","True","103","Circle of Blood matches","Circle of Blood matches","152","Rated Arenas","808",,"1","0"
"snapshot_non_legion_category","True","104","Circle of Blood victories","Circle of Blood victories","152","Rated Arenas","15892",,"1","0"
"snapshot_non_legion_category","True","105","Warsong Gulch victories","Warsong Gulch victories","153","Battlegrounds","3068",,"1","0"
"snapshot_non_legion_category","True","107","Creatures killed","Creatures killed","135","Creatures","762",,"9","0"
"snapshot_non_legion_category","True","108","Critters killed","Critters killed","135","Creatures","774",,"1","0"
"snapshot_non_legion_category","True","110","Lich King 5-player boss defeated the most","Lich King 5-player boss killed the most","14807","Dungeons & Raids","2277",,"1","0"
"snapshot_non_legion_category","True","112","Deaths from drowning","Deaths from drowning","126","World","9921",,"1","0"
"snapshot_non_legion_category","True","113","Deaths from fatigue","Deaths from fatigue","126","World","777",,"1","0"
"snapshot_non_legion_category","True","114","Deaths from falling","Deaths from falling","126","World","2429",,"1","0"
"snapshot_non_legion_category","True","115","Deaths from fire and lava","Deaths from fire and lava","126","World","1592",,"9","0"
"snapshot_non_legion_category","True","116","Professional Journeyman","Obtain 150 skill points in a profession.","169","Professions","1596",,"0","10"
"snapshot_non_legion_category","True","121","Journeyman Cook","Obtain 150 skill points in cooking.","170","Cooking","5281",,"0","10"
"snapshot_non_legion_category","True","122","Expert Cook","Obtain 225 skill points in cooking.","170","Cooking","2377",,"0","10"
"snapshot_non_legion_category","True","123","Artisan Cook","Obtain 300 skill points in cooking.","170","Cooking","4033",,"0","10"
"snapshot_non_legion_category","True","124","Master Cook","Obtain 375 skill points in cooking.","170","Cooking","2432",,"0","10"
"snapshot_non_legion_category","True","125","Grand Master Cook","Obtain 450 skill points in cooking.","170","Cooking","1578",,"0","10"
"snapshot_non_legion_category","True","126","Journeyman Fisherman","Obtain 150 skill points in fishing.","171","Fishing","1738",,"0","10"
