"current_exists","currency_id","name","description","category_id","faction_id","max_quantity","flags"
"False","1","Currency Token Test Token 4","Text that describes this item can be found here.","1",,"0","71682"
"False","2","Currency Token Test Token 2","","1",,"0","12297"
"False","4","Currency Token Test Token 5","","1",,"0","1"
"False","22","Birmingham Test Item 3","","41",,"0","0"
"True","42","Badge of Justice","","1",,"0","0"
"True","61","Dalaran Jewelcrafter's Token","Tiffany Cartier's shop in Dalaran will gladly accept these tokens for unique jewelcrafting recipes.","21",,"0","0"
"True","81","Epicurean's Award","Visit special cooking vendors in Dalaran and the capital cities to to purchase unusual cooking recipes, spices, and even a fine hat!","1",,"0","0"
"True","101","Emblem of Heroism","","22",,"0","0"
"True","102","Emblem of Valor","","22",,"0","0"
"True","103","Arena Points","","2",,"0","0"
"False","104","Honor Points DEPRECATED","If you can read this, you've found a bug. REPORT IT!","2",,"0","0"
"True","121","Alterac Valley Mark of Honor","","2",,"0","0"
"True","122","Arathi Basin Mark of Honor","","2",,"0","0"
"True","123","Eye of the Storm Mark of Honor","","2",,"0","0"
"True","124","Strand of the Ancients Mark of Honor","","2",,"0","0"
"True","125","Warsong Gulch Mark of Honor","","2",,"0","0"
"True","126","Wintergrasp Mark of Honor","","2",,"0","0"
"True","161","Stone Keeper's Shard","","2",,"0","0"
"False","181","Honor Points DEPRECATED2","If you can read this, you've found a bug. REPORT IT!","2",,"0","0"
"True","201","Venture Coin","","2",,"0","0"
"True","221","Emblem of Conquest","","22",,"0","0"
"True","241","Champion's Seal","Awarded for valiant acts in the Crusader's Coliseum.","21",,"0","0"
"True","301","Emblem of Triumph","","22",,"0","0"
"True","321","Isle of Conquest Mark of Honor","","2",,"0","0"
"True","341","Emblem of Frost","","22",,"0","0"
"True","361","Illustrious Jewelcrafter's Token","Awarded for demonstrating great skill in jewelcrafting, these tokens can be used to purchase unique jewelcrafting plans and the fabulous Chimera's Eye.","81",,"0","0"
"True","384","Dwarf Archaeology Fragment","","82",,"200","34"
"True","385","Troll Archaeology Fragment","","82",,"200","34"
"True","391","Tol Barad Commendation","Awarded for brave deeds performed on Tol Barad.","2",,"0","2"
"True","393","Fossil Archaeology Fragment","","82",,"200","34"
"True","394","Night Elf Archaeology Fragment","","82",,"200","34"
"True","395","Justice Points","Used to purchase less-powerful armor and weapons.","142",,"1","8280"
"True","396","Valor Points","Used to purchase powerful PvE armor and weapons.","142",,"300099","8264"
"True","397","Orc Archaeology Fragment","","82",,"200","34"
"True","398","Draenei Archaeology Fragment","","82",,"200","34"
"True","399","Vrykul Archaeology Fragment","","82",,"200","34"
"True","400","Nerubian Archaeology Fragment","","82",,"200","34"
"True","401","Tol'vir Archaeology Fragment","","82",,"200","34"
"True","402","Ironpaw Token","Represents your credit with the Ironpaw family of cooks. Can be redeemed for Cooking ingredients and other things at the Stockmaster in Halfhill Market.","1",,"0","0"
"True","416","Mark of the World Tree","Granted by the Guardians of Hyjal. Can be used to purchase reinforcements for the Invasion of the Firelands.","81",,"0","1024"
"True","483","Conquest Arena Meta","","89",,"0","1484"
"True","484","Conquest Rated BG Meta","","89",,"0","1484"
"True","515","Darkmoon Prize Ticket","Awarded for winning games or doing favors at the Darkmoon Faire.","1",,"0","2"
"True","614","Mote of Darkness","Extracted from the forces of Deathwing, this dark energy can be used to power amazing magics.","81",,"0","1024"
"True","615","Essence of Corrupted Deathwing","Extracted from Deathwing himself, this dark energy powers the most fearsome of incantations.","81",,"0","1024"
"True","676","Pandaren Archaeology Fragment","","82",,"200","34"
"True","677","Mogu Archaeology Fragment","","82",,"200","34"
"True","692","Conquest Random BG Meta","","89",,"0","1484"
"True","697","Elder Charm of Good Fortune","Possession of the Elder Charm of Good Fortune allows its lucky owner to risk a coin to receive a bonus reward from Mogu'shan Vaults, Heart of Fear, Terrace of Endless Spring, Sha of Anger, or Salyis' Warband.","133",,"20","2114"
"True","698","Zen Jewelcrafter's Token","Awarded for demonstrating great skill in jewelcrafting, these tokens can be used to purchase unique jewelcrafting plans and the beautiful Serpent's Eye.","133",,"0","0"
"True","738","Lesser Charm of Good Fortune","Possession of the Lesser Charms of Good Fortune will result in great happiness and the eventual conversion into Warforged Seals, which allow players to risk a coin to receive a bonus reward from raid encounters.","133",,"0","64"
"True","752","Mogu Rune of Fate","Possession of the Mogu Rune of Fate allows its lucky owner to risk a rune to receive a bonus reward from the Throne of Thunder, Nalak or Oondasta.","133",,"20","2"
"True","754","Mantid Archaeology Fragment","","82",,"200","34"
"True","776","Warforged Seal","Possession of the Warforged Seal allows its lucky owner to risk a seal to receive a bonus reward from the Siege of Orgrimmar, the Celestial Trials, and Ordos.","133",,"20","2"
"True","777","Timeless Coin","You feel the shadowy fingers of previous and future owners of this coin playing across your hand, as if time itself blurs. Spend upon the Timeless Isle to earn powerful and fluid rewards.","133",,"0","66"
"True","789","Bloody Coin","Pulled from the steaming corpses of foes vanquished in the mists of the Timeless Isle.","133",,"0","66"
"True","810","Black Iron Fragment","Scavenged from the shattered armor and weapons of Iron Horde invaders.","133",,"0","66"
"True","821","Draenor Clans Archaeology Fragment","","82",,"250","34"
"True","823","Apexis Crystal","The enduring legacy of a lost civilization, Apexis crystals contain untold reserves of magical power.","137",,"0","8194"
"True","824","Garrison Resources","Earn resources to build-up and expand your garrison.","137",,"10000","2"
"True","828","Ogre Archaeology Fragment","","82",,"250","34"
"True","829","Arakkoa Archaeology Fragment","","82",,"250","34"
"True","830","n/a","","82",,"200","34"
"True","897","UNUSED","","137",,"100","8194"
"True","910","Secret of Draenor Alchemy","Allows you to obtain new Alchemy recipes from the Alchemist's Lab.","137",,"0","0"
"True","944","Artifact Fragment","A tiny fragment of an Ashran lost artifact, treasured by the Highmaul Ogres.","137",,"100000","8202"
"True","980","Dingy Iron Coins","Perhaps they're more valuable than they appear on the surface.","137",,"2000000","8"
"True","994","Seal of Tempered Fate","Twists fate to provide an opportunity for additional treasure in Highmaul or Blackrock Foundry raids.","137",,"20","2"
"True","999","Secret of Draenor Tailoring","Allows you to obtain Tailoring recipes from the Tailoring Emporium.","137",,"0","0"
"True","1008","Secret of Draenor Jewelcrafting","Allows you to obtain new Jewelcrafting recipes.","137",,"0","0"
"True","1017","Secret of Draenor Leatherworking","Allows you to obtain Leatherworking recipes from the Tannery.","137",,"0","0"
"True","1020","Secret of Draenor Blacksmithing","Allows you to obtain new Blacksmithing recipes.","137",,"0","0"
"True","1101","Oil","Found primarily in Tanaan Jungle, Oil is used to fuel naval missions.","137",,"100000","66"
"True","1129","Seal of Inevitable Fate","Twists fate to provide an opportunity for additional treasure in Hellfire Citadel or Draenor Mythic Dungeons.","137",,"20","2"
"True","1149","Sightless Eye","A rough, hand-minted coin. It bears a symbol similar to that of the Kirin Tor, with one key difference: the eye is closed.","141",,"5000","2"
"True","1154","Shadowy Coins","Prized by pickpockets and marks alike. Can be spent in the Underbelly below Dalaran.","141",,"500","0"
"True","1155","Ancient Mana","Concentrated magic from the ancient leylines beneath Suramar.","141",,"300","2359298"
"True","1166","Timewarped Badge","Earned in Timewalking dungeons. Exchanged for goods from Timewalking Vendors in capitol cities.","22",,"0","8194"
"True","1171","Artifact Knowledge","Increases the rate at which you earn Artifact Power.","142",,"0","525376"
"True","1172","Highborne Archaeology Fragment","","82",,"200","34"
"True","1173","Highmountain Tauren Archaeology Fragment","","82",,"200","34"
"True","1174","Demonic Archaeology Fragment","","82",,"200","34"
"True","1191","Valor","A currency used to increase the power of items from Hellfire Citadel, Tanaan Jungle, Draenor Dungeons, and powerful crafted items.","22",,"5000","66"
"True","1220","Order Resources","Used to recruit troops, run missions, and research upgrades for your order hall.","141",,"0","2"
"True","1226","Nethershard","A fragment of crystallized nether brought to Azeroth by the Legion.","141",,"0","2"
"True","1268","Timeworn Artifact","A mysterious naga artifact from the depths of the Great Sea. King Mrgl-Mrgl is looking for these at Timeworn Strand.","141",,"100000","8202"
"True","1273","Seal of Broken Fate","Twists fate to provide an opportunity for additional treasure from Legion raid and Mythic dungeon bosses.","141",,"6","2"
"True","1275","Curious Coin","This unusual coin is warm to the touch and vibrates gently in your hand. Used to procure items from Xur'ios in Dalaran.","141",,"0","2"
"True","1299","Brawler's Gold","Awarded to victors of the Brawler's Guild. Use it to purchase Rumble Cards and other world-altering items at the Brawler's Gold Exchange vendor.","141",,"5000","2"
"True","1314","Lingering Soul Fragment","Soul fragment once belonging to a powerful enemy.","141",,"40","2097218"
"True","1324","Horde Qiraji Commendation","Completing this quest will grant the Horde credit in the Call of the Scarab event.

The faction which earns the most credit today may hang their banners by the Scarab Gong for the rest of the year.","142",,"0","1638400"
"True","1325","Alliance Qiraji Commendation","Completing this quest will grant the Alliance credit in the Call of the Scarab event.

The faction which earns the most credit today may hang their banners by the Scarab Gong for the rest of the year.","142",,"0","1638400"
"True","1342","Legionfall War Supplies","Used to further the construction of valuable structures on the Broken Shore.","141",,"1000","2"
"True","1347","Legionfall Building - Personal Tracker - Mage Tower (Hidden)","","142",,"0","1572864"
"True","1349","Legionfall Building - Personal Tracker - Command Tower (Hidden)","","142",,"0","1572864"
"True","1350","Legionfall Building - Personal Tracker - Nether Tower (Hidden)","","142",,"0","1572864"
"True","1355","Felessence","Concentrated demonic essence which can be captured and used to create armor of great power.","141",,"0","0"
"True","1356","Echoes of Battle","Used to purchase powerful PvP armor. At the end of the season, this currency converts to gold.","141",,"0","384"
"True","1357","Echoes of Domination","Used to purchase elite PvP armor. At the end of the season, this currency converts to gold.","141",,"0","384"
"True","1379","Trial of Style Token","Earned by participating in the Trial of Style. Can be exchanged for transmoggable gear in most major cities.","1",,"200","0"
"True","1416","Coins of Air","Evaporate into mist after a while.","141",,"2000000","0"
"True","1501","Writhing Essence","Used to upgrade Legion Legendary items to item level 970.","142",,"0","2"
"True","1506","Argus Waystone","Used by the minions of Sargeras to force open portals from Argus to other Legion-controlled worlds.","142",,"40","0"
"True","1508","Veiled Argunite","This dull-colored crystal is highly valued by ethereal traders, especially Thaumaturge Vashreen aboard the Vindicaar.","141",,"2000","2"
"True","1533","Wakening Essence","Used by Arcanomancer Vridiel in Dalaran above the Broken Isles to create or upgrade Legion Legendary items.","141",,"0","2"
