"status","release_decision","unavailable","availability_note","current_exists","mount_id","name","source_spell_id","item_ids","item_expansion_ids","source_type_enum","flags","source_text"
"legion_snapshot_candidate","include_legion","False",,"True","656","Llothien Prowler","171850","116793;137573","0","1","0","|cFFFFD200Quest:|r Volpin the Elusive|n|cFFFFD200Zone:|r Suramar|n"
"late_wod_boundary","exclude_wod","False",,"True","657","Garn Nighthowl","171851","116794","0","0","0","|cFFFFD200Drop:|r Nok-Karosh|n|cFFFFD200Location:|r Frostfire Ridge"
"legion_snapshot_candidate","include_legion","False",,"True","663","Bloodfang Widow","213115","137570","0","2","0","|cFFFFD200Vendor:|r The Mad Merchant|n"
"late_wod_boundary","exclude_wod","False",,"True","664","Emerald Drake","175700","118676","0","5","128","|cFFFFD200Achievement:|r Drake Collector|n|cFFFFD200Category:|r Mounts"
"late_wod_boundary","exclude_wod","False",,"True","678","Chauffeured Mechano-Hog","179244","122703","0","5","4","|cFFFFD200Achievement:|r Heirloom Hoarder|n"
"late_wod_boundary","exclude_wod","False",,"True","679","Chauffeured Mekgineer's Chopper","179245","120968","0","5","4","|cFFFFD200Achievement:|r Heirloom Hoarder"
"late_wod_boundary","exclude_wod","False",,"True","682","Voidtalon of the Dark Star","179478","121815","0","0","0","|cFFFFD200Drop: |rVoidtalon Egg"
"late_wod_boundary","exclude_wod","False",,"True","741","Mystic Runesaber","180545","122469","0","9","0","|cFFFFD200In-Game Shop|r"
"late_wod_boundary","exclude_wod","False",,"True","751","Felsteel Annihilator","182912","123890","0","0","0","|cFFFFD200Drop: |rArchimonde|n|cFFFFD200Location:|r Hellfire Citadel|n|cFFFFD200Difficulty:|r Mythic|n"
"late_wod_boundary","exclude_wod","False",,"True","753","Corrupted Dreadwing","183117","123974","0","2","0","|cFFFFD200Vendor: |rDawn-Seeker Krisek|n|cFFFFD200Zone: |rTanaan Jungle|n|cFFFFD200Faction: |rOrder of the Awakened - Friendly|n|cFFFFD200Cost:|r 150,000|Tinterface\icons\inv_apexis_draenor.blp:0|t"
"late_wod_boundary","exclude_wod","False",,"True","755","Vicious War Mechanostrider","183889","124089","0","-1","4","|cFFFFD200Vendor: |rNecrolord Sipe|n|cFFFFD200Zone: |rStormwind City|n|cFFFFD200Cost: |r1|TINTERFACE\ICONS\ACHIEVEMENT_BG_KILL_ON_MOUNT.BLP:0|t"
"late_wod_boundary","exclude_wod","False",,"True","756","Vicious War Kodo","185052","124540","0","2","4","|cFFFFD200Vendor: |rDeathguard Netharian|n|cFFFFD200Zone: |rOrgrimmar|n|cFFFFD200Cost: |r1|TINTERFACE\ICONS\ACHIEVEMENT_BG_KILL_ON_MOUNT.BLP:0|t"
"late_wod_boundary","exclude_wod","False",,"True","758","Infernal Direwolf","186305","127140","0","5","0","|cFFFFD200Achievement:|r Glory of the Hellfire Raider"
"late_wod_boundary","exclude_wod","False",,"True","759","Primal Gladiator's Felblood Gronnling","186828","128277","0","5","64","|cFFFFD200Achievement: |rGladiator: Warlords Season 1|n|cFFFFD200Category: |rFeats of Strength"
"late_wod_boundary","exclude_wod","False",,"True","760","Wild Gladiator's Felblood Gronnling","189043","128281","0","5","64","|cFFFFD200Achievement: |rGladiator: Warlords Season 2|n|cFFFFD200Category: |rFeats of Strength"
"late_wod_boundary","exclude_wod","False",,"True","761","Warmongering Gladiator's Felblood Gronnling","189044","128282","0","5","64","|cFFFFD200Achievement: |rGladiator: Warlords Season 3|n|cFFFFD200Category: |rFeats of Strength"
"late_wod_boundary","exclude_wod","False",,"True","762","Coalfist Gronnling","189364","128311","0","0","0","|cFFFFD200Garrison Mission:|r Breaker Two"
"policy_external_candidate","exclude_policy_external","False",,"True","763","Illidari Felstalker","189998","128425","0","7","0","|cFFFFD200Promotion:|r Legion Collector's Edition|n"
"late_wod_boundary","exclude_wod","False",,"True","764","Grove Warden","189999","128422","0","1","0","|cFFFFD200Quest: |rDark Waters|n|cFFFFD200Zone: |rMoonglade"
"late_wod_boundary","exclude_wod","False",,"True","765","Bristling Hellboar","190690","128480;128481","0","2","0","|cFFFFD200Vendor: |rZ'tenga the Walker|n|cFFFFD200Zone: |rTanaan Jungle|n|cFFFFD200Faction: |rThe Saberstalkers - Exalted|n|cFFFFD200Cost: |r5000|TInterface\ICONS\INV_misc_blacksaberonfang.blp:0|t"
"legion_snapshot_candidate","include_legion","False",,"True","767","Charger","221883","","","1","264","|cFFFFD200Paladin|r"
