"status","release_decision","unavailable","availability_note","current_exists","species_id","name","creature_id","summon_spell_id","item_ids","item_expansion_ids","pet_type_enum","flags","source_type_enum","source_text"
"legion_snapshot_candidate","include_legion","False",,"True","1699","Enchanted Cauldron","96403","191071","128533","0","5","2","3","|cFFFFD200Profession:|r Enchanting|n|cFFFFD200Formula:|r Enchanted Cauldron"
"legion_snapshot_candidate","include_legion","False",,"True","1700","Enchanted Torch","96404","191072","128534","0","5","2","3","|cFFFFD200Profession:|r Enchanting|n|cFFFFD200Formula:|r Enchanted Torch"
"legion_snapshot_candidate","include_legion","False",,"True","1701","Enchanted Pen","96405","191073","128535","0","5","2","3","|cFFFFD200Profession:|r Enchanting|n|cFFFFD200Formula:|r Enchanted Pen"
"legion_snapshot_candidate","include_legion","False",,"True","1705","Grumpy","96622","186299","128354;146417","0","7","2","1","|cFFFFD200Quest: |rGrumpy|n|cFFFFD200Zone: |rVal'sharah"
"legion_snapshot_candidate","include_legion","False",,"True","1706","Ashmaw Cub","96649","191425","128690","0","7","2","1","|cFFFFD200Quest:|r Adopting the Adorable|n|cFFFFD200Zone:|r Val'Sharah"
"collectible_wild_pet_shared_audit","exclude_shared_wild_audit","False",,"True","1708","Albatross Chick","97018","0","","","2","26","4","|cFFFFD200Pet Battle: |rAzsuna, Stormheim"
"collectible_wild_pet_shared_audit","exclude_shared_wild_audit","False",,"True","1709","Fledgling Kingfeather","97076","0","","","2","26","4","|cFFFFD200Pet Battle:|r Azsuna|n"
"collectible_wild_pet_shared_audit","exclude_shared_wild_audit","False",,"True","1710","Fledgling Oliveback","97078","0","","","2","26","4","|cFFFFD200Pet Battle:|r Azsuna|n"
"legion_snapshot_candidate","include_legion","False",,"True","1711","Skyhorn Nestling","97079","193680","129277","0","2","2","1","|cFFFFD200Quest: |rEmpty Nest|n|cFFFFD200Zone: |rHighmountain"
"collectible_wild_pet_shared_audit","exclude_shared_wild_audit","False",,"True","1712","Golden Eaglet","97080","0","","","2","26","4","|cFFFFD200Pet Battle: |rStormheim"
"collectible_wild_pet_shared_audit","exclude_shared_wild_audit","False",,"True","1713","Long-Eared Owl","97118","0","","","2","26","4","|cFFFFD200Pet Battle: |rHighmountain, Stormheim"
"collectible_wild_pet_shared_audit","exclude_shared_wild_audit","False",,"True","1714","Northern Hawk Owl","97126","0","","","2","26","4","|cFFFFD200Pet Battle: |rHighmountain"
"legion_snapshot_candidate","include_legion","False",,"True","1715","Nightwatch Swooper","97127","194393","129878","0","2","26","2","|cFFFFD200Vendor:|r Draemus|n|cFFFFD200Zone:|r Dalaran|n|cFFFFD200Cost:|r 100|TINTERFACE\ICONS\ACHIEVEMENT_GUILDPERK_HONORABLEMENTION.BLP:0|t"
"legion_snapshot_candidate","include_legion","False",,"True","1716","Fledgling Warden Owl","97128","210669","136898","0","2","2","2","|cFFFFD200Vendor: |rMarin Bladewing|n|cFFFFD200Zone: |rAzsuna|n|cFFFFD200Faction: |rThe Wardens - Revered|n|cFFFFD200Cost: |r500|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t"
"legion_snapshot_candidate","include_legion","False",,"True","1717","Extinguished Eye","97174","210671","136899","6","5","2","2","|cFFFFD200Vendor: |rFirst Arcanist Thalyssra|n|cFFFFD200Zone: |rSuramar|n|cFFFFD200Faction: |rThe Nightfallen - Revered|n|cFFFFD200Cost: |r500|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t"
"legion_snapshot_candidate","include_legion","False",,"True","1718","Hateful Eye","97178","210672","136900","0","5","18","4","|cFFFFD200Order Hall:|r Dreadscar Rift, The Fel Hammer"
"legion_snapshot_candidate","include_legion","False",,"True","1719","Eye of Inquisition","97179","210673","136901","0","5","10","0","|cFFFFD200Drop: |rFelsoul Inquisitor|n|cFFFFD200Zone: |rSuramar"
"legion_snapshot_candidate","include_legion","False",,"True","1720","Emmigosa","97207","193388","129178","0","1","66","1","|cFFFFD200Quest: |rOn the Brink|n|cFFFFD200Zone: |rAzsuna"
"legion_snapshot_candidate","include_legion","False",,"True","1721","Stormborne Whelpling","97205","193514","129208","0","1","2","0","|cFFFFD200Drop: |rStormwing Matriarch|n|cFFFFD200Zone: |rStormheim"
"legion_snapshot_candidate","include_legion","False",,"True","1722","Dream Whelpling","97206","210674","136902","0","1","26","4","|cFFFFD200Pet Battle: |rThe Emerald Nightmare"
"legion_snapshot_candidate","include_legion","False",,"True","1723","Nightmare Whelpling","112015","210675","136903","0","1","2","0","|cFFFFD200Drop: |rYsondre|n|cFFFFD200Zone: |rThe Emerald Nightmare"
"legion_snapshot_candidate","include_legion","False",,"True","1725","Grumpling","97229","191967","128770","0","0","2","6","|cFFFFD200World Event:|r Feast of Winter Veil"
"collectible_wild_pet_shared_audit","exclude_shared_wild_audit","False",,"True","1726","Burrow Spiderling","97236","0","","","7","26","4","|cFFFFD200Pet Battle: |rHighmountain"
"wrath_acquisition_boundary","exclude_wrath","False",,"True","1727","Nursery Spider","97238","194357","129826","0","7","2","2","|cFFFFD200Vendor: |rBreanni|n|cFFFFD200Zone: |rDalaran|n|cFFFFD200Cost: |r200|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t|n|n|cFFFFD200Vendor: |rBreanni|n|cFFFFD200Zone: |rCrystalsong Forest|n|cFFFFD200Cost: |r200|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t"
"collectible_wild_pet_shared_audit","exclude_shared_wild_audit","False",,"True","1728","Juvenile Scuttleback","97283","0","","","8","26","4","|cFFFFD200Pet Battle: |rAzsuna, Eye of Azshara"
"collectible_wild_pet_shared_audit","exclude_shared_wild_audit","False",,"True","1729","Olivetail Hare","97294","0","","","4","26","4","|cFFFFD200Pet Battle: |rAzsuna, Eye of Azshara"
"collectible_wild_pet_shared_audit","exclude_shared_wild_audit","False",,"True","1731","Felspider","97323","0","","","7","26","4","|cFFFFD200Pet Battle: |rAzsuna, Highmountain"
"collectible_wild_pet_shared_audit","exclude_shared_wild_audit","False",,"True","1734","Shimmering Aquafly","97511","0","","","2","26","4","|cFFFFD200Pet Battle: |rVal'sharah"
"collectible_wild_pet_shared_audit","exclude_shared_wild_audit","False",,"True","1735","Terror Larva","97531","0","","","7","26","4","|cFFFFD200Pet Battle: |rVal'sharah"
"collectible_wild_pet_shared_audit","exclude_shared_wild_audit","False",,"True","1736","Slithering Brownscale","97542","0","","","7","26","4","|cFFFFD200Pet Battle: |rAzsuna, Stormheim, Val'sharah"
"collectible_wild_pet_shared_audit","exclude_shared_wild_audit","False",,"True","1737","Vale Flitter","97547","0","","","2","26","4","|cFFFFD200Pet Battle: |rVal'sharah"
"collectible_wild_pet_shared_audit","exclude_shared_wild_audit","False",,"True","1738","Auburn Ringtail","97555","0","","","4","26","4","|cFFFFD200Pet Battle: |rVal'sharah"
"collectible_wild_pet_shared_audit","exclude_shared_wild_audit","False",,"True","1739","Spring Strider","97559","0","","","8","26","4","|cFFFFD200Pet Battle: |rVal'sharah"
"collectible_wild_pet_shared_audit","exclude_shared_wild_audit","False",,"True","1743","Black-Footed Fox Kit","97741","0","","","7","26","4","|cFFFFD200Pet Battle: |rHighmountain, Stormheim"
"collectible_wild_pet_shared_audit","exclude_shared_wild_audit","False",,"True","1744","Mist Fox Kit","97743","0","","","7","26","4","|cFFFFD200Pet Battle: |rHighmountain, Stormheim"
"collectible_wild_pet_shared_audit","exclude_shared_wild_audit","False",,"True","1749","Rose Taipan","97840","0","","","7","26","4","|cFFFFD200Pet Battle: |rStormheim"
"collectible_wild_pet_shared_audit","exclude_shared_wild_audit","False",,"True","1750","Tiny Apparition","97952","0","","","3","26","4","|cFFFFD200Pet Battle: |rStormheim"
"legion_snapshot_candidate","include_legion","False",,"True","1751","Son of Goredome","98004","193279","129108","0","7","34","0","|cFFFFD200Drop: |rSon of Goredome|n|cFFFFD200Zone: |rStormheim"
"legion_snapshot_candidate","include_legion","False",,"True","1752","Crispin","98077","193368","129175","0","4","2","0","|cFFFFD200Drop: |rTenpak Flametotem|n|cFFFFD200Zone: |rHighmountain"
"legion_snapshot_candidate","include_legion","False",,"True","1753","Bleakwater Jelly","98116","193434","129188","0","8","2","0","|cFFFFD200Drop: |rSoulthirster|n|cFFFFD200Zone: |rHelheim"
"legion_snapshot_candidate","include_legion","False",,"True","1754","Sewer-Pipe Jelly","98128","210677","136904","0","8","2","2","|cFFFFD200Vendor:|r Laura Malley|n|cFFFFD200Zone:|r Dalaran Sewers|n|cFFFFD200Cost:|r 250|TINTERFACE\ICONS\ACHIEVEMENT_KIRINTOR_OFFENSIVE.BLP:0|t|n"
"legion_snapshot_candidate","include_legion","False",,"True","1755","Plump Jelly","98132","194330","129798","0","8","2","2","|cFFFFD200Vendor:|r Draemus|n|cFFFFD200Zone:|r Dalaran|n|cFFFFD200Cost:|r 50|TINTERFACE\ICONS\ACHIEVEMENT_GUILDPERK_HONORABLEMENTION.BLP:0|t"
"legion_snapshot_candidate","include_legion","False",,"True","1756","Ridgeback Piglet","98172","210678","136905","0","7","2","4","|cFFFFD200Profession:|r Alchemy"
"unobtainable_or_internal","exclude_unobtainable_or_internal","False",,"True","1757","Brown Piglet","98181","210679","136906","0","7","50","4","|cFFFFD200Pet Battle:|r "
"unobtainable_or_internal","exclude_unobtainable_or_internal","False",,"True","1758","Black Piglet","98182","210680","136907","0","7","50","4","|cFFFFD200Pet Battle:|r "
"legion_snapshot_candidate","include_legion","False",,"True","1759","Thaumaturgical Piglet","98183","210681","136908","0","7","2","4","|cFFFFD200Profession:|r Alchemy"
"legion_snapshot_candidate","include_legion","False",,"True","1760","Fel Piglet","98185","194294","129760","0","7","2","2","|cFFFFD200Vendor:|r Draemus|n|cFFFFD200Zone:|r Dalaran|n|cFFFFD200Cost:|r 200|TINTERFACE\ICONS\ACHIEVEMENT_GUILDPERK_HONORABLEMENTION.BLP:0|t"
"collectible_wild_pet_shared_audit","exclude_shared_wild_audit","False",,"True","1761","Echo Batling","88542","0","","","2","26","4","|cFFFFD200Pet Battle: |rHighmountain"
"collectible_wild_pet_shared_audit","exclude_shared_wild_audit","False",,"True","1762","Hog-Nosed Bat","98192","0","","","2","26","4","|cFFFFD200Pet Battle: |rHighmountain"
"collectible_wild_pet_shared_audit","exclude_shared_wild_audit","False",,"True","1763","Spiketail Beaver","98211","0","","","7","26","4","|cFFFFD200Pet Battle: |rHighmountain"
"legion_snapshot_candidate","include_legion","False",,"True","1764","Energized Manafiend","98236","193572","129216","0","5","2","0","|cFFFFD200Drop: |rRukdug|n|cFFFFD200Zone: |rNagrand"
"legion_snapshot_candidate","include_legion","False",,"True","1765","Empyreal Manafiend","98238","193589","129218","0","5","2","0","|cFFFFD200Drop: |rGuk|n|cFFFFD200Zone: |rNagrand"
"legion_snapshot_candidate","include_legion","False",,"True","1766","Empowered Manafiend","98237","193588","129217","0","5","2","0","|cFFFFD200Drop: |rPugg|n|cFFFFD200Zone: |rNagrand"
"collectible_wild_pet_shared_audit","exclude_shared_wild_audit","False",,"True","1773","Erudite Manafiend","98385","0","","","5","26","4","|cFFFFD200Pet Battle: |rAzsuna"
"collectible_wild_pet_shared_audit","exclude_shared_wild_audit","False",,"True","1774","Eldritch Manafiend","98386","0","","","5","26","4","|cFFFFD200Pet Battle: |rAzsuna"
"collectible_wild_pet_shared_audit","exclude_shared_wild_audit","False",,"True","1775","Coralback Fiddler","98428","0","","","8","26","4","|cFFFFD200Pet Battle: |rHighmountain"
"collectible_wild_pet_shared_audit","exclude_shared_wild_audit","False",,"True","1776","Mudshell Conch","98446","0","","","4","26","4","|cFFFFD200Pet Battle: |rHighmountain"
"legion_snapshot_candidate","include_legion","False",,"True","1777","Broot","98463","193943","129362","6","6","82","0","|cFFFFD200Order Hall:|r The Dreamgrove"
"collectible_wild_pet_shared_audit","exclude_shared_wild_audit","False",,"True","1778","Dust Bunny","98506","0","","","4","26","4","|cFFFFD200Pet Battle:|r Dalaran"
"legion_snapshot_candidate","include_legion","False",,"True","1802","Fetid Waveling","99394","195368","130168","0","6","2","0","|cFFFFD200Drop: |rPollous the Fetid|n|cFFFFD200Zone: |rVal'sharah"
"legion_snapshot_candidate","include_legion","False",,"True","1803","Thistleleaf Adventurer","99389","195369","130167","0","0","2","0","|cFFFFD200Drop:|r Dreamweaver Provisions|n"
"legion_snapshot_candidate","include_legion","False",,"True","1804","Risen Saber Kitten","99403","195370","130166","0","3","2","0","|cFFFFD200Drop: |rDarkshade|n|cFFFFD200Zone: |rVal'sharah"
"legion_snapshot_candidate","include_legion","False",,"True","1805","Alarm-o-Bot","99425","210682","136910","0","9","2","2","|cFFFFD200Vendor: |rDraemus|n|cFFFFD200Zone: |rDalaran|n|cFFFFD200Cost: |r200|TINTERFACE\ICONS\ACHIEVEMENT_GUILDPERK_HONORABLEMENTION.BLP:0|t"
"legion_snapshot_candidate","include_legion","False",,"True","1806","Knockoff Blingtron","99505","210683","136911","0","9","2","0","|cFFFFD200Drop:|r Blingtron 6000 Gift Package|n"
"collectible_wild_pet_shared_audit","exclude_shared_wild_audit","False",,"True","1807","Vicious Broodling","99513","0","","","7","26","4","|cFFFFD200Pet Battle: |rSuramar"
"legion_snapshot_candidate","include_legion","False",,"True","1808","Leyline Broodling","99526","210691","136914","0","7","2","3","|cFFFFD200Treasure:|r Suramar|n"
"collectible_wild_pet_shared_audit","exclude_shared_wild_audit","False",,"True","1809","Crystalline Broodling","99527","0","","","7","26","4","|cFFFFD200Pet Battle: |rSuramar"
"collectible_wild_pet_shared_audit","exclude_shared_wild_audit","False",,"True","1810","Thornclaw Broodling","99528","0","","","7","26","4","|cFFFFD200Pet Battle: |rSuramar"
"policy_external_candidate","exclude_policy_external","False",,"True","1828","Baby Winston","103159","204148","134047","0","0","82","7","|cFFFFD200Promotion:|r Overwatch Origins Edition or Collector's Edition|n"
"legion_snapshot_candidate","include_legion","False",,"True","1884","Baby Elderhorn","106152","210694","136919","0","7","2","2","|cFFFFD200Vendor: |rRansa Greyfeather|n|cFFFFD200Zone: |rHighmountain|n|cFFFFD200Faction: |rHighmountain Tribe - Revered|n|cFFFFD200Cost: |r500|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t"
"legion_snapshot_candidate","include_legion","False",,"True","1885","Sunborne Val'kyr","106181","210695","136920","6","0","2","2","|cFFFFD200Vendor: |rValdemar Stormseeker|n|cFFFFD200Zone: |rStormheim|n|cFFFFD200Faction: |rValarjar - Revered|n|cFFFFD200Cost: |r500|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t"
"legion_snapshot_candidate","include_legion","False",,"True","1886","Trigger","106210","210696","132519;136921","0","9","2","3","|cFFFFD200Profession:|r Engineering|n"
"legion_snapshot_candidate","include_legion","False",,"True","1887","Wyrmy Tunkins","106232","210697","136922","0","0","2","3","|cFFFFD200Profession:|r Archaeology"
"legion_snapshot_candidate","include_legion","False",,"True","1888","Celestial Calf","106270","210698","136923","0","5","18","2","|cFFFFD200Vendor:|r The Mad Merchant|n"
"legion_snapshot_candidate","include_legion","True","Legion pre-launch invasion event reward; event ended","True","1889","Felbat Pup","106278","210699","136924","6","2","2","4","|cFFFFD200World Event:|r Legion Invasion|n"
"legion_snapshot_candidate","include_legion","False",,"True","1890","Corgi Pup","106283","210701","136925","0","7","18","2","|cFFFFD200Vendor: |rHistorian Ju'pa|n|cFFFFD200Zone: |rOrgrimmar|n|n|cFFFFD200Vendor: |rHistorian Llore|n|cFFFFD200Zone: |rStormwind City"
"legion_snapshot_candidate","include_legion","False",,"True","1907","Pygmy Owl","108568","215560","130154","0","2","2","0","|cFFFFD200Drop: |rGorebeak|n|cFFFFD200Zone: |rVal'sharah"
"legion_snapshot_candidate","include_legion","False",,"True","1911","Sting Ray Pup","109216","217218","138810","0","8","2","2","|cFFFFD200Vendor: |rConjurer Margoss|n|cFFFFD200Zone: |rDalaran|n|cFFFFD200Faction: |rConjurer Margoss - Friendly|n|cFFFFD200Cost: |r50|TINTERFACE\ICONS\INV_ELEMENTAL_PRIMAL_WATER.BLP:0|t"
"collectible_wild_pet_shared_audit","exclude_shared_wild_audit","False",,"True","1912","Young Mutant Warturtle","110666","0","","","8","26","4","|cFFFFD200Pet Battle: |rDalaran"
"collectible_wild_pet_shared_audit","exclude_shared_wild_audit","False",,"True","1913","Gleamhoof Fawn","110741","0","","","4","26","4","|cFFFFD200Pet Battle: |rVal'sharah"
"collectible_wild_pet_shared_audit","exclude_shared_wild_audit","False",,"True","1914","Coastal Sandpiper","110826","0","","","2","26","4","|cFFFFD200Pet Battle: |rAzsuna, Eye of Azshara, Suramar"
"collectible_wild_pet_shared_audit","exclude_shared_wild_audit","False",,"True","1915","Blind Rat","111158","0","","","4","26","4","|cFFFFD200Pet Battle: |rDalaran Sewers"
"collectible_wild_pet_shared_audit","exclude_shared_wild_audit","False",,"True","1917","Stormstruck Beaver","111172","0","","","6","26","4","|cFFFFD200Pet Battle: |rStormheim"
"legion_snapshot_candidate","include_legion","False",,"True","1918","Alliance Enthusiast","111202","221684","139775","0","0","594","5","|cFFFFD200PvP:|r Prestige Reward"
"legion_snapshot_candidate","include_legion","False",,"True","1919","Horde Fanatic","111296","221683","139776","0","0","338","5","|cFFFFD200PvP:|r Prestige Reward"
"legion_snapshot_candidate","include_legion","False",,"True","1920","Transmutant","111425","221906","139789","0","5","2","3","|cFFFFD200Profession:|r Alchemy|n"
"legion_snapshot_candidate","include_legion","False",,"True","1921","Untethered Wyrmling","111423","221907","139790","0","5","2","1","|cFFFFD200Quest: |rBalance to Spare|n|cFFFFD200Zone: |rSuramar"
"legion_snapshot_candidate","include_legion","False",,"True","1922","Lurking Owl Kitten","111421","221908","139791","0","7","2","1","|cFFFFD200Quest: |rYou've Got to Be Kitten Me Right Meow|n|cFFFFD200Zone: |rSuramar"
"legion_snapshot_candidate","include_legion","False",,"True","1926","Hungering Claw","111984","223027","140261","0","5","2","0","|cFFFFD200Drop:|r Kosumoth the Hungering|n"
