"achievement_id","achievement","order_path","tree_id","criterion","criteria_id","criteria_type","criteria_asset","npc_ids","object_ids","entity_mapping","selection_decision"
"11261","Adventurer of Azsuna","0","53797","Valiyaka the Stormbringer","33248","0","89650","89650",,"criteria_creature_asset","include_legion"
"11261","Adventurer of Azsuna","1","53798","Horn of the Siren","33249","0","89816","89816",,"criteria_creature_asset","include_legion"
"11261","Adventurer of Azsuna","2","53799","Captain Volo'ren","33250","0","89846","89846",,"criteria_creature_asset","include_legion"
"11261","Adventurer of Azsuna","3","53800","The Oracle","33251","0","89850","89850",,"criteria_creature_asset","include_legion"
"11261","Adventurer of Azsuna","4","53810","Mrrgrl the Tide Reaver","33257","0","89865","89865",,"criteria_creature_asset","include_legion"
"11261","Adventurer of Azsuna","5","53811","Flog the Captain-Eater","33258","0","89884","89884",,"criteria_creature_asset","include_legion"
"11261","Adventurer of Azsuna","6","53812","Daggerbeak","33259","0","90057","90057",,"criteria_creature_asset","include_legion"
"11261","Adventurer of Azsuna","7","53813","Seek & Destroy Squad","33260","0","90164","90164",,"criteria_creature_asset","include_legion"
"11261","Adventurer of Azsuna","8","53814","Normantis the Deposed","33261","0","90217","90217",,"criteria_creature_asset","include_legion"
"11261","Adventurer of Azsuna","9","53815","Unbound Rift","33262","27","37932","90244",,"att_quest_npc_provider","include_legion"
"11261","Adventurer of Azsuna","10","53816","Syphonus & Leodrath","33263","27","37989","90505",,"att_quest_npc_provider","include_legion"
"11261","Adventurer of Azsuna","11","53817","Cache of Infernals","33264","27","38037","90803",,"att_quest_npc_provider","include_legion"
"11261","Adventurer of Azsuna","12","53818","Pridelord Meowl","33265","0","90901","90901",,"criteria_creature_asset","include_legion"
"11261","Adventurer of Azsuna","13","53820","Tide Behemoth","33267","27","38217","91113",,"att_quest_npc_provider","include_legion"
"11261","Adventurer of Azsuna","14","53821","Beacher","33268","0","91187","91187",,"criteria_creature_asset","include_legion"
"11261","Adventurer of Azsuna","15","53819","Marius & Tehd versus a Fel Lord","32403","27","38212","91100",,"att_quest_npc_provider","include_legion"
"11261","Adventurer of Azsuna","16","53822","Marius & Tehd versus a Doomlord","32402","27","38352","91579",,"att_quest_npc_provider","include_legion"
"11261","Adventurer of Azsuna","17","53823","Marius & Tehd versus Felbats","32401","27","42069","105938",,"att_quest_npc_provider","include_legion"
"11261","Adventurer of Azsuna","18","53824","Chief Bitterbrine","33269","0","106990","106990",,"criteria_creature_asset","include_legion"
"11261","Adventurer of Azsuna","19","53825","Brawlgoth","33270","0","107127","107127",,"criteria_creature_asset","include_legion"
"11261","Adventurer of Azsuna","20","53826","Ragemaw","33271","0","109504","109504",,"criteria_creature_asset","include_legion"
"11261","Adventurer of Azsuna","21","53827","Treacherous Stallions","33272","27","44081","112637",,"att_quest_npc_provider","include_legion"
"11261","Adventurer of Azsuna","22","53934","Arcanist Shal'iman","33372","27","42505","107657",,"att_quest_npc_provider","include_legion"
"11261","Adventurer of Azsuna","23","53935","Vorthax","33373","27","42280","107113",,"att_quest_npc_provider","include_legion"
"11261","Adventurer of Azsuna","24","53936","Inquisitor Tivos","33374","27","42376","107269",,"att_quest_npc_provider","include_legion"
"11261","Adventurer of Azsuna","25","53939","Ravyn-Drath","33377","27","37537","89016",,"att_quest_npc_provider","include_legion"
"11262","Adventurer of Val'sharah","0","53829","Gorebeak","33273","0","92117","92117",,"criteria_creature_asset","include_legion"
"11262","Adventurer of Val'sharah","1","53830","Seersei","33274","0","92180","92180",,"criteria_creature_asset","include_legion"
