"status","release_decision","unavailable","availability_note","current_exists","toy_id","item_id","name","item_expansion_id","source_type_enum","flags","source_text"
"legion_snapshot_candidate","include_legion","False",,"True","410","128536","Leylight Brazier","6","3","0","|cFFFFD200Profession: |rEnchanting"
"legion_snapshot_candidate","include_legion","False",,"True","434","129956","Leather Love Seat","6","3","0","|cFFFFD200Profession: |rLeatherworking"
"legion_snapshot_candidate","include_legion","False",,"True","435","129057","Dalaran Disc","6","2","0","|cFFFFD200Vendor: |rJepetto Joybuzz|n|cFFFFD200Zone: |rDalaran|n|cFFFFD200Cost: |r100|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t"
"tbc_acquisition_boundary","exclude_tbc","False",,"True","436","129929","Ever-Shifting Mirror","1","2","0","|cFFFFD200Vendor: |rCupri|n|cFFFFD200Zone: |rShattrath City|n|cFFFFD200Cost: |r500|TInterface\Icons\pvecurrency-justice.BLP:0|t"
"legion_snapshot_candidate","include_legion","False",,"True","437","130199","Legion Pocket Portal","6","2","4","|cFFFFD200Vendor: |rWarmage Kath'leen|n|cFFFFD200Zone: |rBroken Shore|n|cFFFFD200Faction: |rArmies of Legionfall - Revered|n|cFFFFD200Cost: |r1500|Hcurrency:1226|h|TInterface\Icons\inv_datacrystal01.BLP:0|t|h"
"unobtainable_or_internal","exclude_unobtainable_or_internal","False",,"True","438","130194",,,"-1","2","|cFFFFD200Treasure: |rTreasure Chest|n|cFFFFD200Zone: |rVal'sharah"
"legion_snapshot_candidate","include_legion","False",,"True","439","130147","Thistleleaf Branch","6","0","0","|cFFFFD200Treasure: |rUnguarded Thistleleaf Treasure|n|cFFFFD200Zone: |rVal'sharah"
"legion_snapshot_candidate","include_legion","False",,"True","440","129055","Shoe Shine Kit","6","0","0","|cFFFFD200Treasure: |rSheddle's Chest"
"legion_snapshot_candidate","include_legion","False",,"True","441","129093","Ravenbear Disguise","6","1","0","|cFFFFD200Quest: |rMasters of Disguise|n|cFFFFD200Zone: |rStormheim"
"mop_acquisition_boundary","exclude_mop","False",,"True","442","86565","Battle Horn","4","-1","0","|cFFFFD200Drop:|r Blackhoof|n|cFFFFD200Zone:|r Valley of the Four Winds|n|n|cFFFFD200Drop:|r Ordon Candlekeeper|n|cFFFFD200Zone:|r Timeless Isle"
"unobtainable_or_internal","exclude_unobtainable_or_internal","False",,"True","443","129111","Kvaldir Raiding Horn","6","-1","2",""
"cataclysm_acquisition_boundary","exclude_cataclysm","False",,"True","444","133511","Gurboggle's Gleaming Bauble","3","2","0","|cFFFFD200Vendor: |rKiatke|n|cFFFFD200Zone: |rOrgrimmar / Stormwind City"
"cataclysm_acquisition_boundary","exclude_cataclysm","False",,"True","445","133542","Tosselwrench's Mega-Accurate Simulation Viewfinder","3","-1","0","|cFFFFD200Vendor: |rKiatke|n|cFFFFD200Zone: |rOrgrimmar / Stormwind City"
"legion_snapshot_candidate","include_legion","False",,"True","446","131812","Darkshard Fragment","6","2","4","|cFFFFD200Vendor: |rRansa Greyfeather|n|cFFFFD200Zone: |rHighmountain|n|cFFFFD200Faction: |rHighmountain Tribe - Revered|n|cFFFFD200Cost: |r500|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t"
"legion_snapshot_candidate","include_legion","False",,"True","447","131811","Rocfeather Skyhorn Kite","6","-1","0","|cFFFFD200Zone: |rHighmountain"
"policy_external_candidate","exclude_policy_external","False",,"True","448","93672","Dark Portal","0","-1","2","|cFFFFD200Promotion|r"
"wod_acquisition_boundary","exclude_wod","False",,"True","449","119093","Aviana's Feather","5","0","0","|cFFFFD200Quest:|r Aviana's Request|n|cFFFFD200Zone:|r Garrison Inn|n"
"mop_acquisition_boundary","exclude_mop","False",,"True","451","86590","Essence of the Breeze","4","0","0","|cFFFFD200Drop: |rAi-Ran the Shifting Cloud|n|cFFFFD200Zone: |rVale of Eternal Blossoms"
"mop_acquisition_boundary","exclude_mop","False",,"True","452","86582","Aqua Jewel","4","0","0","|cFFFFD200Drop: |rSahn Tidehunter|n|cFFFFD200Zone: |rVale of Eternal Blossoms"
"mop_acquisition_boundary","exclude_mop","False",,"True","453","134024","Cursed Swabby Helmet","4","0","0","|cFFFFD200Treasure: |rSunken Treasure|n|cFFFFD200Zone: |rTimeless Isle"
"mop_acquisition_boundary","exclude_mop","False",,"True","454","86583","Salyin Battle Banner","4","0","0","|cFFFFD200Drop: |rSalyin Warscout|n|cFFFFD200Zone: |rValley of the Four Winds"
"cataclysm_acquisition_boundary","exclude_cataclysm","False",,"True","455","64488","The Innkeeper's Daughter","0","3","0","|cFFFFD200Profession: |rArchaeology"
"mop_acquisition_boundary","exclude_mop","False",,"True","456","134023","Bottled Tornado","4","0","0","|cFFFFD200Drop: |rKal'tik the Blight|n|cFFFFD200Zone: |rVale of Eternal Blossoms"
"mop_acquisition_boundary","exclude_mop","False",,"True","457","86578","Eternal Warrior's Sigil","4","0","0","|cFFFFD200Drop: |rGar'lok|n|cFFFFD200Zone: |rDread Wastes"
"wod_acquisition_boundary","exclude_wod","False",,"True","458","113540","Ba'ruun's Bountiful Bloom","5","0","0","|cFFFFD200Drop:|r Ba'ruun|n|cFFFFD200Zone:|r Shadowmoon Valley|n|n"
"wod_acquisition_boundary","exclude_wod","False",,"True","459","116120","Tasty Talador Lunch","5","0","0","|cFFFFD200Treasure: |rForeman's Lunchbox|n|cFFFFD200Zone: |rTalador"
"wod_acquisition_boundary","exclude_wod","False",,"True","460","118935","Ever-Blooming Frond","5","-1","0","|cFFFFD200Quest:|r Cenarion Concerns|n|cFFFFD200Zone:|r Garrison Inn"
"wod_acquisition_boundary","exclude_wod","False",,"True","461","128223","Bottomless Stygana Mushroom Brew","5","-1","0","|cFFFFD200Treasure: |rBleeding Hollow Mushroom Stash|n|cFFFFD200Zone: |rTanaan"
"mop_acquisition_boundary","exclude_mop","False",,"True","462","86594","Helpful Wikky's Whistle","4","0","0","|cFFFFD200Drop: |rMajor Nanners|n|cFFFFD200Zone: |rVale of Eternal Blossoms"
"mop_acquisition_boundary","exclude_mop","False",,"True","463","88375","Turnip Punching Bag","4","1","0","|cFFFFD200Quest: |rLeaders Among Breeders|n|cFFFFD200Zone: |rValley of the Four Winds"
"mop_acquisition_boundary","exclude_mop","False",,"True","464","89614","Anatomical Dummy","4","3","0","|cFFFFD200Profession: |rArchaeology"
"wrath_acquisition_boundary","exclude_wrath","False",,"True","465","43824","The Schools of Arcane Magic - Mastery","6","5","0","|cFFFFD200Achievement: |rHigher Learning|n|cFFFFD200Category: |rGeneral"
"wod_acquisition_boundary","exclude_wod","False",,"True","466","115506","Treessassin's Guise","5","0","0","|cFFFFD200Quest:|r Legacy of the Ancients|n|cFFFFD200Zone:|r Garrison Lumbermill "
"mop_acquisition_boundary","exclude_mop","False",,"True","467","102467","Censer of Eternal Agony","4","2","0","|cFFFFD200Vendor: |rSpeaker Gulan|n|cFFFFD200Zone: |rTimeless Isle"
"mop_acquisition_boundary","exclude_mop","False",,"True","468","86584","Hardened Shell","4","0","0","|cFFFFD200Drop:|r Nessos the Oracle|n|cFFFFD200Zone:|r Kun-Lai Summit|n|n|cFFFFD200Drop:|r Great Turtle Furyshell|n|cFFFFD200Drop:|r Chelon |n|cFFFFD200Zone:|r Timeless Isle |n"
"wod_acquisition_boundary","exclude_wod","False",,"True","469","113543","Spirit of Shinri","5","-1","0","|cFFFFD200Drop: |rShinri|n|cFFFFD200Zone: |rShadowmoon Valley"
"mop_acquisition_boundary","exclude_mop","False",,"True","470","104329","Ash-Covered Horn","4","0","0","|cFFFFD200Drop: |rHigh Priest of Ordos|n|cFFFFD200Zone: |rTimeless Isle"
"policy_external_candidate","exclude_policy_external","False",,"True","471","54452","Ethereal Portal","0","-1","2","|cFFFFD200Promotion|r"
"wrath_acquisition_boundary","exclude_wrath","False",,"True","472","134020","Chef's Hat","2","2","0","|cFFFFD200Vendor:|r Derek Odds|n|cFFFFD200Vendor:|r Misensi|n|cFFFFD200Zone:|r Dalaran|n|n|cFFFFD200Vendor:|r Mera Mistrunner|n|cFFFFD200Zone:|r Icecrown|n"
"cataclysm_acquisition_boundary","exclude_cataclysm","False",,"True","473","60854","Loot-A-Rang","3","3","2","|cFFFFD200Profession: |rEngineering(490)"
"legion_snapshot_candidate","include_legion","False",,"True","474","87214","Blingtron 4000","0","3","2","|cFFFFD200Profession: |rEngineering(600)"
