"achievement_id","achievement","order_path","tree_id","criterion","criteria_id","criteria_type","criteria_asset","npc_ids","object_ids","entity_mapping","selection_decision"
"11256","Treasures of Azsuna","0","53747","","33199","27","42958",,,,"include_legion"
"11256","Treasures of Azsuna","1","53748","","33200","27","37649",,,,"include_legion"
"11256","Treasures of Azsuna","2","53749","","33201","27","37596",,,,"include_legion"
"11256","Treasures of Azsuna","3","53750","","33202","27","37713",,,,"include_legion"
"11256","Treasures of Azsuna","4","53751","","33203","27","37826",,,,"include_legion"
"11256","Treasures of Azsuna","5","53752","","33204","27","37828",,,,"include_legion"
"11256","Treasures of Azsuna","6","53753","","33205","27","37827",,,,"include_legion"
"11256","Treasures of Azsuna","7","53754","","33206","27","37829",,,,"include_legion"
"11256","Treasures of Azsuna","8","53755","","33207","27","37830",,,,"include_legion"
"11256","Treasures of Azsuna","9","53756","","33208","27","37831",,,,"include_legion"
"11256","Treasures of Azsuna","10","53757","","33209","27","37832",,,,"include_legion"
"11256","Treasures of Azsuna","11","53758","","33210","27","37833",,,,"include_legion"
"11256","Treasures of Azsuna","12","53759","","33211","27","37958",,,,"include_legion"
"11256","Treasures of Azsuna","13","53760","","33212","27","37980",,,,"include_legion"
"11256","Treasures of Azsuna","14","53761","","33213","27","38251",,,,"include_legion"
"11256","Treasures of Azsuna","15","53762","","33214","27","38316",,,,"include_legion"
"11256","Treasures of Azsuna","16","53763","","33215","27","38365",,,,"include_legion"
"11256","Treasures of Azsuna","17","53764","","33216","27","38367",,,,"include_legion"
"11256","Treasures of Azsuna","18","53765","","33217","27","38370",,,,"include_legion"
"11256","Treasures of Azsuna","19","53766","","33218","27","38419",,,,"include_legion"
"11256","Treasures of Azsuna","20","53767","","33219","27","40711",,,,"include_legion"
"11256","Treasures of Azsuna","21","53768","","33220","27","42272",,,,"include_legion"
"11256","Treasures of Azsuna","22","53769","","33221","27","40751",,,,"include_legion"
"11256","Treasures of Azsuna","23","53770","","33222","27","40752",,,,"include_legion"
"11256","Treasures of Azsuna","24","53771","","33223","27","42273",,,,"include_legion"
"11256","Treasures of Azsuna","25","53772","","33224","27","42278",,,,"include_legion"
"11256","Treasures of Azsuna","26","53773","","33225","27","42281",,,,"include_legion"
"11256","Treasures of Azsuna","27","53774","","33226","27","42282",,,,"include_legion"
"11256","Treasures of Azsuna","28","53775","","33227","27","42283",,,,"include_legion"
"11256","Treasures of Azsuna","29","53776","","33228","27","42284",,,,"include_legion"
"11256","Treasures of Azsuna","30","53777","","33229","27","42285",,,,"include_legion"
"11256","Treasures of Azsuna","31","53778","","33230","27","42287",,,,"include_legion"
"11256","Treasures of Azsuna","32","53779","","33231","27","42288",,,,"include_legion"
"11256","Treasures of Azsuna","33","53780","","33232","27","42289",,,,"include_legion"
