"achievement_id","title","category_id","order_path","tree_id","description","criteria_id","criteria_type","asset_id","amount","operator"
"10059","Ain't No Mountain High Enough","15252","0","45355","The Rivermane Tribe","28963","27","39487","1","0"
"10059","Ain't No Mountain High Enough","15252","1","44073","Riverbend","28966","27","38909","1","0"
"10059","Ain't No Mountain High Enough","15252","2","44375","The Skyhorn Tribe","28405","27","39387","1","0"
"10059","Ain't No Mountain High Enough","15252","3","45356","The Bloodtotem Tribe","28964","27","39426","1","0"
"10059","Ain't No Mountain High Enough","15252","4","46047","Huln's War","29135","27","39992","1","0"
"10059","Ain't No Mountain High Enough","15252","5","45357","Secrets of Highmountain","28965","27","39579","1","0"
"10059","Ain't No Mountain High Enough","15252","6","44075","Battle of Snowblind Mesa","28212","27","39780","1","0"
"10398","Drum Circle","15252","0","46078","Drum Circle","29152","0","99699","1","0"
"10411","Helheim Hath No Fury","15254","0","47174","Rescue the Captured Val'kyr","29683","165","1823","0","0"
"10412","Poor Unfortunate Souls","15254","0","48381","Defeat Helya while all group members are Poor Unfortunate Souls.","30378","28","213415","1","0"
"10413","Instant Karma","15254","0","47166","Defeat Ymiron after defiantly striking down 6 Risen Warriors","29680","165","1822","0","0"
"10456","But You Say He's Just a Friend","15254","0","46584","","29398","0","91784","1","0"
"10457","Stay Salty","15254","0","46592","","29404","0","91789","1","0"
"10458","Ready for Raiding V","15254","0","46594","","29405","0","96028","1","0"
"10459","Improving on History","15256","0","51774","","31991","28","223561","1","0"
"10460","Hidden Potential","15256","0","51776","","31992","28","220737","1","0"
"10460","Hidden Potential","15256","1","51777","","31993","28","220740","1","0"
"10460","Hidden Potential","15256","2","51778","","31994","28","220742","1","0"
"10460","Hidden Potential","15256","3","51779","","31995","28","220744","1","0"
"10460","Hidden Potential","15256","4","51780","","31996","28","220745","1","0"
"10460","Hidden Potential","15256","5","51781","","31997","28","220747","1","0"
"10460","Hidden Potential","15256","6","51782","","31998","28","220748","1","0"
"10460","Hidden Potential","15256","7","51783","","31999","28","220749","1","0"
"10460","Hidden Potential","15256","8","51784","","32000","28","220750","1","0"
"10460","Hidden Potential","15256","9","51785","","32001","28","220751","1","0"
"10460","Hidden Potential","15256","10","51786","","32002","28","220752","1","0"
"10460","Hidden Potential","15256","11","51787","","32003","28","220753","1","0"
"10460","Hidden Potential","15256","12","51788","","32004","28","220754","1","0"
"10460","Hidden Potential","15256","13","51789","","32005","28","220755","1","0"
"10460","Hidden Potential","15256","14","51790","","32006","28","220756","1","0"
"10460","Hidden Potential","15256","15","51791","","32007","28","220757","1","0"
"10460","Hidden Potential","15256","16","51792","","32008","28","220758","1","0"
"10460","Hidden Potential","15256","17","51793","","32009","28","220759","1","0"
"10460","Hidden Potential","15256","18","51794","","32010","28","220760","1","0"
"10460","Hidden Potential","15256","19","51795","","32011","28","220761","1","0"
"10460","Hidden Potential","15256","20","51796","","32012","28","220762","1","0"
"10460","Hidden Potential","15256","21","51797","","32013","28","220766","1","0"
"10460","Hidden Potential","15256","22","51798","","32014","28","220768","1","0"
"10460","Hidden Potential","15256","23","51799","","32015","28","220770","1","0"
"10460","Hidden Potential","15256","24","51800","","32016","28","220771","1","0"
"10460","Hidden Potential","15256","25","51801","","32017","28","220593","1","0"
"10460","Hidden Potential","15256","26","51802","","32018","28","220773","1","0"
"10460","Hidden Potential","15256","27","51803","","32019","28","220774","1","0"
"10460","Hidden Potential","15256","28","51804","","32020","28","220776","1","0"
"10460","Hidden Potential","15256","29","51805","","32021","28","220777","1","0"
"10460","Hidden Potential","15256","30","51806","","32022","28","220778","1","0"
"10460","Hidden Potential","15256","31","51807","","32023","28","220779","1","0"
"10460","Hidden Potential","15256","32","51808","","32024","28","220780","1","0"
"10460","Hidden Potential","15256","33","51809","","32025","28","220781","1","0"
"10460","Hidden Potential","15256","34","51810","","32026","28","220782","1","0"
"10460","Hidden Potential","15256","35","51811","","32027","28","220783","1","0"
"10461","Fighting with Style: Classic","15256","0/0","51989","Recover one of the Pillars of Creation.","31588","27","43349","1","0"
"10461","Fighting with Style: Classic","15256","0/1","53688","Recover one of the Pillars of Creation.","31589","27","42213","1","0"
"10461","Fighting with Style: Classic","15256","0/2","53689","Recover one of the Pillars of Creation.","31591","27","40890","1","0"
"10461","Fighting with Style: Classic","15256","0/3","53690","Recover one of the Pillars of Creation.","31590","27","42454","1","0"
"10461","Fighting with Style: Classic","15256","1","51990","Complete the quest, ""Light's Charge.""","33167","27","44153","1","0"
"10461","Fighting with Style: Classic","15256","2","51991","Complete the first order campaign effort.","33168","27","42116","1","0"
"10542","I Got What You Mead","15254","0","47160","","29676","28","207733","1","0"
"10543","Surge Protector","15254","0","47164","","29679","28","208534","1","0"
"10544","Stag Party","15254","0","47170","","29681","28","207766","1","0"
"10553","You're Just Making It WORSE!","15254","0","47208","","29700","28","208122","1","0"
"10554","I Made a Food!","15254","0","47206","","29699","0","101995","1","0"
"10555","Buggy Fight","15255","0","47210","","29705","28","208120","1","0"
"10575","Burning Bridges","15255","0","47357","","29785","165","1842","1","0"
"10610","Waiting for Gerdo","15254","0","48197","","30212","0","104215","1","0"
"10611","Dropping Some Eaves","15254","0","49605","","31017","28","219722","1","0"
"10617","Nightfallen But Not Forgotten","15252","0","48109","Nightfall","30134","27","40009","1","0"
"10617","Nightfallen But Not Forgotten","15252","1","48104","Arcanist Kel'danath","30135","27","41760","1","0"
"10617","Nightfallen But Not Forgotten","15252","2","48105","Chief Telemancer Oculeth","30136","27","40956","1","0"
"10617","Nightfallen But Not Forgotten","15252","3","48108","Feeding Shal'Aran","30137","27","41138","1","0"
"10617","Nightfallen But Not Forgotten","15252","4","48107","Masquerade","30138","27","42147","1","0"
"10617","Nightfallen But Not Forgotten","15252","5","48106","The Light Below","30139","27","42230","1","0"
"10626","Zoom!","15252","0","48217","Zoom Wins!","30231","0","107125","1","0"
"10627","Going Up","15257","0","48279","","30275","27","43713","0","0"
"10663","Imagined Dragons World Tour","15255","0","48567","","30464","28","214623","1","0"
"10665","Explore Azsuna","15257","0","48643","Faronaar","32710","43","3775","1","0"
"10665","Explore Azsuna","15257","1","48632","Felblaze Ingress","32711","43","3776","1","0"
"10665","Explore Azsuna","15257","2","48636","The Greenway","32712","43","3777","1","0"
"10665","Explore Azsuna","15257","3","48639","Isle of the Watchers","32713","43","3778","1","0"
"10665","Explore Azsuna","15257","4","48635","Llothien Highlands","32714","43","3779","1","0"
"10665","Explore Azsuna","15257","5","48644","Lost Orchard","32715","43","3780","1","0"
"10665","Explore Azsuna","15257","6","48634","Nar'thalas","32716","43","3781","1","0"
"10665","Explore Azsuna","15257","7","48645","Oceanus Cove","32717","43","3782","1","0"
"10665","Explore Azsuna","15257","8","48640","Ruined Sanctum","32718","43","3783","1","0"
"10665","Explore Azsuna","15257","9","48633","Temple of Lights","32719","43","3784","1","0"
"10665","Explore Azsuna","15257","10","48642","Ley-Ruins of Zarkhenar","32720","43","3785","1","0"
"10666","Explore Val'sharah","15257","0","48647","Andutalah","32683","43","3835","1","0"
"10666","Explore Val'sharah","15257","1","48659","Black Rook Hold","32684","43","3836","1","0"
"10666","Explore Val'sharah","15257","2","48653","Bradensbrook","32685","43","3837","1","0"
"10666","Explore Val'sharah","15257","3","48660","The Dreamgrove","32686","43","3838","1","0"
"10666","Explore Val'sharah","15257","4","48648","Gloaming Reef","32687","43","3839","1","0"
"10666","Explore Val'sharah","15257","5","48655","Grove of Cenarius","32688","43","3840","1","0"
"10666","Explore Val'sharah","15257","6","48654","Lorlathil","32689","43","3841","1","0"
"10666","Explore Val'sharah","15257","7","48651","Mistvale","32690","43","3842","1","0"
"10666","Explore Val'sharah","15257","8","48652","Moonclaw Vale","32691","43","3843","1","0"
"10666","Explore Val'sharah","15257","9","48656","Shala'nir","32692","43","3844","1","0"
"10666","Explore Val'sharah","15257","10","48657","Smolderhide Thicket","32693","43","3845","1","0"
"10666","Explore Val'sharah","15257","11","48661","Temple of Elune","32694","43","3846","1","0"
"10666","Explore Val'sharah","15257","12","48650","Thas'talah","32695","43","3847","1","0"
"10667","Explore Highmountain","15257","0","48673","Bloodhunt Highlands","32696","43","3790","1","0"
"10667","Explore Highmountain","15257","1","48674","Blind Marshlands","32697","43","3791","1","0"
"10667","Explore Highmountain","15257","2","48664","Frosthoof Watch","32698","43","3792","1","0"
"10667","Explore Highmountain","15257","3","48669","Ironhorn Enclave","32699","43","3793","1","0"
"10667","Explore Highmountain","15257","4","48675","Nightwatcher's Perch","32700","43","3794","1","0"
"10667","Explore Highmountain","15257","5","48677","Pinerock Basin","32701","43","3795","1","0"
"10667","Explore Highmountain","15257","6","48672","Riverbend","32702","43","3796","1","0"
"10667","Explore Highmountain","15257","7","48670","Rockaway Shallows","32703","43","3797","1","0"
"10667","Explore Highmountain","15257","8","48663","Shipwreck Cove","32704","43","3798","1","0"
"10667","Explore Highmountain","15257","9","48666","Skyhorn","32705","43","3799","1","0"
"10667","Explore Highmountain","15257","10","48668","Stonehoof Watch","32706","43","3800","1","0"
"10667","Explore Highmountain","15257","11","48665","Sylvan Falls","32707","43","3801","1","0"
"10667","Explore Highmountain","15257","12","48671","Thunder Totem","32708","43","3802","1","0"
"10667","Explore Highmountain","15257","13","48676","Trueshot Lodge","32709","43","3803","1","0"
"10668","Explore Stormheim","15257","0","48687","Aggrammar's Vault","32721","43","3804","1","0"
"10668","Explore Stormheim","15257","1","48684","Blackbeak Overlook","32722","43","3805","1","0"
"10668","Explore Stormheim","15257","2","48680","Dreadwake's Landing","32723","43","3806","1","0"
"10668","Explore Stormheim","15257","3","48681","Dreyrgrot","32724","43","3807","1","0"
"10668","Explore Stormheim","15257","4","48679","Greywatch","32725","43","3808","1","0"
"10668","Explore Stormheim","15257","5","48685","Gates of Valor","32726","43","3809","1","0"
"10668","Explore Stormheim","15257","6","48682","Haustvald","32727","43","3810","1","0"
"10668","Explore Stormheim","15257","7","48686","Hrydshal","32728","43","3811","1","0"
"10668","Explore Stormheim","15257","8","48693","Maw of Nashal","32729","43","3812","1","0"
"10668","Explore Stormheim","15257","9","48688","Morheim","32730","43","3813","1","0"
"10668","Explore Stormheim","15257","10","48692","Nastrondir","32731","43","3814","1","0"
"10668","Explore Stormheim","15257","11","48689","Watchman's Rock","32732","43","3815","1","0"
"10668","Explore Stormheim","15257","12","48691","The Runewood","32733","43","3816","1","0"
"10668","Explore Stormheim","15257","13","48690","Shield's Rest","32734","43","3817","1","0"
"10668","Explore Stormheim","15257","14","48683","Skold-Ashil","32735","43","3818","1","0"
"10668","Explore Stormheim","15257","15","52838","Storm's Reach","32736","43","3819","1","0"
"10668","Explore Stormheim","15257","16","52839","Talonrest","32738","43","3820","1","0"
"10668","Explore Stormheim","15257","17","52840","Tideskorn Harbor","32739","43","3821","1","0"
"10668","Explore Stormheim","15257","18","52841","Valdisdall","32740","43","3822","1","0"
"10668","Explore Stormheim","15257","19","52842","Weeping Bluffs","32741","43","3823","1","0"
"10669","Explore Suramar","15257","0","48709","Ambervale","32780","43","3824","1","0"
"10669","Explore Suramar","15257","1","48706","Crimson Thicket","32781","43","3825","1","0"
"10669","Explore Suramar","15257","2","48699","Falanaar","32782","43","3826","1","0"
"10669","Explore Suramar","15257","3","48707","Felsoul Hold","32783","43","3827","1","0"
"10669","Explore Suramar","15257","4","48700","The Grand Pomenade","32784","43","3828","1","0"
"10669","Explore Suramar","15257","5","48708","Jandvik","32785","43","3829","1","0"
"10669","Explore Suramar","15257","6","48695","Moon Guard Stronghold","32786","43","3830","1","0"
"10669","Explore Suramar","15257","7","48701","Moonwhisper Gulch","32787","43","3831","1","0"
