"status","current_exists","achievement_id","title","description","category_id","category_name","criteria_tree_id","reward_item_id","flags","points"
"legion_category_confirmed","True","10059","Ain't No Mountain High Enough","Complete the Highmountain storylines listed below.","15252","Legion","44072",,"0","10"
"legion_category_confirmed","True","10398","Drum Circle","Participate in a drum circle at the Thunder Drum in Highmountain.","15252","Legion","46077",,"2048","5"
"legion_category_confirmed","True","10411","Helheim Hath No Fury","Rescue the Captured Val'kyr in Maw of Souls on Mythic difficulty.","15254","Legion Dungeon","47173",,"0","10"
"legion_category_confirmed","True","10412","Poor Unfortunate Souls","Defeat Helya in Maw of Souls while all group members are Poor Unfortunate Souls on Mythic difficulty.","15254","Legion Dungeon","48380",,"0","10"
"legion_category_confirmed","True","10413","Instant Karma","Defeat Ymiron after defiantly striking down 6 Risen Warriors in Maw of Souls on Mythic difficulty.","15254","Legion Dungeon","47165",,"0","10"
"legion_category_confirmed","True","10456","But You Say He's Just a Friend","Defeat Warlord Parjesh without allowing any Hatecoil Shellbreakers to die in Eye of Azshara on Mythic difficulty.","15254","Legion Dungeon","46583",,"0","10"
"legion_category_confirmed","True","10457","Stay Salty","Defeat Lady Hatecoil after destroying 11 or more Saltsea Globules with a single Curse of the Witch in Eye of Azshara on Mythic difficulty.","15254","Legion Dungeon","46591",,"0","10"
"legion_category_confirmed","True","10458","Ready for Raiding V","Defeat the Wrath of Azshara without being struck by Magic or Frost Resonance in Eye of Azshara on Mythic difficulty.","15254","Legion Dungeon","46593",,"0","10"
"legion_category_confirmed","True","10459","Improving on History","Complete the quest line ""Balance of Power,"" unlocking a new appearance for your artifact weapon.","15256","Artifacts","51773",,"0","10"
"legion_category_confirmed","True","10460","Hidden Potential","Locate and unlock a hidden appearance for your artifact.","15256","Artifacts","51775",,"0","10"
"legion_category_confirmed","True","10461","Fighting with Style: Classic","Unlock all 4 color variations for your original artifact appearance.","15256","Artifacts","51987",,"0","10"
"legion_category_confirmed","True","10542","I Got What You Mead","Splash all four vrykul kings with a Mug of Mead in Halls of Valor on Mythic difficulty.","15254","Legion Dungeon","47159",,"0","10"
"legion_category_confirmed","True","10543","Surge Protector","Defeat Odyn without any Stormforged Obliterators successfully casting Surge in Halls of Valor on Mythic difficulty.","15254","Legion Dungeon","47163",,"0","10"
"legion_category_confirmed","True","10544","Stag Party","Defeat a Storm Drake after allowing it to gain 10 stacks of Killing Blow in Halls of Valor on Mythic difficulty.","15254","Legion Dungeon","47169",,"0","10"
"legion_category_confirmed","True","10553","You're Just Making It WORSE!","Defeat Millificent Manastorm after she becomes very cross with you in Assault on Violet Hold on Mythic difficulty.","15254","Legion Dungeon","47207",,"0","10"
"legion_category_confirmed","True","10554","I Made a Food!","Defeat Festerface after slaying a Black Bile in Assault on Violet Hold on Mythic difficulty.","15254","Legion Dungeon","47205",,"0","10"
"legion_category_confirmed","True","10555","Buggy Fight","Defeat Nythendra in The Emerald Nightmare after squishing 15 Glow Bugs on Normal difficulty or higher.","15255","Legion Raid","47209",,"0","10"
"legion_category_confirmed","True","10575","Burning Bridges","Defeat Krosus in The Nighthold after quenching 15 Burning Embers on Normal difficulty or higher.","15255","Legion Raid","47356",,"0","10"
"legion_category_confirmed","True","10610","Waiting for Gerdo","Disable each of the watchposts after Patrol Captain Gerdo signals them and then defeat him in Court of Stars on Mythic difficulty.","15254","Legion Dungeon","48196",,"0","10"
"legion_category_confirmed","True","10611","Dropping Some Eaves","Witness the conversation between Advisor Melandrus and Grand Magistrix Elisande in Court of Stars on Mythic difficulty.","15254","Legion Dungeon","49604",,"0","10"
"legion_category_confirmed","True","10617","Nightfallen But Not Forgotten","Establish relations with the Nightfallen by completing the storylines below.","15252","Legion","48103",,"0","10"
"legion_category_confirmed","True","10626","Zoom!","Help Zoom win the snail race in Stonedark Grotto.","15252","Legion","48216",,"133120","5"
"legion_category_confirmed","True","10627","Going Up","Ascend to the top of Nashal's Watch in Stormheim.","15257","Legion","48278",,"0","5"
"legion_category_confirmed","True","10663","Imagined Dragons World Tour","Defeat Ysondre in The Emerald Nightmare while all members of the raid have Dream Essences from all four gateway locations on Normal difficulty or higher.","15255","Legion Raid","48566",,"0","10"
"legion_category_confirmed","True","10665","Explore Azsuna","Explore Azsuna, revealing the covered areas of the world map.","15257","Legion","48630",,"0","10"
"legion_category_confirmed","True","10666","Explore Val'sharah","Explore Val'sharah, revealing the covered areas of the world map.","15257","Legion","48646",,"0","10"
"legion_category_confirmed","True","10667","Explore Highmountain","Explore Highmountain, revealing the covered areas of the world map.","15257","Legion","48662",,"0","10"
"legion_category_confirmed","True","10668","Explore Stormheim","Explore Stormheim, revealing the covered areas of the world map.","15257","Legion","48678",,"0","10"
"legion_category_confirmed","True","10669","Explore Suramar","Explore Suramar, revealing the covered areas of the world map.","15257","Legion","48694",,"0","10"
"legion_category_confirmed","True","10672","Broken Isles Diplomat","Earn Revered with all of the Broken Isles reputations listed below.","15258","Legion","48715",,"131072","10"
"legion_category_confirmed","True","10678","Cage Rematch","Defeat Skorpyron in The Nighthold on Normal difficulty or higher without any player leaving the center rings.","15255","Legion Raid","48806",,"0","10"
"legion_category_confirmed","True","10679","I Ain't Even Cold","Defeat Ash'Golm while all party members are Fired Up in the Vault of the Wardens on Mythic difficulty.","15254","Legion Dungeon","48847",,"0","10"
"legion_category_confirmed","True","10680","Who's Afraid of the Dark?","Defeat Cordana after successfully navigating Creeping Doom without holding Elune's Light while she is in the air, in Vault of the Wardens on Mythic difficulty.","15254","Legion Dungeon","48849",,"0","10"
"legion_category_confirmed","True","10696","I've Got My Eyes On You","Defeat Gul'dan in The Nighthold on Normal difficulty or higher, after defeating 16 Eyes of Gul'dan within 3 seconds.","15255","Legion Raid","48931",,"0","10"
"legion_category_confirmed","True","10697","Grand Opening","Activate all the spotlights around the Nightwell and then defeat the Chronomatic Anomaly in The Nighthold, on Normal difficulty or higher.","15255","Legion Raid","48964",,"0","10"
"legion_category_confirmed","True","10698","That's Val'sharah Folks!","Complete the Val'sharah storylines listed below.","15252","Legion","48968",,"0","10"
"legion_category_confirmed","True","10699","Infinitesimal","Get betrayed by and then defeat an Infinite Whelpling during the Grand Magistrix Elisande encounter, then defeat Grand Magistrix Elisande in The Nighthold, on Normal difficulty or higher.","15255","Legion Raid","48989",,"0","10"
"legion_category_confirmed","True","10704","Not For You","Defeat Tichondrius in The Nighthold without taking any damage from Echoes of the Void on Normal difficulty or higher.","15255","Legion Raid","49029",,"0","10"
"legion_category_confirmed","True","10706","Training the Troops","Recruit 5 troops.","15276","Missions","49035",,"0","5"
"legion_category_confirmed","True","10707","A Specter, Illuminated","Illuminate and free the Specter of Vengeance in Vault of the Wardens on Mythic difficulty.","15254","Legion Dungeon","49067",,"0","10"
"legion_category_confirmed","True","10709","You Used to Scrawl Me In Your Fel Tome","Find all entries of Illysanna Ravencrest's diary in Black Rook Hold.","15254","Legion Dungeon","50230",,"0","10"
"legion_category_confirmed","True","10710","Black Rook Moan","Defeat Amalgam of Souls after killing a Frustrated Soul in Black Rook Hold on Mythic difficulty.","15254","Legion Dungeon","52306",,"0","10"
"legion_category_confirmed","True","10711","Adds? More Like Bads","Defeat Illysanna Ravencrest without killing any of her allies in Black Rook Hold on Mythic difficulty.","15254","Legion Dungeon","52304",,"0","10"
"legion_category_confirmed","True","10742","Gluten Free","Defeat Trilliax in The Nighthold while eating no more than 20 Toxic Slices on Normal Difficulty or higher.","15255","Legion Raid","49502",,"0","10"
"legion_category_confirmed","True","10743","The Prestige","Successfully reach Prestige level 1, rank 50 and be recognized for your valor by the leaders of the Alliance.","15256","Artifacts","49504",,"4096","10"
"legion_category_confirmed","True","10745","The Prestige","Successfully reach Prestige level 1, rank 50 and be recognized for your valor by the leaders of the Horde.","15256","Artifacts","49506",,"4096","10"
"legion_category_confirmed","True","10746","Forged for Battle","Complete your Order Campaign and unlock a new appearance for your artifact weapon.","15256","Artifacts","49542",,"4096","10"
"legion_category_confirmed","True","10747","Fighting with Style: Upgraded","Unlock all 4 color variations for your upgraded artifact appearance.","15256","Artifacts","51992",,"0","10"
"legion_category_confirmed","True","10748","Fighting with Style: Valorous","Unlock all 4 color variations for your valorous artifact appearance.","15256","Artifacts","51997",,"0","10"
"legion_category_confirmed","True","10749","Fighting with Style: War-torn","Unlock all 4 color variations for your war-torn artifact appearance.","15256","Artifacts","51922",,"0","10"
"legion_category_confirmed","True","10750","Fighting with Style: Hidden","Unlock all 4 color variations for your hidden artifact appearance.","15256","Artifacts","55245",,"0","10"
"legion_category_confirmed","True","10753","Scare Bear","Defeat Ursoc in The Emerald Nightmare while keeping Tur Ragepaw alive on Normal difficulty or higher.","15255","Legion Raid","51067",,"0","10"
"legion_category_confirmed","True","10754","Fruit of All Evil","Defeat High Botanist Tel'arn in The Nighthold while all members of the raid are afflicted with Arcane Exposure on Normal Difficulty or higher.","15255","Legion Raid","49725",,"0","10"
