"current_exists","map_id","name","parent_map_id","system","type","flags","source"
"True","627","Dalaran","619","0","4","32768","selected_primary_zone"
"True","630","Azsuna","619","0","3","6","selected_primary_zone"
"True","634","Stormheim","619","0","3","6","selected_primary_zone"
"True","641","Val'sharah","619","0","3","6","selected_primary_zone"
"True","646","Broken Shore","619","0","3","6","selected_primary_zone"
"True","650","Highmountain","619","0","3","6","selected_primary_zone"
"True","680","Suramar","619","0","3","6","selected_primary_zone"
"True","830","Krokuun","905","0","3","6","selected_primary_zone"
"True","882","Eredath","905","0","3","6","selected_primary_zone"
"True","885","Antoran Wastes","905","0","3","6","selected_primary_zone"
"True","905","Argus","619","0","2","1024","selected_primary_zone"
