status,release_decision,unavailable,availability_note,current_exists,mount_id,name,source_spell_id,item_ids,item_expansion_ids,source_type_enum,flags,source_text
present,,,,1,6,Brown Horse,458,,,2,0,|cFFFFD200Vendor: |rUnger Statforth|n|cFFFFD200Zone: |rWetlands|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t
present,,,,1,7,Gray Wolf,459,,,2,64,|cFFFFD200Vendor: |rOgunaro Wolfrunner|n|cFFFFD200Zone: |rOrgrimmar|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t
present,,,,1,8,White Stallion,468,,,2,64,|cFFFFD200Legacy|r
present,,,,1,9,Black Stallion,470,,,2,0,|cFFFFD200Vendor: |rKatie Stokx|n|cFFFFD200Zone: |rStormwind City|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t
present,,,,1,11,Pinto,472,,,2,0,|cFFFFD200Vendor: |rKatie Stokx|n|cFFFFD200Zone: |rStormwind City|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t
present,,,,1,12,Black Wolf,578,,,2,64,|cFFFFD200Vendor: |rOgunaro Wolfrunner|n|cFFFFD200Zone: |rOrgrimmar|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t
present,,,,1,13,Red Wolf,579,,,2,64,|cFFFFD200Legacy|r
present,,,,1,14,Timber Wolf,580,,,2,0,|cFFFFD200Vendor: |rOgunaro Wolfrunner|n|cFFFFD200Zone: |rOrgrimmar|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t
present,,,,1,15,Winter Wolf,581,,,2,64,|cFFFFD200Legacy|r
present,,,,1,16,Nether-Swept Drake,3363,,,3,0,|cFFFFD200Profession:|r Voidstorm Fishing|n
present,,,,1,17,Felsteed,5784,,,1,0,|cFFFFD200Class: |rWarlock
present,,,,1,18,Chestnut Mare,6648,,,2,0,|cFFFFD200Vendor: |rKatie Stokx|n|cFFFFD200Zone: |rStormwind City|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t
present,,,,1,19,Dire Wolf,6653,,,2,0,|cFFFFD200Vendor:|r Ogunaro Wolfrunner|n|cFFFFD200Location:|r Orgrimmar|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t
present,,,,1,20,Brown Wolf,6654,,,2,0,|cFFFFD200Vendor: |rOgunaro Wolfrunner|n|cFFFFD200Zone: |rOrgrimmar|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t
present,,,,1,21,Gray Ram,6777,,,2,0,|cFFFFD200Vendor: |rVeron Amberstill|n|cFFFFD200Zone: |rDun Morogh|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t
present,,,,1,22,Black Ram,6896,,,2,64,|cFFFFD200Legacy|r
present,,,,1,24,White Ram,6898,,,2,0,|cFFFFD200Vendor: |rVeron Amberstill|n|cFFFFD200Zone: |rDun Morogh|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t
