status,release_decision,unavailable,availability_note,current_exists,species_id,name,creature_id,summon_spell_id,item_ids,item_expansion_ids,pet_type_enum,flags,source_type_enum,source_text
present,,,,1,4961,,256269,1268690,,,7,210,0,|cFFFFD200Drop:|r Delve's End of Run Rewards|n
present,,,,1,4963,,256559,1269346,,,6,16466,11,|cFFFFD200Trading Post|r
present,,,,1,4964,,256560,1269350,,,6,16466,11,|cFFFFD200Trading Post|r
present,,,,1,4912,,254885,1263739,,,5,154,10,|cFFFFD200Zone: |rSilvermoon City
present,,,,1,4913,,254979,1263911,,,1,210,5,|cFFFFD200Achievement: |rFamily Battler of Kalimdor|n|cFFFFD200Category: |rBattle
present,,,,1,4914,,254986,1263916,,,6,242,-1,
present,,,,1,4927,,255119,1264236,,,8,210,0,|cFFFFD200Treasure: |rKemet's Simmering Cauldron|n|cFFFFD200Zone: |rHarandar
present,,,,1,4928,,255257,1264611,,,1,2,2,|cFFFFD200Vendor: |rCaeris Fairdawn|n|cFFFFD200Zone: |rEversong Woods|n|cFFFFD200Cost: |r2500|Hcurrency:3316|h|TInterface\ICONS\INV_112_RaidTrinkets_VoidPrism.BLP:0|t|h
present,,,,1,4929,,255295,1264733,,,7,18,2,|cFFFFD200Vendor: |rNaynar|n|cFFFFD200Zone: |rHarandar|n|cFFFFD200Cost: |r2500|Hcurrency:3316|h|TInterface\ICONS\INV_112_RaidTrinkets_VoidPrism.BLP:0|t|h
present,,,,1,4930,,255522,1265397,,,5,18,2,|cFFFFD200Vendor: |rConstruct E'nui|n|cFFFFD200Zone: |rSilvermoon City|n|cFFFFD200Cost: |r1200|Hcurrency:3392|h|TInterface\ICONS\INV_10_ElementalCombinedFoozles_Blood.BLP:0|t|h
present,,,,1,4942,,255689,1265969,,,6,210,1,|cFFFFD200Quest:|r The Empty Cradle
present,,,,1,4943,,255736,1266115,,,1,16466,9,|cFFFFD200In-Game Shop|r|n
present,,,,1,4944,,255750,1266148,,,5,16450,7,|cFFFFD200Promotion|r |n
present,,,,1,4945,,255832,1266364,,,6,242,1,|cFFFFD200Quest:|r Re-Hydra-ted|n
present,,,,1,4946,,255921,1266590,,,8,210,1,|cFFFFD200Quest:|r OK Bloomer|n
present,,,,1,4947,,256014,1266770,,,6,210,1,|cFFFFD200Quest:|r Re-Hydra-ted|n
present,,,,1,4948,,256059,1266834,,,2,210,0,|cFFFFD200Treasure: |rImpenatrably Sealed Gourd|n|cFFFFD200Zone: |rHarandar
present,,,,1,4949,,256080,1266976,,,6,18,2,|cFFFFD200Vendor: |rXydan|n|cFFFFD200Zone: |rValdrakken|n|cFFFFD200Cost: |r2200|Hcurrency:1166|h|TInterface\ICONS\PVECurrency-Justice.blp:0|t|h
present,,,,1,4950,,256107,1267050,,,7,210,1,|cFFFFD200Quest:|r Mighty and Superior|n
present,,,,1,4951,,256201,1267090,,,7,154,3,|cFFFFD200Profession:|r Fishing|n
