"achievement_id","title","category_id","order_path","tree_id","description","criteria_id","criteria_type","asset_id","amount","operator"
"6089","Keep Rollin' Rollin' Rollin'","15106","1","19824","Ook-Ook","18407","0","56637","1","0"
"6300","Upjade Complete","15110","0","21357","Paw'don Village","19352","27","31745","1","0"
"6300","Upjade Complete","15110","1","21350","The Waterspeaking Ceremony","19353","27","29894","1","0"
"6300","Upjade Complete","15110","2","21364","The White Pawn","19354","27","29901","1","0"
"6300","Upjade Complete","15110","3/0","21360","Pearlfin Village","19356","27","29906","1","0"
"6300","Upjade Complete","15110","3/1","21356","Pearlfin Village","19355","27","29905","1","0"
"6300","Upjade Complete","15110","4/0","21358","Dawn's Blossom","19347","27","29882","1","0"
"6300","Upjade Complete","15110","4/1","21362","Dawn's Blossom","19344","27","29920","1","0"
"6300","Upjade Complete","15110","4/2","21361","Dawn's Blossom","19346","27","29881","1","0"
"6300","Upjade Complete","15110","4/3","21354","Dawn's Blossom","19345","27","29865","1","0"
"6300","Upjade Complete","15110","4/4","21346","Dawn's Blossom","19343","27","29723","1","0"
"6300","Upjade Complete","15110","5","21363","Greenstone Quarry","19348","27","29930","1","0"
"6300","Upjade Complete","15110","6/0","21348","Tian Monastery","18819","27","29646","1","0"
"6300","Upjade Complete","15110","6/1","32616","Tian Monastery","23248","27","29647","1","0"
"6300","Upjade Complete","15110","6/2","65103","Tian Monastery","39665","27","29639","1","0"
"6300","Upjade Complete","15110","7","21347","Terrace of Ten Thunders","19206","27","29755","1","0"
"6300","Upjade Complete","15110","8","21359","The Temple of the Jade Serpent","19349","27","30000","1","0"
"6300","Upjade Complete","15110","9","21353","Nectarbreeze Orchard","19331","27","29670","1","0"
"6300","Upjade Complete","15110","10","21355","The Battle for the Forest","22195","27","31362","1","0"
"6300","Upjade Complete","15110","11","21352","Overcoming Doubt","22194","27","31319","1","0"
"6301","Rally the Valley","15110","0","10759","Thunderfoot Fields","18820","27","29918","1","0"
"6301","Rally the Valley","15110","1","10760","Mudmug's Place","18821","27","29952","1","0"
"6301","Rally the Valley","15110","2","10764","Chen's Masterpiece","18822","27","30073","1","0"
"6301","Rally the Valley","15110","3","10765","The Stormstout Brewery","18823","27","30078","1","0"
"6301","Rally the Valley","15110","4","10763","The Hidden Master","18827","27","29990","1","0"
"6301","Rally the Valley","15110","5","10766","Nesingwary's Safari","18826","27","30186","1","0"
"6351","Explore Jade Forest","15113","0","23134","Tian Monastery","20088","43","3295","1","0"
"6351","Explore Jade Forest","15113","1","23133","Dawn's Blossom","20087","43","3296","1","0"
"6351","Explore Jade Forest","15113","2","23135","Dreamer's Pavillion","20089","43","3297","1","0"
"6351","Explore Jade Forest","15113","3","23136","Emperor's Omen","20090","43","3298","1","0"
"6351","Explore Jade Forest","15113","4","23137","Pearl Lake","20091","43","3299","1","0"
"6351","Explore Jade Forest","15113","5","23138","Grookin Hill","20092","43","3300","1","0"
"6351","Explore Jade Forest","15113","6","23140","Greenstone Quarry","20094","43","3302","1","0"
"6351","Explore Jade Forest","15113","7","23141","Nectarbreeze Orchard","20095","43","3303","1","0"
"6351","Explore Jade Forest","15113","8","23142","Camp Nooka Nooka","20096","43","3304","1","0"
"6351","Explore Jade Forest","15113","9","23143","Terrace of Ten Thunders","20097","43","3305","1","0"
"6351","Explore Jade Forest","15113","10","23144","Serpent's Heart","20098","43","3306","1","0"
"6351","Explore Jade Forest","15113","11","23145","Slingtail Pits","20099","43","3307","1","0"
"6351","Explore Jade Forest","15113","12","23146","Temple of the Jade Serpent","20100","43","3308","1","0"
"6351","Explore Jade Forest","15113","13","23147","The Arboretum","20101","43","3309","1","0"
"6351","Explore Jade Forest","15113","14","23148","Garrosh'ar Point","20102","43","3310","1","0"
"6351","Explore Jade Forest","15113","15","23149","Windward Isle","20103","43","3311","1","0"
"6351","Explore Jade Forest","15113","16","30243","Honeydew Village","22165","43","3393","1","0"
"6366","Shado-Pan","15114","0","21424","Shado-Pan exalted","18993","46","1270","42000","0"
"6394","Rattle No More","15106","1","16577","Rattlegore","19007","0","59153","1","0"
"6396","Sanguinarian","15106","1","15273","Krastinovian","19009","69","115427","1","0"
"6400","How Did He Get Up There?","15106","1","8608","Hozen Clinger","19013","69","116271","1","0"
"6402","Ling-Ting's Herbal Journey","15106","1","20216","Golden Verming","19015","69","116270","1","0"
"6420","Hopocalypse Now!","15106","1","8611","Smash!","19083","69","116286","1","0"
"6427","Mosh Pit","15106","0","11233","","19047","69","115674","1","0"
"6455","Show Me Your Moves!","15107","0","19192","Terracotta Army","19105","0","60400","1","0"
"6456","Heroic: Stormstout Brewery","15106","0","643","Yan-Zhu the Uncasked","19109","0","59479","1","0"
"6457","Stormstout Brewery","15106","1","1117","Yan-Zhu the Uncasked","19108","0","59479","1","0"
"6458","Guardians of Mogu'shan","15107","0","22614","Stone Guard","19110","28","128288","1","0"
"6458","Guardians of Mogu'shan","15107","1","22615","Feng the Accursed","19111","0","60009","1","0"
"6458","Guardians of Mogu'shan","15107","2","22616","Gara'jal the Spiritbinder","19112","0","60143","1","0"
"6460","Hydrophobia","15106","0","27194","Defeat Wise Mari without being hit by Corrupted Water, Hydrolance, or Wash Away in Temple of the Jade Serpent on Heroic Difficulty.","20982","0","56448","1","0"
"6469","Shado-Pan Monastery","15106","0","22364","Taran-Zhu","19243","28","123095","1","0"
"6470","Heroic: Shado-Pan Monastery","15106","0","22365","Taran-Zhu","19672","28","123095","1","0"
"6471","Hate Leads to Suffering","15106","0","22726","","19808","28","124979","1","0"
"6472","The Obvious Solution","15106","0","22723","","19806","0","56719","1","0"
"6475","Cleaning Up","15106","1","19628","Kill the Sha of Doubt while under the effects of Purified Water","19130","0","56439","1","0"
"6476","Conscriptinator","15106","0","6736","Mantid Conscript","19131","28","118797","1","0"
"6477","Respect","15106","1","2151","Bow to 20 Shado-pan Initiates.","19133","69","118918","20","0"
"6478","Glintrok N' Roll","15106","0","20599","Saurok Boss","19134","69","118994","1","0"
