"achievement_id","achievement","order_path","tree_id","criterion","criteria_id","criteria_type","criteria_asset","npc_id","completion_quest_id","object_id","selection_decision"
"7284","Is Another Man's Treasure","0","27104","Ancient Pandaren Fishing Pole","20891","27","31284",,"31284",,"include_mop"
"7284","Is Another Man's Treasure","1","27105","Ancient Pandaren Woodcutter","20892","27","31292",,"31292",,"include_mop"
"7284","Is Another Man's Treasure","2","27106","Kafa Press","20893","27","31304",,"31304",,"include_mop"
"7284","Is Another Man's Treasure","3","27107","Jade Infused Blade","20894","27","31307",,"31307",,"include_mop"
"7284","Is Another Man's Treasure","4","27109","Wodin's Mantid Shanker","20896","27","31397",,"31397",,"include_mop"
"7284","Is Another Man's Treasure","5","27110","Ancient Pandaren Mining Pick","20897","27","31399",,"31399",,"include_mop"
"7284","Is Another Man's Treasure","6","27113","Waterspeaker's Staff","20900","27","31402",,"31402",,"include_mop"
"7284","Is Another Man's Treasure","7","27114","Hammer of Ten Thunders","20901","27","31403",,"31403",,"include_mop"
"7284","Is Another Man's Treasure","8","27117","Cache of Pilfered Goods","20904","27","31406",,"31406",,"include_mop"
"7284","Is Another Man's Treasure","9","27118","Staff of the Hidden Master","20905","27","31407",,"31407",,"include_mop"
"7284","Is Another Man's Treasure","10","27120","Pandaren Fishing Spear","20907","27","31409",,"31409",,"include_mop"
"7284","Is Another Man's Treasure","11","27121","Equipment Locker","20908","27","31410",,"31410",,"include_mop"
"7284","Is Another Man's Treasure","12","27122","Banana Infused Rum","20909","27","31411",,"31411",,"include_mop"
"7284","Is Another Man's Treasure","13","27123","Sprite's Cloth Chest","20910","27","31412",,"31412",,"include_mop"
"7284","Is Another Man's Treasure","14","27124","Hozen Warrior Spear","20911","27","31413",,"31413",,"include_mop"
"7284","Is Another Man's Treasure","15","27128","Tablet of Ren Yun","20915","27","31417",,"31417",,"include_mop"
"7284","Is Another Man's Treasure","16","27132","Stash of Yaungol Weapons","20919","27","31421",,"31421",,"include_mop"
"7284","Is Another Man's Treasure","17","27136","Yaungol Fire Carrier","20923","27","31425",,"31425",,"include_mop"
"7284","Is Another Man's Treasure","18","27140","Wind-Reaver's Dagger","20927","27","31429",,"31429",,"include_mop"
"7284","Is Another Man's Treasure","19","27141","Malik's Stalwart Spear","20928","27","31430",,"31430",,"include_mop"
"7284","Is Another Man's Treasure","20","27142","Lucid Amulet","20929","27","31431",,"31431",,"include_mop"
"7284","Is Another Man's Treasure","21","27143","Manipulator's Talisman","20930","27","31432",,"31432",,"include_mop"
"7284","Is Another Man's Treasure","22","27144","Blade of the Prime","20931","27","31433",,"31433",,"include_mop"
"7284","Is Another Man's Treasure","23","27145","Swarming Cleaver","20932","27","31434",,"31434",,"include_mop"
"7284","Is Another Man's Treasure","24","27146","Dissector's Staff","20933","27","31435",,"31435",,"include_mop"
"7284","Is Another Man's Treasure","25","27147","Bloodseeker's Frenzied Mace","20934","27","31436",,"31436",,"include_mop"
"7284","Is Another Man's Treasure","26","27148","Swarmkeeper's Crossbow","20935","27","31437",,"31437",,"include_mop"
"7284","Is Another Man's Treasure","27","27149","Hammer of the Poisoned Mind","20936","27","31438",,"31438",,"include_mop"
"7997","Riches of Pandaria","0","31368","Ship's Storage","20895","27","31396",,"31396",,"include_mop"
"7997","Riches of Pandaria","1","31369","Ancient Pandaren Tea Pot","20898","27","31400",,"31400",,"include_mop"
"7997","Riches of Pandaria","2","31370","Lucky Pandaren Coin","20899","27","31401",,"31401",,"include_mop"
"7997","Riches of Pandaria","3","31371","Pandaren Ritual Stone","20902","27","31404",,"31404",,"include_mop"
"7997","Riches of Pandaria","4","31372","Virmen Treasure Cache","20903","27","31405",,"31405",,"include_mop"
"7997","Riches of Pandaria","5","31373","Saurok Stone Tablet","20906","27","31408",,"31408",,"include_mop"
"7997","Riches of Pandaria","6","31374","Hozen Treasure Cache","20912","27","31414",,"31414",,"include_mop"
"7997","Riches of Pandaria","7","31375","Stolen Sprite Treasure","20913","27","31415",,"31415",,"include_mop"
