"status","release_decision","unavailable","availability_note","current_exists","official_guide_match","mount_id","name","source_spell_id","source_type_enum","flags","source_text"
"mop_boundary_confirmed","include_mop","False",,"True","True","448","Jade Cloud Serpent","113199","1","128","|cFFFFD200Quest: |rRiding the Skies|n|cFFFFD200Zone: |rThe Jade Forest"
"mop_boundary_confirmed","include_mop","False",,"True","True","449","Azure Water Strider","118089","2","32","|cFFFFD200Vendor: |rNat Pagle|n|cFFFFD200Zone: |rKrasarang Wilds|n|cFFFFD200Faction: |rThe Anglers - Exalted|n|cFFFFD200Cost: |r5000|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t"
"mop_boundary_confirmed","include_mop","False",,"True","True","450","Pandaren Kite","118737","5","1156","|cFFFFD200Achievement: |rPandaren Ambassador|n|cFFFFD200Category: |rPandaria"
"mop_boundary_confirmed","include_mop","False",,"True","False","451","Jeweled Onyx Panther","120043","3","0","|cFFFFD200Profession:|r Jewelcrafting|n"
"mop_boundary_confirmed","include_mop","False",,"True","True","452","Green Dragon Turtle","120395","2","0","|cFFFFD200Vendor: |rTurtlemaster Odai|n|cFFFFD200Zone: |rOrgrimmar|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t|n|n|cFFFFD200Vendor: |rOld Whitenose|n|cFFFFD200Zone: |rStormwind City|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t"
"mop_boundary_confirmed","include_mop","False",,"True","True","453","Great Red Dragon Turtle","120822","2","0","|cFFFFD200Vendor: |rTurtlemaster Odai|n|cFFFFD200Zone: |rOrgrimmar|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t|n|n|cFFFFD200Vendor: |rOld Whitenose|n|cFFFFD200Zone: |rStormwind City|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t"
"mop_boundary_confirmed","include_mop","False",,"True","False","456","Sapphire Panther","121836","3","0","|cFFFFD200Profession: |rJewelcrafting"
"mop_boundary_confirmed","include_mop","False",,"True","False","457","Jade Panther","121837","3","0","|cFFFFD200Profession:|r Jewelcrafting|n"
"mop_boundary_confirmed","include_mop","False",,"True","False","458","Ruby Panther","121838","7","0","|cFFFFD200Profession: |rJewelcrafting"
"mop_boundary_confirmed","include_mop","False",,"True","False","459","Sunstone Panther","121839","3","0","|cFFFFD200Profession: |rJewelcrafting"
