"achievement_id","achievement","order_path","tree_id","criterion","criteria_id","criteria_type","criteria_asset","npc_id","completion_quest_id","object_id","selection_decision"
"7439","Glorious!","0","27397","Mister Ferocious","21048","0","50823","50823",,,"include_mop"
"7439","Glorious!","1","27398","Bonobos","21049","0","50828","50828",,,"include_mop"
"7439","Glorious!","2","27399","Spriggin","21050","0","50830","50830",,,"include_mop"
"7439","Glorious!","3","27400","Scritch","21051","0","50831","50831",,,"include_mop"
"7439","Glorious!","4","27401","The Yowler","21052","0","50832","50832",,,"include_mop"
"7439","Glorious!","5","27402","Ik-Ik the Nimble","21053","0","50836","50836",,,"include_mop"
"7439","Glorious!","6","27403","Major Nanners","21054","0","50840","50840",,,"include_mop"
"7439","Glorious!","7","27404","Aethis","21055","0","50750","50750",,,"include_mop"
"7439","Glorious!","8","27405","Sele'na","21056","0","50766","50766",,,"include_mop"
"7439","Glorious!","9","27406","Cournith Waterstrider","21057","0","50768","50768",,,"include_mop"
"7439","Glorious!","10","27407","Zai the Outcast","21058","0","50769","50769",,,"include_mop"
"7439","Glorious!","11","27408","Eshelon","21059","0","50772","50772",,,"include_mop"
"7439","Glorious!","12","27409","Nalash Verdantis","21060","0","50776","50776",,,"include_mop"
"7439","Glorious!","13","27410","Sahn Tidehunter","21061","0","50780","50780",,,"include_mop"
"7439","Glorious!","14","27411","Krax'ik","21062","0","50363","50363",,,"include_mop"
"7439","Glorious!","15","27412","Nal'lak the Ripper","21063","0","50364","50364",,,"include_mop"
"7439","Glorious!","16","27413","Torik-Ethis","21064","0","50388","50388",,,"include_mop"
"7439","Glorious!","17","27414","Ski'thik","21065","0","50733","50733",,,"include_mop"
"7439","Glorious!","18","27415","Lith'ik the Stalker","21066","0","50734","50734",,,"include_mop"
"7439","Glorious!","19","27416","Gar'lok","21067","0","50739","50739",,,"include_mop"
"7439","Glorious!","20","27417","Kal'tik the Blight","21068","0","50749","50749",,,"include_mop"
"7439","Glorious!","21","27418","Kor'nas Nightsavage","21069","0","50338","50338",,,"include_mop"
"7439","Glorious!","22","27419","Sulik'shor","21070","0","50339","50339",,,"include_mop"
"7439","Glorious!","23","27420","Gaarn the Toxic","21071","0","50340","50340",,,"include_mop"
"7439","Glorious!","24","27421","Borginn Darkfist","21072","0","50341","50341",,,"include_mop"
