"collectible_type","source_id_type","source_id","mapped_id","guide_name","mapping","source_text","source_url","guide_url"
"mount","item","94230","534","Amber Primordial Direhorn","item_effect","Amber Primordial Direhorn There is an old Zandalari saying about wild direhorns: ""Run!"" Zandalari Warbringer Dread Wastes, Kun-Lai Summit, Townlong Steppes, Valley of the Four Winds --","https://www.wowhead.com/item=94230/reins-of-the-amber-primordial-direhorn&brl","https://news.blizzard.com/en-us/article/23463728/mists-of-pandaria-mounts-pets-and-more"
"mount","item","85262","463","Amber Scorpion","item_effect","Amber Scorpion The Klaxxi ride massive scorpion into battle against their enemies. A carapace hardened by amber provides superior protection while on the battlefield. Vendor: Ambersmith Zikk Dread Wastes Reputation: The Klaxxi – Exalted 10,000 Gold","https://www.wowhead.com/item=85262/reins-of-the-amber-scorpion&brl","https://news.blizzard.com/en-us/article/23463728/mists-of-pandaria-mounts-pets-and-more"
"mount","item","93662","530","Armored Skyscreamer","item_effect","Armored Skyscreamer Only those heroic souls who surmount every challenge the mogu tyrants place before them can proudly fly the skies on a war-prepared skyscreamer. Achievement: Glory of the Thundering Raider -- --","https://www.wowhead.com/item=93662/reins-of-the-armored-skyscreamer&brl","https://news.blizzard.com/en-us/article/23463728/mists-of-pandaria-mounts-pets-and-more"
"mount","item","103638","560","Ashhide Mushan Beast","item_effect","Ashhide Mushan Beast Some people say that riding an ashhide mushan will result in favorable health and increased prosperity. These people are called, ""mount vendors."" Vendor: Speaker Gulan Timeless Isle 500 Bloody Coins","https://www.wowhead.com/item=103638/reins-of-the-ashhide-mushan-beast&brl","https://news.blizzard.com/en-us/article/23463728/mists-of-pandaria-mounts-pets-and-more"
"mount","item","87777","478","Astral Cloud Serpent","item_effect","Astral Cloud Serpent It is believed that Astral Cloud Serpents possess answers to some of life's greatest mysteries. Pity they can't talk. Drop (Elegon): Cache of Pure Energy Mogu' shan Vaults --","https://www.wowhead.com/item=87777/reins-of-the-astral-cloud-serpent&brl","https://news.blizzard.com/en-us/article/23463728/mists-of-pandaria-mounts-pets-and-more"
"mount","item","85430","464","Azure Cloud Serpent","item_effect","Azure Cloud Serpent Azure Cloud Serpents are believed by the Pandaren to be harbingers of good fortune. Quest: Riding the skies The Jade Forest --","https://www.wowhead.com/item=85430/reins-of-the-azure-cloud-serpent&brl","https://news.blizzard.com/en-us/article/23463728/mists-of-pandaria-mounts-pets-and-more"
"mount","item","87781","479","Azure Riding Crane","item_effect","Azure Riding Crane The majestic crane is a treasured friend of the pandaren. Vendor: Jaluu the Generous Vale of Eternal Blossoms Reputation: Golden Lotus- Exalted 500 Gold","https://www.wowhead.com/item=87781/reins-of-the-azure-riding-crane&brl","https://news.blizzard.com/en-us/article/23463728/mists-of-pandaria-mounts-pets-and-more"
"mount","item","81354","449","Azure Water Strider","item_effect","Azure Water Strider ""Normally b,ugs are for bait, but how could you look into its eyes and even think that?"" -Nat Pagle Vendor: Nat Pagle Krasarang Wilds Reputation: The Anglers -Exalted 1000 Gold","https://www.wowhead.com/item=81354/reins-of-the-azure-water-strider&brl","https://news.blizzard.com/en-us/article/23463728/mists-of-pandaria-mounts-pets-and-more"
"mount","item","142225","864","Ban-Lu, Grandmaster's Companion","item_effect","Ban-Lu, Grandmaster's Companion The child of Xuen, Ban-Lu has served each Grandmaster faithfully for many years. Quest: The Trial of Ban-Lu -- --","https://www.wowhead.com/item=142225/ban-lu-grandmasters-companion&brl","https://news.blizzard.com/en-us/article/23463728/mists-of-pandaria-mounts-pets-and-more"
"mount","item","87795","492","Black Dragon Turtle","item_effect","Black Dragon Turtle Cherished for their heavy carrying capacity and steady gait, these stalwart beasts are the mount of choice for most native Pandaren. Vendor:Turtlemaster Odai and Old Whitenose Orgrimmar and Stormwind City 1 Gold","https://www.wowhead.com/item=87795/reins-of-the-black-dragon-turtle&brl","https://news.blizzard.com/en-us/article/23463728/mists-of-pandaria-mounts-pets-and-more"
"mount","item","89391","511","Black Riding Goat","item_effect","Black Riding Goat It takes unflagging patience and a gentle touch to train the obstinate mountain goats for riding. Vendor: Gina Mudclaw Timeless Isle and Valley of the Four Winds Faction: The Tillers – Exalted 1,500 Gold","https://www.wowhead.com/item=89391/reins-of-the-black-riding-goat&brl","https://news.blizzard.com/en-us/article/23463728/mists-of-pandaria-mounts-pets-and-more"
"mount","item","87789","487","Blonde Riding Yak","item_effect","Blonde Riding Yak Riding Yaks are bred to be slimmer and more agile than their kin. Vendor: Uncle Bigpocket Kun-Lai Summit 3,000 Gold","https://www.wowhead.com/item=87789/reins-of-the-blonde-riding-yak&brl","https://news.blizzard.com/en-us/article/23463728/mists-of-pandaria-mounts-pets-and-more"
"mount","item","87796","493","Blue Dragon Turtle","item_effect","Blue Dragon Turtle Cherished for their heavy carrying capacity and steady gait, these stalwart beasts are the mount of choice for most native Pandaren. Vendor: Turtlemaster Odai and Old Whitenose Orgrimmar and Stormwind City 1 Gold","https://www.wowhead.com/item=87796/reins-of-the-blue-dragon-turtle&brl","https://news.blizzard.com/en-us/article/23463728/mists-of-pandaria-mounts-pets-and-more"
"mount","item","89307","506","Blue Shado-Pan Riding Tiger","item_effect","Blue Shado-Pan Riding Tiger ""When waking a tiger, use a long stick. Better yet, tell your friend to wake the tiger instead."" – Pandaren Proverb Vendor: Rushi the Fox Townlong Steppes Reputation: Shado-Pan- Exalted 500 Gold","https://www.wowhead.com/item=89307/reins-of-the-blue-shado-pan-riding-tiger&brl","https://news.blizzard.com/en-us/article/23463728/mists-of-pandaria-mounts-pets-and-more"
"mount","item","94290","537","Bone-White Primal Raptor","item_effect","Bone-White Primal Raptor ""They are lethal at eight months, very lethal."" -Hemet Nesingwary Jr. Quest: A Mountain of Giant Dinosaur Bones Isle of Giants --","https://www.wowhead.com/item=94290/reins-of-the-bone-white-primal-raptor&brl","https://news.blizzard.com/en-us/article/23463728/mists-of-pandaria-mounts-pets-and-more"
"mount","item","87797","494","Brown Dragon Turtle","item_effect","Brown Dragon Turtle Cherished for their heavy carrying capacity and steady gait, these stalwart beasts are the mount of choice for most native Pandaren. Vendor: Turtlemaster Odai and Old Whitenose Orgrimmar and Stormwind City 1 Gold","https://www.wowhead.com/item=87797/reins-of-the-brown-dragon-turtle&brl","https://news.blizzard.com/en-us/article/23463728/mists-of-pandaria-mounts-pets-and-more"
"mount","item","89362","508","Brown Riding Goat","item_effect","Brown Riding Goat It takes unflagging patience and a gentle touch to train obstinate mountain goats for riding. Vendor: Gina Mudclaw Valley of the Four Winds Reputation: The Tillers - Exalted","https://www.wowhead.com/item=89362/reins-of-the-brown-riding-goat&brl","https://news.blizzard.com/en-us/article/23463728/mists-of-pandaria-mounts-pets-and-more"
