"currency_id","name","description","category_id","faction_id","max_quantity","flags_0","flags_1"
"1715","Progenitor Shard","TEST","143","0","5000","1048578","0"
"1728","Phantasma","This extinguished strand of anima can be used to gain power within Torghast.

Leaving Torghast will destroy all Phantasma.","142","0","0","1048578","0"
"1754","Argent Commendation","Commendation from the Argent Crusade in northern Icecrown for actions taken against the invading forces of the Shadowlands.","245","0","0","2","0"
"1761","Enemy Damage","Dummy currency for Torghast UI","142","0","0","0","0"
"1762","Enemy Health","Dummy currency for Torghast UI","142","0","0","0","0"
"1763","Deaths","Dummy currency for Torghast UI","142","0","0","0","0"
"1767","Stygia","The byproduct of the violent destruction of a Soul within the Maw.","245","0","0","134217730","0"
"1769","Quest Experience (Standard, Hidden)","","142","0","0","16392","0"
"1792","Honor","Used to purchase Unrated PvP equipment in Oribos, and to upgrade Rated and Unrated PvP equipment.","2","0","15000","2","0"
"1794","Atonement Anima","Use 1813","142","0","0","8","0"
"1802","Shadowlands PvP Weekly Reward Progress","Acquire this currency to attain rewards from the weekly chest in Oribos.","245","0","0","2","1"
"1804","Ascended","Grants reputation with the Ascended.","142","2407","0","10","0"
"1805","Undying Army","Grants reputation with the Undying Army.","142","2410","0","10","0"
"1806","Wild Hunt","Grants reputation with the Wild Hunt.","142","2465","0","10","0"
"1807","Court of Harvesters","Grants reputation with the Court of Harvesters.","142","2413","0","10","0"
"1808","Channeled Anima","Anima to be spent in the anima diverter to create a permenant stream.","142","0","50","524288","0"
"1810","Redeemed Soul","An exceptional soul that wishes to contribute to empowering your Covenant Sanctum.","142","0","100","2","0"
"1811","zzoldSanctum Architect","","245","0","0","0","0"
"1812","zzoldSanctum Anima Weaver","","245","0","0","0","0"
"1813","Reservoir Anima","A measure of the anima your covenant has at its disposal.","245","0","200000","2","0"
"1816","Sinstone Fragments","Archivist Fane can use these to recreate Inquisitor Sinstones, which will allow you to hunt inquisitors in the Halls of Atonement.","245","0","0","2","0"
"1819","Medallion of Service","A mark of service to Bastion. Used in Ascension Crafting.","245","0","0","2050","0"
"1820","Infused Ruby","Used to power shrines and devices that run on anima in Revendreth. With the drought, various dredgers have begun trading goods for them as well.","245","0","100","2097154","0"
"1822","Renown","It's Renown","142","0","79","12845058","0"
"1828","Soul Ash","A raw source of power found within Torghast. Used to fuel the Runecarver's Chamber.","245","0","0","33562626","0"
"1829","Renown-Kyrian","It's Renown","245","0","79","262146","0"
"1830","Renown-Venthyr","It's Renown","245","0","79","262146","0"
"1831","Renown-NightFae","It's Renown","245","0","79","262146","0"
"1832","Renown-Necrolord","It's Renown","245","0","79","262146","0"
"1835","Linked Currency Test (Src) - PTH","A test source currency for the new linked currency feature.","1","0","0","2","0"
"1836","Linked Currency Test (Dst) - PTH","A test destination currency for the new linked currency feature.","1","0","0","2","0"
"1837","The Ember Court","Increases the reputation of the The Ember Court.","142","2445","0","10","0"
"1838","The Countess","A happy party with The Countess increases her friendhip with you.","142","2449","0","10","0"
"1839","Rendle and Cudgelface","A happy party with Rendle and Cudgelface increases their friendhip with you.","142","2453","0","10","0"
"1840","Stonehead","A happy party with Stonehead increases his friendhip with you.","142","2460","0","10","0"
"1841","Cryptkeeper Kassir","A happy party with Cryptkeeper Kassir increases his friendhip with you.","142","2455","0","10","0"
"1842","Baroness Vashj","A happy party with Baroness Vashj increases her friendhip with you.","142","2446","0","10","0"
"1843","Plague Deviser Marileth","A happy party with Plague Deviser Marileth increases his friendhip with you.","142","2461","0","10","0"
"1844","Grandmaster Vole","A happy party with Grandmaster Vole increases his friendhip with you.","142","2457","0","10","0"
"1845","Alexandros Mograine","A happy party with Alexandros Mograine increases his friendhip with you.","142","2450","0","10","0"
"1846","Sika","A happy party with Sika increases her friendhip with you.","142","2459","0","10","0"
"1847","Kleia and Pelegos","A happy party with Kleia and Pelagos increases their friendhip with you.","142","2458","0","10","0"
"1848","Polemarch Adrestes","A happy party with Polemarch Adrestes increases his friendhip with you.","142","2452","0","10","0"
"1849","Mikanikos","A happy party with Mikanikos increases his friendhip with you.","142","2448","0","10","0"
"1850","Choofa","A happy party with Choofa increases his friendhip with you.","142","2454","0","10","0"
"1851","Droman Aliothe","A happy party with Droman Aliothe increases her friendhip with you.","142","2456","0","10","0"
"1852","Hunt-Captain Korayn","A happy party with Hunt-Captain Korayn increases his friendhip with you.","142","2451","0","10","0"
"1853","Lady Moonberry","A happy party with Lady Moonberry increases her friendhip with you.","142","2447","0","10","0"
