"status","release_decision","unavailable","availability_note","current_exists","toy_id","item_id","name","item_expansion_id","source_type_enum","flags","source_text"
"item_expansion_signal","include_shadowlands","False",,"True","992","173984","Scroll of Aeons","8","0","0","|cFFFFD200Treasure: |rScroll of Aeons|n|cFFFFD200Zone: |rBastion"
"item_expansion_signal","include_shadowlands","False",,"True","993","174445","Glimmerfly Cocoon","8","0","2","|cFFFFD200Drop: |rThe Shadowlands"
"snapshot_candidate","include_shadowlands","False",,"True","1062","178530","Wreath-A-Rang","0","6","0","|cFFFFD200World Event:|r Feast of Winter Veil|n|n"
"item_expansion_signal","include_shadowlands","False",,"True","1063","177951","Glimmerflies on Strings","8","1","0","|cFFFFD200Quest: |rGlimmerflight|n|cFFFFD200Zone: |rBastion"
"item_expansion_signal","include_shadowlands","False",,"True","1064","172924","Wormhole Generator: Shadowlands","8","3","2","|cFFFFD200Profession:|r Engineering"
"item_expansion_signal","include_shadowlands","False",,"True","1065","181794","Orophea's Lyre","8","0","0","|cFFFFD200Drop: |rOrophea|n|cFFFFD200Zone: |rThe Maw"
"item_expansion_signal","include_shadowlands","False",,"True","1066","181825","Phial of Ravenous Slime","8","0","0","|cFFFFD200Treasure: |rVat of Conspicuous Slime|n|cFFFFD200Zone: |rMaldraxxus"
"item_expansion_signal","include_shadowlands","False",,"True","1068","182729","Hearty Dragon Plume","8","0","0","|cFFFFD200Treasure: |rHearty Dragon Plume|n|cFFFFD200Zone: |rArdenweald"
"item_expansion_signal","include_shadowlands","False",,"True","1069","182732","The Necronom-i-nom","8","0","0","|cFFFFD200Treasure: |rThe Necronom-i-nom|n|cFFFFD200Zone: |rMaldraxxus"
"item_expansion_signal","include_shadowlands","False",,"True","1070","182773","Necrolord Hearthstone","8","-1","0","|cFFFFD200Covenant: |rNecrolord|n|cFFFFD200Vendor: |rSu Zettai|n|cFFFFD200Zone: |rMaldraxxus|n|cFFFFD200Cost: |r750|Hcurrency:1813|h|TInterface\ICONS\Spell_AnimaBastion_Orb.BLP:0|t|h"
"item_expansion_signal","include_shadowlands","False",,"True","1071","182694","Stylish Black Parasol","8","0","0","|cFFFFD200Treasure: |rStylish Parasol|n|cFFFFD200Zone: |rRevendreth"
"item_expansion_signal","include_shadowlands","False",,"True","1072","182696","The Countess's Parasol","8","0","0","|cFFFFD200Treasure:|r The Countess' Tribute|n|cFFFFD200Relationship:|r Friends |n|cFFFFD200Location:|r The Ember Court |n"
"item_expansion_signal","include_shadowlands","False",,"True","1073","182695","Weathered Purple Parasol","8","5","0","|cFFFFD200Achievement: |rParasoling|n|cFFFFD200Category: |rShadowlands"
