"achievement_id","title","category_id","order_path","tree_id","description","criteria_id","criteria_type","asset_id","amount","operator"
"13878","The Master of Revendreth","15422","0","81921","Welcome to Revendreth","46333","27","56978","0","0"
"13878","The Master of Revendreth","15422","1","81922","The Master","46334","27","57179","0","0"
"13878","The Master of Revendreth","15422","2","81923","The Accuser","46335","27","59232","0","0"
"13878","The Master of Revendreth","15422","3","81924","The Penitent Hunt","46336","27","59256","0","0"
"13878","The Master of Revendreth","15422","4","82459","The Mad Duke","46649","27","57724","0","0"
"13878","The Master of Revendreth","15422","5","82460","Prince Renathal","46650","27","57694","0","0"
"13878","The Master of Revendreth","15422","6","81925","The Master of Lies","46337","27","58086","0","0"
"14164","Awaken, Ardenweald","15422","0","83603","Welcome to Ardenweald","47251","27","57787","0","0"
"14164","Awaken, Ardenweald","15422","1/0","83605","One Special Spirit","47252","27","60594","0","0"
"14164","Awaken, Ardenweald","15422","1/1","88947","Souls Come Home","47253","27","57951","0","0"
"14164","Awaken, Ardenweald","15422","2","88086","Waning Grove","49823","27","60519","0","0"
"14164","Awaken, Ardenweald","15422","3","83606","Glitterfall Heights","47254","27","60520","0","0"
"14164","Awaken, Ardenweald","15422","4","88087","This is the Way","49824","27","60905","0","0"
"14164","Awaken, Ardenweald","15422","5","83607","The Fallen Tree","47255","27","58524","0","0"
"14164","Awaken, Ardenweald","15422","6","83608","Visions of the Dreamer","49825","27","58593","0","0"
"14164","Awaken, Ardenweald","15422","7","88088","Awaken the Dreamer","49826","27","58724","0","0"
"14197","Sanguine Depths","15428","0","84702","","47827","165","2363","1","0"
"14198","Heroic: Sanguine Depths","15428","0","84704","","47828","165","2363","1","0"
"14199","Mythic: Sanguine Depths","15428","0","84706","","47829","165","2363","1","0"
"14206","Blade of the Primus","15422","0","84734","Champion of Pain","48494","27","57515","0","0"
"14206","Blade of the Primus","15422","1","84732","House of the Chosen","48495","27","60886","0","0"
"14206","Blade of the Primus","15422","2","84738","Matron of Spies","47847","27","59009","0","0"
"14206","Blade of the Primus","15422","3","84733","House of Constructs","48496","27","60733","0","0"
"14206","Blade of the Primus","15422","4","84735","House of Plagues","47844","27","59231","0","0"
"14206","Blade of the Primus","15422","5","84736","Ritual for the Damned","48498","27","59974","0","0"
"14206","Blade of the Primus","15422","6","84737","The Empty Throne","48499","27","60737","0","0"
"14233","Tea Tales","15422","0","84918","Tea Tales: Theotar","47993","27","59848","1","0"
"14233","Tea Tales","15422","1","84919","Tea Tales: Vulca","47994","27","59850","1","0"
"14233","Tea Tales","15422","2","84920","Tea Tales: Gubbins and Tubbins","47995","27","59852","1","0"
"14233","Tea Tales","15422","3","84921","Tea Tales: Lost Sybille","47996","27","59853","1","0"
"14272","Best Bud With Benefits","15436","0","85205","","48128","27","58327","0","0"
"14273","Crypt Kicker","15436","0","85209","","48130","0","160299","50","0"
"14274","Absolution for All","15436","0","85211","","48131","0","167946","100","0"
"14276","It's Always Sinny in Revendreth","15436","0","85215","Inquisitor Otilia","48135","0","156918","0","0"
"14276","It's Always Sinny in Revendreth","15436","1","85216","Inquisitor Petre","48134","0","156919","0","0"
"14276","It's Always Sinny in Revendreth","15436","2","85217","Inquisitor Sorin","48133","0","156916","0","0"
"14276","It's Always Sinny in Revendreth","15436","3","85218","Inquisitor Traian","48136","0","159151","0","0"
"14276","It's Always Sinny in Revendreth","15436","4","85219","High Inquisitor Dacian","48140","0","159155","0","0"
"14276","It's Always Sinny in Revendreth","15436","5","85220","High Inquisitor Gabi","48137","0","159152","0","0"
"14276","It's Always Sinny in Revendreth","15436","6","85221","High Inquisitor Magda","48139","0","159154","0","0"
"14276","It's Always Sinny in Revendreth","15436","7","85222","High Inquisitor Radu","48138","0","159153","0","0"
"14276","It's Always Sinny in Revendreth","15436","8","85223","Grand Inquisitor Aurica","48142","0","159157","0","0"
"14276","It's Always Sinny in Revendreth","15436","9","85224","Grand Inquisitor Nicu","48141","0","159156","0","0"
"14277","The Accuser's Avowed","15436","0","85226","Crypt Kicker","48143","8","14273","0","0"
"14277","The Accuser's Avowed","15436","1","85227","Absolution for All","48144","8","14274","0","0"
"14277","The Accuser's Avowed","15436","2","85228","It's Always Sinny in Revendreth","48145","8","14276","0","0"
"14280","Loremaster of Shadowlands","15422","0","85296","","48209","8","14281","0","0"
"14280","Loremaster of Shadowlands","15422","1","88820","","50341","8","14801","0","0"
"14280","Loremaster of Shadowlands","15422","2","85297","","48147","8","14206","0","0"
"14280","Loremaster of Shadowlands","15422","3","88821","","50343","8","14799","0","0"
"14280","Loremaster of Shadowlands","15422","4","85298","","48210","8","14164","0","0"
"14280","Loremaster of Shadowlands","15422","5","88822","","50342","8","14800","0","0"
"14280","Loremaster of Shadowlands","15422","6","85295","","48208","8","13878","0","0"
