"status","release_decision","unavailable","availability_note","current_exists","species_id","name","creature_id","summon_spell_id","item_ids","item_expansion_ids","pet_type_enum","flags","source_type_enum","source_text"
"snapshot_candidate","include_shadowlands","False",,"True","2622","Jingles","151780","294211","178533","7","7","82","6","|cFFFFD200World Event:|r Feast of Winter Veil |n"
"item_expansion_signal","include_shadowlands","False",,"True","2798","Plagueborn Slime","160703","312833","173891","8","5","2","1","|cFFFFD200Quest: |rSlime, Anyone?|n|cFFFFD200Zone: |rMaldraxxus"
"item_expansion_signal","include_shadowlands","False",,"True","2878","Renny","163897","318876","175114","8","7","82","1","|cFFFFD200Quest: |rRenny the Vulpin"
"snapshot_candidate","include_shadowlands","False",,"True","2888","Glimr","169514","329900","180034","2","0","82","1","|cFFFFD200Quest:|r Guardian of the Smallest|n|cFFFFD200Zone:|r Grizzly Hills|n"
"item_expansion_signal","include_shadowlands","False",,"True","2889","PHA7-YNX","170421","330997","180208","8","9","2","3","|cFFFFD200Profession:|r Engineering|n"
"source_text_signal","include_shadowlands","False",,"True","2891","Blushing Spiderling","171117","333794","180584","7","7","2","0","|cFFFFD200Drop: |rTomb Burster|n|cFFFFD200Zone: |rRevendreth"
"source_text_signal","include_shadowlands","False",,"True","2892","Bound Lightspawn","171119","333796","180586","7","6","2","0","|cFFFFD200Drop: |rRevendreth"
"source_text_signal","include_shadowlands","False",,"True","2893","Animated Tome","171120","333797","180587","7","5","2","0","|cFFFFD200Drop: |rScrivener Lenua|n|cFFFFD200Zone: |rRevendreth"
"source_text_signal","include_shadowlands","False",,"True","2894","Burdened Soul","171122","333800","180589","7","3","2","0","|cFFFFD200Treasure: |rSecret Treasure|n|cFFFFD200Zone: |rRevendreth"
"source_text_signal","include_shadowlands","False",,"True","2896","Primordial Bogling","171121","333799","180588","7","5","2","0","|cFFFFD200Drop:|r Bog Beast|n|cFFFFD200Zone:|r Revendreth"
"source_text_signal","include_shadowlands","False",,"True","2897","Wrathling","171118","333795","180585","7","6","2","0","|cFFFFD200Drop: |rManifestation of Wrath|n|cFFFFD200Drop: |rLeeched Soul|n|cFFFFD200Zone: |rRevendreth|n"
"snapshot_candidate","include_shadowlands","False",,"True","2898","Raw Emotion","171124","333802","180591","7","6","2","0","|cFFFFD200Drop: |rGrand Proctor Beryllia|n|cFFFFD200Zone: |rSanguine Depths|n|cFFFFD200Difficulty: |rMythic"
