"achievement_id","achievement","order_path","tree_id","criterion","criteria_id","criteria_type","criteria_asset","identity_key","duplicate_identity_count","selection_decision"
"14311","Treasures of Bastion","0","88404","Scroll of Aeons","50047","27","58298","text:scroll of aeons","1","include_shadowlands"
"14311","Treasures of Bastion","1","88405","Vesper of Virtues","50048","27","60478","text:vesper of virtues","1","include_shadowlands"
"14311","Treasures of Bastion","2","88406","Purifying Draught","50049","27","58329","text:purifying draught","1","include_shadowlands"
"14311","Treasures of Bastion","3","88407","Lost Disciple's Notes","50050","27","61048","text:lost disciple's notes","1","include_shadowlands"
"14311","Treasures of Bastion","4","88408","Larion Tamer's Harness","50051","27","61049","text:larion tamer's harness","1","include_shadowlands"
"14311","Treasures of Bastion","5","88409","Stolen Equipment","50052","27","61044","text:stolen equipment","1","include_shadowlands"
"14311","Treasures of Bastion","6","88410","Abandoned Stockpile","50053","27","61006","text:abandoned stockpile","1","include_shadowlands"
"14311","Treasures of Bastion","7","88411","Experimental Construct Part","50054","27","61052","text:experimental construct part","1","include_shadowlands"
"14311","Treasures of Bastion","8","88412","Windsmith's Tools","50055","27","61053","text:windsmith's tools","1","include_shadowlands"
"14311","Treasures of Bastion","9","88413","Memorial Offerings","50056","27","61150","text:memorial offerings","1","include_shadowlands"
"14311","Treasures of Bastion","10","88415","Gift of Agthia","50058","27","60893","text:gift of agthia","1","include_shadowlands"
"14311","Treasures of Bastion","11","88416","Gift of Vesiphone","50059","27","60890","text:gift of vesiphone","1","include_shadowlands"
"14311","Treasures of Bastion","12","88417","Gift of Chyrus","50060","27","60892","text:gift of chyrus","1","include_shadowlands"
"14311","Treasures of Bastion","13","88418","Gift of Thenios","50061","27","60894","text:gift of thenios","1","include_shadowlands"
"14311","Treasures of Bastion","14","88419","Gift of Devos","50062","27","60895","text:gift of devos","1","include_shadowlands"
"14312","Treasures of Maldraxxus","0","88420","Ornate Bone Shield","50063","27","59358","text:ornate bone shield","1","include_shadowlands"
"14312","Treasures of Maldraxxus","1","88421","Kyrian Keepsake","50064","27","60587","text:kyrian keepsake","1","include_shadowlands"
"14312","Treasures of Maldraxxus","2","88422","Halis's Lunch Pail","50065","27","60730","text:halis's lunch pail","1","include_shadowlands"
"14312","Treasures of Maldraxxus","3","88423","Vat of Conspicuous Slime","50066","27","61444","text:vat of conspicuous slime","1","include_shadowlands"
"14312","Treasures of Maldraxxus","4","88424","Stolen Jar","50067","27","61451","text:stolen jar","1","include_shadowlands"
"14312","Treasures of Maldraxxus","5","88425","Necro Tome","50068","27","61470","text:necro tome","1","include_shadowlands"
"14312","Treasures of Maldraxxus","6","88427","Forgotten Mementos","50069","27","58710","text:forgotten mementos","1","include_shadowlands"
"14312","Treasures of Maldraxxus","7","88428","Chest of Eyes","50070","27","59244","text:chest of eyes","1","include_shadowlands"
"14312","Treasures of Maldraxxus","8","88429","Misplaced Supplies","50071","27","60311","text:misplaced supplies","1","include_shadowlands"
"14312","Treasures of Maldraxxus","9","88430","Glutharn's Stash","50072","27","61484","text:glutharn's stash","1","include_shadowlands"
"14312","Treasures of Maldraxxus","10","88431","Runespeaker's Trove","50073","27","61491","text:runespeaker's trove","1","include_shadowlands"
"14312","Treasures of Maldraxxus","11","88432","Plaguefallen Chest","50074","27","61474","text:plaguefallen chest","1","include_shadowlands"
"14312","Treasures of Maldraxxus","12","88433","Ritualist's Cache","50075","27","61514","text:ritualist's cache","1","include_shadowlands"
"14313","Treasures of Ardenweald","0","88389","Aerto's Body","50031","27","61072","text:aerto's body","1","include_shadowlands"
"14313","Treasures of Ardenweald","1","88390","Lost Satchel","50032","27","62187","text:lost satchel","1","include_shadowlands"
"14313","Treasures of Ardenweald","2","88391","Veilwing Egg","50033","27","61065","text:veilwing egg","1","include_shadowlands"
"14313","Treasures of Ardenweald","3","88392","Swollen Anima Seed","50034","27","62186","text:swollen anima seed","1","include_shadowlands"
"14313","Treasures of Ardenweald","4","88393","Faerie Trove","50035","27","61073","text:faerie trove","1","include_shadowlands"
"14313","Treasures of Ardenweald","5","88394","Harmonic Chest","50036","27","61165","text:harmonic chest","1","include_shadowlands"
"14313","Treasures of Ardenweald","6","88395","Hearty Dragon Plume","50037","27","61067","text:hearty dragon plume","1","include_shadowlands"
