"criterion","npc_id","npc_name","mapping_note","source_url"
"Herculon","158659","Herculon","Primary rare encounter NPC","https://www.wowhead.com/npc=158659/herculon"
"Fallen Acolyte Erisne","160721","Fallen Acolyte Erisne","Rare encounter NPC; distinct from the earlier quest phase","https://www.wowhead.com/npc=160721/fallen-acolyte-erisne"
"Sigilback","161527","Sigilback","Summoned combat NPC for the Beasts of Bastion encounter","https://www.wowhead.com/npc=161527/sigilback"
"Cloudtail","161530","Cloudtail","Summoned combat NPC for the Beasts of Bastion encounter","https://www.wowhead.com/npc=161530/cloudtail"
"Nemaeus","161529","Nemaeus","Summoned combat NPC, not the 160051 projection","https://www.wowhead.com/npc=161529/nemaeus"
"Baedos","160629","Baedos","Primary rare encounter NPC","https://www.wowhead.com/npc=160629/baedos"
"Wingflayer the Cruel","167078","Wingflayer the Cruel","Primary rare encounter NPC","https://www.wowhead.com/npc=167078/wingflayer-the-cruel"
"Vesper Repair: Sophia's Aria","160882","Nikara Blackheart","Final rare NPC whose defeat completes Sophia's Aria","https://www.wowhead.com/npc=160882/nikara-blackheart"
"Dionae","163460","Dionae","Primary rare encounter NPC","https://www.wowhead.com/npc=163460/dionae"
"Sundancer","170548","Sundancer","Challenge/loot rare NPC, not the flying pre-challenge phase","https://www.wowhead.com/npc=170548/sundancer"
"Basilofos, King of the Hill","170659","Basilofos, King of the Hill","Primary rare encounter NPC","https://www.wowhead.com/npc=170659/basilofos-king-of-the-hill"
"Dark Watcher","170623","Dark Watcher","Primary rare encounter NPC","https://www.wowhead.com/npc=170623/dark-watcher"
"Cloudfeather Guardian","170932","Cloudfeather Guardian","Spawned zone rare, not the later duplicate creature row","https://www.wowhead.com/npc=170932/cloudfeather-guardian"
"Enforcer Aegeon","171009","Enforcer Aegeon","Primary rare encounter NPC","https://www.wowhead.com/npc=171009/enforcer-aegeon"
"Unstable Memory","171008","Unstable Memory","Primary rare encounter NPC","https://www.wowhead.com/npc=171008/unstable-memory"
"Embodied Hunger","171013","Embodied Hunger","Primary rare encounter NPC","https://www.wowhead.com/npc=171013/embodied-hunger"
"Xixin the Ravening","171040","Xixin the Ravening","Primary rare encounter NPC","https://www.wowhead.com/npc=171040/xixin-the-ravening"
"Worldfeaster Chronn","171041","Worldfeaster Chronn","Primary rare encounter NPC","https://www.wowhead.com/npc=171041/worldfeaster-chronn"
"Collector Astorestes","171014","Collector Astorestes","Primary rare encounter NPC","https://www.wowhead.com/npc=171014/collector-astorestes"
"Demi the Relic Hoarder","171011","Demi the Relic Hoarder","Primary rare encounter NPC","https://www.wowhead.com/npc=171011/demi-the-relic-hoarder"
"Bookkeeper Mnemis","171189","Bookkeeper Mnemis","Primary rare encounter NPC","https://www.wowhead.com/npc=171189/bookkeeper-mnemis"
"Aspirant Eolis","171211","Aspirant Eolis","Primary rare encounter NPC, not the alternate phase row","https://www.wowhead.com/npc=171211/aspirant-eolis"
"Echo of Aella","171255","Echo of Aella","Challenge rare NPC, not later duplicate creature rows","https://www.wowhead.com/npc=171255/echo-of-aella"
"Corrupted Clawguard","171010","Corrupted Clawguard","Hostile transformed rare, not the 171300 malfunctioning form","https://www.wowhead.com/npc=171010/corrupted-clawguard"
"Reekmonger","171327","Reekmonger","Primary rare encounter NPC","https://www.wowhead.com/npc=171327/reekmonger"
"Aethon","161528","Aethon","Summoned combat NPC for the Beasts of Bastion encounter","https://www.wowhead.com/npc=161528/aethon"
"Vesper Repair: Sophia's Overture","160985","Selena the Reborn","Final rare NPC whose defeat completes Sophia's Overture","https://www.wowhead.com/npc=160985/selena-the-reborn"
"Orstus and Sotiros","156340","Larionrider Orstus","Representative NPC for the linked-health Orstus and Sotiros encounter","https://www.wowhead.com/npc=156340/larionrider-orstus"
"The Ascended Council","170899","Ascended Council","Encounter wrapper NPC for the five champion event","https://www.wowhead.com/npc=170899/ascended-council"
