"decision","decision_basis","achievement_id","title","description","root_category","category_id","category_path","points","flags","criteria_tree_id","reward_item_id","att_source_files"
"confirmed_catalog_gap_needs_placement","current_db2_player_facing_and_att_catalog_but_not_collectionist","6","Level 10","Reach level 10.","Characters","92","Characters","10","2097156","2050","0","Character.lua"
"confirmed_catalog_gap_needs_placement","current_db2_player_facing_and_att_catalog_but_not_collectionist","7","Level 20","Reach level 20.","Characters","92","Characters","10","2097156","2683","0","Character.lua"
"confirmed_catalog_gap_needs_placement","current_db2_player_facing_and_att_catalog_but_not_collectionist","8","Level 30","Reach level 30.","Characters","92","Characters","10","2097156","1289","0","Character.lua"
"confirmed_catalog_gap_needs_placement","current_db2_player_facing_and_att_catalog_but_not_collectionist","9","Level 40","Reach level 40.","Characters","92","Characters","10","2097156","942","0","Character.lua"
"confirmed_catalog_gap_needs_placement","current_db2_player_facing_and_att_catalog_but_not_collectionist","15","Plenty of Pets","Collect 15 unique pets.","Pet Battles","15118","Pet Battles > Collect","10","131072","22152","0","Character.lua"
"confirmed_catalog_gap_needs_placement","current_db2_player_facing_and_att_catalog_but_not_collectionist","16","Did Somebody Order a Knuckle Sandwich?","Raise your unarmed skill to 400.","Legacy","15446","Legacy > Character","0","2048","6318","0","Character.lua"
"confirmed_catalog_gap_needs_placement","current_db2_player_facing_and_att_catalog_but_not_collectionist","31","A Simple Re-Quest","Complete a daily quest every day for five consecutive days.","Quests","96","Quests","10","131072","2807","0","Zones.lua"
"confirmed_catalog_gap_needs_placement","current_db2_player_facing_and_att_catalog_but_not_collectionist","32","2000 Quests Completed","Complete 2000 quests.","Quests","96","Quests","10","131072","2810","0","Zones.lua"
"confirmed_catalog_gap_needs_placement","current_db2_player_facing_and_att_catalog_but_not_collectionist","42","Eastern Kingdoms Explorer","Explore the regions of Eastern Kingdoms.","Exploration","97","Exploration","25","131072","2402","0","Zones.lua"
"confirmed_catalog_gap_needs_placement","current_db2_player_facing_and_att_catalog_but_not_collectionist","43","Kalimdor Explorer","Explore the regions of Kalimdor.","Exploration","97","Exploration","25","131072","3317","0","Zones.lua"
