"recipe_spell_id","source_kind","att_class","att_recipe_item_id","source_parent_kind","source_parent_id","source_parent_name","map_id","coord_x","coord_y","extra_spawns","awp_own","awp_ancestor","awp_ancestor_from","att_file","att_occurrences","att_source_ancestry","attribution_basis"
"0","unavailable","NYI","183871","","","","","","","","","","","","0","","att_profession_db"
"818","trainer","TRAINER","0","n","19185","Jack Trapper <Cooking Trainer>","111","63.2","68.6","","30100","20001","m+5","Zones.lua","10","h:-732>m:101>m:111>h:-44>prof:185>n:19185","att_profession_db+att_tree"
"921","drop",,,"","","","","","","","","","","Professions.lua","1","h:-44>prof:633","att_tree"
"1804","drop",,,"","","","","","","","","","","Professions.lua","1","h:-44>prof:633","att_tree"
"2018","trainer","TRAINER","0","n","3355","Saru Steelfury <Blacksmithing Trainer>","85","76.4","34.4","","80001","","","Zones.lua","2","h:-732>m:12>m:85>h:-44>prof:164>n:3355","att_profession_db+att_tree"
"2108","trainer","TRAINER","0","n","3365","Karolek <Leatherworking Trainer>","85","60.8","54.8","","80001","","","Zones.lua","2","h:-732>m:12>m:85>h:-44>prof:165>n:3365","att_profession_db+att_tree"
"2149","trainer","TRAINER","0","n","3365","Karolek <Leatherworking Trainer>","85","60.8","54.8","","","40003","h+1","Zones.lua","2","h:-732>m:12>m:85>h:-44>prof:165>n:3365>h:-88","att_profession_db+att_tree"
"2152","trainer","TRAINER","0","n","3365","Karolek <Leatherworking Trainer>","85","60.8","54.8","","","40003","flt+1","Zones.lua","2","h:-732>m:12>m:85>h:-44>prof:165>n:3365>flt:50","att_profession_db+att_tree"
"2153","trainer","TRAINER","0","n","3365","Karolek <Leatherworking Trainer>","85","60.8","54.8","","","40003","h+1","Zones.lua","2","h:-732>m:12>m:85>h:-44>prof:165>n:3365>h:-88","att_profession_db+att_tree"
"2158","worlddrop","ITEM","2406","","","","","","","","","80001","flt+2","WorldDrops.lua","1","h:-698>x:1>flt:200>prof:165","att_profession_db+att_tree"
"2159","trainer","TRAINER","0","n","3365","Karolek <Leatherworking Trainer>","85","60.8","54.8","","","40003","h+1","Zones.lua","2","h:-732>m:12>m:85>h:-44>prof:165>n:3365>h:-88","att_profession_db+att_tree"
"2160","trainer","TRAINER","0","n","3365","Karolek <Leatherworking Trainer>","85","60.8","54.8","","","40003","h+1","Zones.lua","2","h:-732>m:12>m:85>h:-44>prof:165>n:3365>h:-88","att_profession_db+att_tree"
"2161","trainer","TRAINER","0","n","3365","Karolek <Leatherworking Trainer>","85","60.8","54.8","","","40003","h+1","Zones.lua","2","h:-732>m:12>m:85>h:-44>prof:165>n:3365>h:-88","att_profession_db+att_tree"
"2162","trainer","TRAINER","0","n","3365","Karolek <Leatherworking Trainer>","85","60.8","54.8","","","40003","h+1","Zones.lua","2","h:-732>m:12>m:85>h:-44>prof:165>n:3365>h:-88","att_profession_db+att_tree"
"2163","worlddrop","ITEM","2407","","","","","","","","","80001","flt+2","WorldDrops.lua","1","h:-698>x:1>flt:200>prof:165","att_profession_db+att_tree"
"2164","worlddrop","ITEM","2408","","","","","","","","","80001","flt+2","WorldDrops.lua","1","h:-698>x:1>flt:200>prof:165","att_profession_db+att_tree"
"2165","trainer","TRAINER","0","n","3365","Karolek <Leatherworking Trainer>","85","60.8","54.8","","","40003","flt+1","Zones.lua","2","h:-732>m:12>m:85>h:-44>prof:165>n:3365>flt:50","att_profession_db+att_tree"
"2166","trainer","TRAINER","0","n","3365","Karolek <Leatherworking Trainer>","85","60.8","54.8","","20100","40003","h+1","Zones.lua","2","h:-732>m:12>m:85>h:-44>prof:165>n:3365>h:-88","att_profession_db+att_tree"
"2167","trainer","TRAINER","0","n","3365","Karolek <Leatherworking Trainer>","85","60.8","54.8","","","40003","h+1","Zones.lua","2","h:-732>m:12>m:85>h:-44>prof:165>n:3365>h:-88","att_profession_db+att_tree"
"2168","trainer","TRAINER","0","n","3365","Karolek <Leatherworking Trainer>","85","60.8","54.8","","","40003","h+1","Zones.lua","2","h:-732>m:12>m:85>h:-44>prof:165>n:3365>h:-88","att_profession_db+att_tree"
"2169","worlddrop","ITEM","2409","","","","","","","","","80001","flt+2","WorldDrops.lua","1","h:-698>x:1>flt:200>prof:165","att_profession_db+att_tree"
"2259","trainer","TRAINER","0","n","3347","Yelmak <Alchemy Trainer>","85","55.6","46.6","","80001","","","Zones.lua","2","h:-732>m:12>m:85>h:-44>prof:171>n:3347","att_profession_db+att_tree"
"2329","trainer","TRAINER","0","n","3347","Yelmak <Alchemy Trainer>","85","55.6","46.6","","30100","40003","flt+1","Zones.lua","2","h:-732>m:12>m:85>h:-44>prof:171>n:3347>flt:55","att_profession_db+att_tree"
"2330","trainer","TRAINER","0","n","3347","Yelmak <Alchemy Trainer>","85","55.6","46.6","","110207","40003","flt+1","Zones.lua","2","h:-732>m:12>m:85>h:-44>prof:171>n:3347>flt:55","att_profession_db+att_tree"
"2331","trainer","TRAINER","0","n","3347","Yelmak <Alchemy Trainer>","85","55.6","46.6","","110207","40003","flt+1","Zones.lua","2","h:-732>m:12>m:85>h:-44>prof:171>n:3347>flt:55","att_profession_db+att_tree"
"2332","trainer","TRAINER","0","n","3347","Yelmak <Alchemy Trainer>","85","55.6","46.6","","110207","40003","flt+1","Zones.lua","2","h:-732>m:12>m:85>h:-44>prof:171>n:3347>flt:55","att_profession_db+att_tree"
"2333","worlddrop","ITEM","3396","","","","","","","","","80001","prof+1","WorldDrops.lua","1","h:-698>x:1>flt:200>prof:171","att_profession_db+att_tree"
"2334","trainer","TRAINER","0","n","3347","Yelmak <Alchemy Trainer>","85","55.6","46.6","","","40003","flt+1","Zones.lua","2","h:-732>m:12>m:85>h:-44>prof:171>n:3347>flt:55","att_profession_db+att_tree"
"2335","worlddrop","ITEM","2555","","","","","","","","","80001","prof+1","WorldDrops.lua","1","h:-698>x:1>flt:200>prof:171","att_profession_db+att_tree"
"2336","unavailable","NYI","2556","","","","","","","","20300","20300","h+1","NeverImplemented.lua","1","h:-44>prof:171>flt:200>x:1>h:-232","att_profession_db+att_tree"
"2337","trainer","TRAINER","0","n","3347","Yelmak <Alchemy Trainer>","85","55.6","46.6","","","40003","flt+1","Zones.lua","2","h:-732>m:12>m:85>h:-44>prof:171>n:3347>flt:55","att_profession_db+att_tree"
"2366","trainer","TRAINER","0","n","3404","Jandi <Herbalism Trainer>","85","34.6","63.2","","80001","","","Zones.lua","2","h:-732>m:12>m:85>h:-44>prof:182>n:3404","att_profession_db+att_tree"
"2368","trainer","TRAINER","0","n","3404","Jandi <Herbalism Trainer>","85","34.6","63.2","","80001","","","Zones.lua","2","h:-732>m:12>m:85>h:-44>prof:182>n:3404","att_profession_db+att_tree"
"2369","unavailable","NYI","0","","","","","","","","20001","20001","h+1","NeverImplemented.lua","1","h:-44>prof:182>flt:200>x:1>h:-232","att_profession_db+att_tree"
"2371","unavailable","NYI","0","","","","","","","","20001","20001","h+1","NeverImplemented.lua","1","h:-44>prof:182>flt:200>x:1>h:-232","att_profession_db+att_tree"
"2383","trainer","TRAINER","0","n","3404","Jandi <Herbalism Trainer>","85","34.6","63.2","","80001","","","Zones.lua","2","h:-732>m:12>m:85>h:-44>prof:182>n:3404","att_profession_db+att_tree"
"2385","trainer","TRAINER","0","n","3363","Magar <Tailoring Trainer>","85","60.6","59","","","40003","h+1","Zones.lua","2","h:-732>m:12>m:85>h:-44>prof:197>n:3363>h:-88","att_profession_db+att_tree"
"2386","trainer","TRAINER","0","n","3363","Magar <Tailoring Trainer>","85","60.6","59","","","40003","h+1","Zones.lua","2","h:-732>m:12>m:85>h:-44>prof:197>n:3363>h:-88","att_profession_db+att_tree"
"2387","trainer","TRAINER","0","n","3363","Magar <Tailoring Trainer>","85","60.6","59","","","40003","h+1","Zones.lua","2","h:-732>m:12>m:85>h:-44>prof:197>n:3363>h:-88","att_profession_db+att_tree"
"2389","worlddrop","ITEM","2598","","","","","","","","","80001","flt+2","WorldDrops.lua","1","h:-698>x:1>flt:200>prof:197","att_profession_db+att_tree"
"2392","trainer","TRAINER","0","n","3363","Magar <Tailoring Trainer>","85","60.6","59","","20100","40003","h+1","Zones.lua","2","h:-732>m:12>m:85>h:-44>prof:197>n:3363>h:-88","att_profession_db+att_tree"
"2393","trainer","TRAINER","0","n","3363","Magar <Tailoring Trainer>","85","60.6","59","","20100","40003","h+1","Zones.lua","2","h:-732>m:12>m:85>h:-44>prof:197>n:3363>h:-88","att_profession_db+att_tree"
"2394","trainer","TRAINER","0","n","3363","Magar <Tailoring Trainer>","85","60.6","59","","20100","40003","h+1","Zones.lua","2","h:-732>m:12>m:85>h:-44>prof:197>n:3363>h:-88","att_profession_db+att_tree"
"2395","trainer","TRAINER","0","n","3363","Magar <Tailoring Trainer>","85","60.6","59","","20100","40003","h+1","Zones.lua","2","h:-732>m:12>m:85>h:-44>prof:197>n:3363>h:-88","att_profession_db+att_tree"
"2396","trainer","TRAINER","0","n","3363","Magar <Tailoring Trainer>","85","60.6","59","","","40003","h+1","Zones.lua","2","h:-732>m:12>m:85>h:-44>prof:197>n:3363>h:-88","att_profession_db+att_tree"
"2397","trainer","TRAINER","0","n","3363","Magar <Tailoring Trainer>","85","60.6","59","","20100","40003","h+1","Zones.lua","2","h:-732>m:12>m:85>h:-44>prof:197>n:3363>h:-88","att_profession_db+att_tree"
"2399","trainer","TRAINER","0","n","3363","Magar <Tailoring Trainer>","85","60.6","59","","","40003","h+1","Zones.lua","2","h:-732>m:12>m:85>h:-44>prof:197>n:3363>h:-88","att_profession_db+att_tree"
"2401","trainer","TRAINER","0","n","3363","Magar <Tailoring Trainer>","85","60.6","59","","40003","40003","h+1","Zones.lua","2","h:-732>m:12>m:85>h:-44>prof:197>n:3363>h:-88","att_profession_db+att_tree"
"2402","trainer","TRAINER","0","n","3363","Magar <Tailoring Trainer>","85","60.6","59","","40003","40003","h+1","Zones.lua","2","h:-732>m:12>m:85>h:-44>prof:197>n:3363>h:-88","att_profession_db+att_tree"
"2403","worlddrop","ITEM","2601","","","","","","","","","80001","flt+2","WorldDrops.lua","1","h:-698>x:1>flt:200>prof:197","att_profession_db+att_tree"
"2406","trainer","TRAINER","0","n","3363","Magar <Tailoring Trainer>","85","60.6","59","","","40003","h+1","Zones.lua","2","h:-732>m:12>m:85>h:-44>prof:197>n:3363>h:-88","att_profession_db+att_tree"
"2538","trainer","TRAINER","0","n","3399","Zamja <Cooking Trainer>","85","32.2","69.6","","40003","11101","prof+2","Zones.lua","2","h:-732>m:12>m:85>h:-44>prof:185>n:3399","att_profession_db+att_tree"
"2539","trainer","TRAINER","0","n","3399","Zamja <Cooking Trainer>","85","32.2","69.6","","40003","11101","prof+2","Zones.lua","2","h:-732>m:12>m:85>h:-44>prof:185>n:3399","att_profession_db+att_tree"
"2540","trainer","TRAINER","0","n","3399","Zamja <Cooking Trainer>","85","32.2","69.6","","40003","11101","prof+2","Zones.lua","2","h:-732>m:12>m:85>h:-44>prof:185>n:3399","att_profession_db+att_tree"
"2541","trainer","TRAINER","0","n","3399","Zamja <Cooking Trainer>","85","32.2","69.6","","40003","11101","prof+2","Zones.lua","2","h:-732>m:12>m:85>h:-44>prof:185>n:3399","att_profession_db+att_tree"
"2542","vendor","ITEM","2697","n","340","Kendor Kabonka <Master of Cooking Recipes>","84","76.4","53","","","50200","h+2","Zones.lua","2","h:-732>m:13>m:84>h:-58>n:340","att_profession_db+att_tree"
"2543","vendor","ITEM","728","n","340","Kendor Kabonka <Master of Cooking Recipes>","84","76.4","53","","","50200","h+2","Zones.lua","3","h:-732>m:13>m:84>h:-58>n:340","att_profession_db+att_tree"
"2544","trainer","TRAINER","0","n","3399","Zamja <Cooking Trainer>","85","32.2","69.6","","40003","11101","prof+2","Zones.lua","2","h:-732>m:12>m:85>h:-44>prof:185>n:3399","att_profession_db+att_tree"
"2545","vendor","ITEM","2698","n","340","Kendor Kabonka <Master of Cooking Recipes>","84","76.4","53","","","50200","h+2","Zones.lua","2","h:-732>m:13>m:84>h:-58>n:340","att_profession_db+att_tree"
"2546","trainer","TRAINER","0","n","3399","Zamja <Cooking Trainer>","85","32.2","69.6","","40003","11101","prof+2","Zones.lua","2","h:-732>m:12>m:85>h:-44>prof:185>n:3399","att_profession_db+att_tree"
"2547","vendor","ITEM","2699","n","340","Kendor Kabonka <Master of Cooking Recipes>","84","76.4","53","","","50200","h+2","Zones.lua","2","h:-732>m:13>m:84>h:-58>n:340","att_profession_db+att_tree"
"2548","vendor","ITEM","2700","n","340","Kendor Kabonka <Master of Cooking Recipes>","84","76.4","53","","","50200","h+2","Zones.lua","2","h:-732>m:13>m:84>h:-58>n:340","att_profession_db+att_tree"
"2549","vendor","ITEM","2701","n","340","Kendor Kabonka <Master of Cooking Recipes>","84","76.4","53","","","50200","h+2","Zones.lua","3","h:-732>m:13>m:84>h:-58>n:340","att_profession_db+att_tree"
"2550","trainer","TRAINER","0","n","3399","Zamja <Cooking Trainer>","85","32.2","69.6","","30100","11101","prof+2","Zones.lua","2","h:-732>m:12>m:85>h:-44>prof:185>n:3399","att_profession_db+att_tree"
"2575","trainer","TRAINER","0","n","3357","Makaru <Mining Trainer>","85","72.4","35.6","","80001","","","Zones.lua","2","h:-732>m:12>m:85>h:-44>prof:186>n:3357","att_profession_db+att_tree"
