"decision","decision_basis","category_expansion_hint","placement_status","recipe_spell_id","name","profession","profession_id","trade_category_id","trade_category_path","acquire_method","skill_line_ability_id","att_source_files"
"confirmed_recipe_gap_needs_source_placement","current_named_trade_ability_and_att_recipe_but_not_collectionist","tbc","needs_att_source_ancestry","25255","Delicate Copper Wire","Jewelcrafting","755","168","Classic Designs - Header > Jewelcrafting Designs > Materials","1","13198","Zones.lua"
"confirmed_recipe_gap_needs_source_placement","current_named_trade_ability_and_att_recipe_but_not_collectionist","tbc","needs_att_source_ancestry","25278","Bronze Setting","Jewelcrafting","755","168","Classic Designs - Header > Jewelcrafting Designs > Materials","0","13196","Zones.lua"
"confirmed_recipe_gap_needs_source_placement","current_named_trade_ability_and_att_recipe_but_not_collectionist","tbc","needs_att_source_ancestry","25280","Elegant Silver Ring","Jewelcrafting","755","176","Classic Designs - Header > Jewelcrafting Designs > Rings","0","13199","Zones.lua"
"confirmed_recipe_gap_needs_source_placement","current_named_trade_ability_and_att_recipe_but_not_collectionist","tbc","needs_att_source_ancestry","25283","Inlaid Malachite Ring","Jewelcrafting","755","176","Classic Designs - Header > Jewelcrafting Designs > Rings","0","13200","Zones.lua"
"confirmed_recipe_gap_needs_source_placement","current_named_trade_ability_and_att_recipe_but_not_collectionist","tbc","needs_att_source_ancestry","25284","Simple Pearl Ring","Jewelcrafting","755","176","Classic Designs - Header > Jewelcrafting Designs > Rings","0","13201","Zones.lua"
"confirmed_recipe_gap_needs_source_placement","current_named_trade_ability_and_att_recipe_but_not_collectionist","tbc","needs_att_source_ancestry","25287","Gloom Band","Jewelcrafting","755","176","Classic Designs - Header > Jewelcrafting Designs > Rings","0","13203","Zones.lua"
"confirmed_recipe_gap_needs_source_placement","current_named_trade_ability_and_att_recipe_but_not_collectionist","tbc","needs_att_source_ancestry","25305","Heavy Silver Ring","Jewelcrafting","755","176","Classic Designs - Header > Jewelcrafting Designs > Rings","0","13205","Zones.lua"
"confirmed_recipe_gap_needs_source_placement","current_named_trade_ability_and_att_recipe_but_not_collectionist","tbc","needs_att_source_ancestry","25317","Ring of Silver Might","Jewelcrafting","755","176","Classic Designs - Header > Jewelcrafting Designs > Rings","0","13206","Zones.lua"
"confirmed_recipe_gap_needs_source_placement","current_named_trade_ability_and_att_recipe_but_not_collectionist","tbc","needs_att_source_ancestry","25318","Ring of Twilight Shadows","Jewelcrafting","755","176","Classic Designs - Header > Jewelcrafting Designs > Rings","0","13207","Zones.lua"
"confirmed_recipe_gap_needs_source_placement","current_named_trade_ability_and_att_recipe_but_not_collectionist","tbc","needs_att_source_ancestry","25320","Heavy Golden Necklace of Battle","Jewelcrafting","755","171","Classic Designs - Header > Jewelcrafting Designs > Necklaces","0","13210","Zones.lua"
"confirmed_recipe_gap_needs_source_placement","current_named_trade_ability_and_att_recipe_but_not_collectionist","tbc","needs_att_source_ancestry","25321","Moonsoul Crown","Jewelcrafting","755","167","Classic Designs - Header > Jewelcrafting Designs > Crowns & Accessories","0","13211","Zones.lua"
