"decision","decision_basis","acquisition_expansion","decor_id","item_id","name","item_name","item_expansion_id","att_occurrences","att_source_ancestry"
"defer_acquisition_source_required","current_db2_item_backed_att_catalog_only","","80","235994","Ornate Stonework Fireplace","Ornate Stonework Fireplace","-3","2","custom_header:-682>custom_header:-22>decor:80;custom_header:-682>map:2352>header:92969>quest:93008>decor:80"
"defer_acquisition_source_required","current_db2_item_backed_att_catalog_only","","81","245398","Tusked Fireplace","Tusked Fireplace","-3","2","custom_header:-682>custom_header:-22>decor:81;custom_header:-682>map:2351>header:93109>quest:93110>decor:81"
"defer_acquisition_source_required","current_db2_item_backed_no_local_acquisition_source","","126","245275","Rolled Scroll","Rolled Scroll","-3","0",""
"defer_acquisition_source_required","current_db2_item_backed_att_catalog_only","","373","245375","Sturdy Wooden Bookcase","Sturdy Wooden Bookcase","-3","2","custom_header:-682>custom_header:-22>decor:373;custom_header:-682>map:2352>header:92969>quest:92437>decor:373"
"defer_acquisition_source_required","current_db2_item_backed_att_catalog_only","","374","245384","Sturdy Wooden Shelf","Sturdy Wooden Shelf","-3","2","custom_header:-682>custom_header:-22>decor:374;custom_header:-682>map:2352>header:92969>quest:92961>decor:374"
"defer_acquisition_source_required","current_db2_item_backed_att_catalog_only","","377","235675","Three-Candle Wrought Iron Chandelier","Three-Candle Wrought Iron Chandelier","-3","2","custom_header:-682>custom_header:-22>decor:377;custom_header:-682>map:2352>header:92969>quest:92988>decor:377"
"defer_acquisition_source_required","current_db2_item_backed_att_catalog_only","","378","245355","Sturdy Wooden Interior Door","Sturdy Wooden Interior Door","-3","2","custom_header:-682>custom_header:-22>decor:378;custom_header:-682>map:2352>header:92969>quest:92962>decor:378"
"defer_acquisition_source_required","current_db2_item_backed_att_catalog_only","","379","245358","Small Fruit Platter","Small Fruit Platter","-3","1","custom_header:-682>custom_header:-22>decor:379"
"defer_acquisition_source_required","current_db2_item_backed_att_catalog_only","","383","235677","Wrought Iron Floor Lamp","Wrought Iron Floor Lamp","-3","2","custom_header:-682>custom_header:-22>decor:383;custom_header:-682>map:2352>header:92969>quest:92987>decor:383"
"defer_acquisition_source_required","current_db2_item_backed_att_catalog_only","","388","245383","""Sunrise Canyon"" Painting","""Sunrise Canyon"" Painting","-3","1","custom_header:-682>custom_header:-22>decor:388"
