"decision","decision_basis","acquisition_expansion","unavailable","mount_id","name","source_spell_id","source_type_enum","source_text","source"
"exclude_unobtainable_or_internal","confirmed_existing_expansion_inventory_adjudication",,"False","7","Gray Wolf","459","2","|cFFFFD200Vendor: |rOgunaro Wolfrunner|n|cFFFFD200Zone: |rOrgrimmar|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","vendor"
"exclude_unobtainable_or_internal","confirmed_existing_expansion_inventory_adjudication",,"False","12","Black Wolf","578","2","|cFFFFD200Vendor: |rOgunaro Wolfrunner|n|cFFFFD200Zone: |rOrgrimmar|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","vendor"
"exclude_unobtainable_or_internal","confirmed_existing_expansion_inventory_adjudication",,"False","43","Green Mechanostrider","15780","2","|cFFFFD200Vendor: |rMilli Featherwhistle|n|cFFFFD200Zone: |rDun Morogh|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","vendor"
"exclude_unobtainable_or_internal","confirmed_existing_expansion_inventory_adjudication",,"False","123","Nether Drake","28828","2","|cFFFFD200Vendor: |rDrake Dealer Hurlunk|n|cFFFFD200Zone: |rShadowmoon Valley, Outland|n|cFFFFD200Cost: |r200|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","vendor"
"exclude_unobtainable_or_internal","confirmed_existing_expansion_inventory_adjudication",,"False","145","Blue Mechanostrider","33630","2","|cFFFFD200Vendor: |rMilli Featherwhistle|n|cFFFFD200Zone: |rDun Morogh|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","vendor"
"include","current_db2_source_confirmed","wod","False","416","Felfire Hawk","97501","5","|cFFFFD200Achievement:|r Mountacular|n|n","achievement"
"include","current_db2_source_confirmed","mists_of_pandaria","True","462","Kafa Yak","123182","2","|cFFFFD200World Event:|r WoW Remix: Mists of Pandaria","vendor"
"include","current_db2_source_confirmed","mists_of_pandaria","True","484","Black Riding Yak","127209","2","|cFFFFD200World Event:|r WoW Remix: Mists of Pandaria","vendor"
"include","current_db2_source_confirmed","mists_of_pandaria","True","485","Modest Expedition Yak","127213","2","|cFFFFD200World Event:|r WoW Remix: Mists of Pandaria","vendor"
"include","current_db2_source_confirmed","mists_of_pandaria","False","488","Crimson Water Strider","127271","2","|cFFFFD200Vendor: |rNat Pagle|n|cFFFFD200Zone: |rGarrison: Fishing Shack|n|cFFFFD200Faction: |rNat Pagle - Honored|n|cFFFFD200Cost: |r100|Hitem:117397|h|TINTERFACE\ICONS\INV_Misc_Coin_19.blp:0|t|h","vendor"
"include","current_db2_source_confirmed","wrath","False","552","Ironbound Wraithcharger","142910","2","|cFFFFD200Vendor: |rAuzin|n|cFFFFD200Zone: |rDalaran|n|cFFFFD200Cost: |r5000|Hcurrency:1166|h|TInterface\ICONS\PVECurrency-Justice.blp:0|t|h","vendor"
"include","current_db2_source_confirmed","legion","False","633","Hellfire Infernal","171827","0","|cFFFFD200Drop:|r Gul'dan (Mythic)|n|cFFFFD200Zone:|r The Nighthold","drop"
"include","current_db2_source_confirmed","shadowlands","False","1374","Bonecleaver's Skullboar","332482","0","|cFFFFD200Vendor:|r Collector Ta'Steld|n|cFFFFD200Zone:|r Oribos|n|cFFFFD200Cost: |r5000|Hcurrency:1166|h|TInterface\ICONS\PVECurrency-Justice.blp:0|t|h|n|n","drop"
"include","current_db2_source_confirmed","midnight","False","2492","Spring Butterfly","1218013","0","|cFFFFD200World Event:|r Love is in the Air|n|cFFFFD200Drop:|r Apothecary Hummel","drop"
"include","current_db2_source_confirmed","midnight","False","2754","Peridot Dragonhawk","1261293","1","|cFFFFD200World Quest: |rFrom Darkness, Light|n|cFFFFD200Zone: |rIsle of Quel'Danas","quest"
"include","current_db2_source_confirmed","midnight","False","2818","Emerald Hawkstrider","1265785","1","|cFFFFD200Quest: |rThe Battle of the Bridge|n|cFFFFD200Zone: |rSilvermoon City|n|n","quest"
"include","current_db2_source_confirmed","midnight","False","2917","Anu'shalla, Shadow's Guidance","1276650","5","|cFFFFD200Achievement: |rInsurmountable Collection|n|cFFFFD200Category: |rMounts","achievement"
"include","current_db2_source_confirmed","midnight","False","3005","Cerulean Deathwalker","1296731","2","|cFFFFD200Vendor:|r Lindormi|n","vendor"
"include","current_db2_source_confirmed","midnight","False","3006","Amethyst Mechsuit","1296734","2","|cFFFFD200Vendor:|r Lindormi|n","vendor"
"include","current_db2_source_confirmed","midnight","False","3007","Blue-Chip Shreddertank","1296756","2","|cFFFFD200Vendor:|r Lindormi|n","vendor"
"include","current_db2_source_confirmed","midnight","False","3008","Profit-Green Shreddertank","1296758","2","|cFFFFD200Vendor:|r Lindormi|n","vendor"
"include","current_db2_source_confirmed","midnight","False","3009","Speculative Shreddertank","1296760","2","|cFFFFD200Vendor:|r Lindormi|n","vendor"
"include","current_db2_source_confirmed","midnight","False","3010","High-Yield Shreddertank","1296759","2","|cFFFFD200Vendor:|r Lindormi|n","vendor"
