"decision","decision_basis","acquisition_expansion","unavailable","species_id","name","creature_id","pet_type_enum","summon_spell_id","source_type_enum","source_text","source"
"include","current_db2_source_confirmed","classic","False","57","Azure Whelpling","7547","1","10696","0","|cFFFFD200Drop: |rWorld Drop|n|cFFFFD200Zone: |rWinterspring","drop"
"include","current_db2_source_confirmed","mists_of_pandaria","False","115","Land Shark","86445","8","172695","3","|cFFFFD200Profession:|r Fishing|n|cFFFFD200Vendor:|r Nat Pagle|n|cFFFFD200Zone:|r Garrison, Fishing Shack|n|cFFFFD200Cost:|r 50|Tinterface\icons\inv_misc_coin_19.blp:0|t","profession"
"include","current_db2_source_confirmed","wrath","False","160","Stinker","23274","4","40990","5","|cFFFFD200Achievement: |rShop Smart, Shop Pet...Smart|n|cFFFFD200Category: |rPet Battles","achievement"
"include","current_db2_source_confirmed","wrath","False","166","Pint-Sized Pink Pachyderm","24753","4","44369","6","|cFFFFD200World Event:|r Brewfest|n|cFFFFD200Vendor: |rBelbi Quikswitch|n|cFFFFD200Zone: |rDun Morogh|n|cFFFFD200Cost: |r100|TINTERFACE\ICONS\INV_Misc_Coin_01:0|t|n|n|cFFFFD200Vendor: |rBliz Fixwidget|n|cFFFFD200Zone: |rDurotar|n|cFFFFD200Cost: |r100|TINTERFACE\ICONS\INV_Misc_Coin_01:0|t","event"
"include","current_db2_source_confirmed","tbc","True","187","Vampiric Batling","28513","3","51851","0","|cFFFFD200Drop: |rPrince Tenris Mirkblood|n|cFFFFD200Zone: |rKarazhan","drop"
"include","current_db2_source_confirmed","wrath","False","194","Tickbird Hatchling","32589","2","61348","0","|cFFFFD200Drop: |rMysterious Egg","drop"
"include","current_db2_source_confirmed","wrath","False","195","White Tickbird Hatchling","32590","2","61349","0","|cFFFFD200Drop: |rMysterious Egg","drop"
"include","current_db2_source_confirmed","wrath","False","196","Proto-Drake Whelp","32592","1","61350","0","|cFFFFD200Drop: |rMysterious Egg","drop"
"include","current_db2_source_confirmed","wrath","False","197","Cobra Hatchling","32591","7","61351","0","|cFFFFD200Drop: |rMysterious Egg","drop"
"include","current_db2_source_confirmed","wrath","False","198","Pengu","32595","8","61357","2","|cFFFFD200Vendor: |rSairuk|n|cFFFFD200Zone: |rDragonblight|n|cFFFFD200Faction: |rThe Kalu'ak - Exalted|n|cFFFFD200Cost: |r12|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t|n|n|cFFFFD200Vendor: |rTanaika|n|cFFFFD200Zone: |rHowling Fjord|n|cFFFFD200Faction: |rThe Kalu'ak - Exalted|n|cFFFFD200Cost: |r12|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","vendor"
"include","current_db2_source_confirmed","wrath","False","200","Spring Rabbit","32791","4","61725","6","|cFFFFD200World Event:|r Noblegarden|n|cFFFFD200Vendor: |rNoblegarden Merchant|n|cFFFFD200Cost: |r100|TINTERFACE\ICONS\Achievement_Noblegarden_Chocolate_Egg:0|t","event"
"include","current_db2_source_confirmed","wrath","False","201","Plump Turkey","32818","2","61773","6","|cFFFFD200World Event:|r Pilgrim's Bounty","event"
"include","current_db2_source_confirmed","wrath","True","202","Baby Blizzard Bear","32841","7","61855","5","|cFFFFD200Achievement: |rWoW's 4th Anniversary|n|cFFFFD200Category: |rFeats of Strength","achievement"
"include","current_db2_source_confirmed","wrath","False","203","Little Fawn","32939","4","61991","5","|cFFFFD200Achievement: |rLil' Game Hunter|n|cFFFFD200Category: |rPet Battles","achievement"
"include","current_db2_source_confirmed","wrath","False","211","Strand Crawler","33226","8","62561","3","|cFFFFD200Profession: |rFishing|n|cFFFFD200Zone: |rNorthrend, Stormwind, Orgrimmar","profession"
"include","current_db2_source_confirmed","classic","False","220","Withers","34278","6","65046","1","|cFFFFD200Quest: |rRemembrance of Auberdine|n|cFFFFD200Zone: |rDarkshore","quest"
"include","current_db2_source_confirmed","wrath","False","225","Curious Oracle Hatchling","33530","0","65381","6","|cFFFFD200World Event:|r Children's Week","event"
"include","current_db2_source_confirmed","wrath","False","226","Curious Wolvar Pup","33529","0","65382","6","|cFFFFD200World Event:|r Children's Week","event"
"include","current_db2_source_confirmed","classic","False","232","Darting Hatchling","35396","7","67413","0","|cFFFFD200Drop: |rDart's Nest|n|cFFFFD200Zone: |rDustwallow Marsh","drop"
"include","current_db2_source_confirmed","classic","False","235","Leaping Hatchling","35387","7","67416","0","|cFFFFD200Drop: |rTakk's Nest|n|cFFFFD200Zone: |rThe Barrens","drop"
"include","current_db2_source_confirmed","wrath","False","236","Obsidian Hatchling","35399","7","67417","2","|cFFFFD200Vendor: |rBreanni|n|cFFFFD200Zone: |rCrystalsong Forest|n|cFFFFD200Cost: |r50|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","vendor"
"include","current_db2_source_confirmed","classic","False","237","Ravasaur Hatchling","35397","7","67418","0","|cFFFFD200Drop: |rRavasaur Matriarch's Nest|n|cFFFFD200Zone: |rUn'goro Crater","drop"
"include","current_db2_source_confirmed","wrath","True","243","Onyxian Whelpling","36607","1","69002","5","|cFFFFD200Achievement: |rWoW's 5th Anniversary|n|cFFFFD200Category: |rFeats of Strength","achievement"
"include","current_db2_source_confirmed","wrath","False","250","Perky Pug","37865","4","70613","5","|cFFFFD200Achievement: |rLooking For Multitudes|n|cFFFFD200Category: |rDungeons & Raids","achievement"
"include","current_db2_source_confirmed","wrath","False","251","Toxic Wasteling","38374","5","71840","6","|cFFFFD200World Event:|r Love is in the Air","event"
"include","current_db2_source_confirmed","wrath","False","253","Frigid Frostling","40198","6","74932","6","|cFFFFD200World Event:|r Midsummer Fire Festival","event"
"include","current_db2_source_confirmed","wrath","False","254","Blue Clockwork Rocket Bot","40295","9","75134","2","|cFFFFD200Vendor: |rWorld Vendors|n|cFFFFD200Cost: |r50|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","vendor"
"include","current_db2_source_confirmed","cataclysm","False","255","Celestial Dragon","40624","1","75613","5","|cFFFFD200Achievement: |rLittlest Pet Shop|n|cFFFFD200Category: |rPet Battles","achievement"
"include","current_db2_source_confirmed","cataclysm","False","270","Dark Phoenix Hatchling","47944","6","89039","2","|cFFFFD200Vendor:|r Guild Vendor|n|cFFFFD200Zone:|r Stormwind, Orgrimmar|n|cFFFFD200Cost: |r300|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t|n","vendor"
"include","current_db2_source_confirmed","cataclysm","False","272","Armadillo Pup","48242","4","89670","2","|cFFFFD200Vendor:|r Guild Vendor|n|cFFFFD200Zone:|r Stormwind, Orgrimmar|n|cFFFFD200Cost: |r300|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t|n","vendor"
"include","current_db2_source_confirmed","cataclysm","False","280","Guild Page","49586","0","92395","2","|cFFFFD200Vendor: |rGuild Vendor|n|cFFFFD200Zone:|r Stormwind, Orgrimmar|n|cFFFFD200Cost: |r300|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t|n|cFFFFD200Cooldown: |r8 hrs","vendor"
"include","current_db2_source_confirmed","cataclysm","False","281","Guild Page","49588","0","92396","2","|cFFFFD200Vendor: |rGuild Vendor|n|cFFFFD200Zone:|r Stormwind, Orgrimmar|n|cFFFFD200Cost: |r300|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t|n|cFFFFD200Cooldown: |r8 hrs","vendor"
"include","current_db2_source_confirmed","cataclysm","False","282","Guild Herald","49587","0","92397","2","|cFFFFD200Vendor: |rGuild Vendor|n|cFFFFD200Zone:|r Stormwind, Orgrimmar|n|cFFFFD200Cost: |r500|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t|n|cFFFFD200Cooldown: |r4 hrs","vendor"
"include","current_db2_source_confirmed","cataclysm","False","283","Guild Herald","49590","0","92398","2","|cFFFFD200Vendor: |rGuild Vendor|n|cFFFFD200Zone:|r Stormwind, Orgrimmar|n|cFFFFD200Cost: |r500|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t|n|cFFFFD200Cooldown: |r4 hrs","vendor"
"include","current_db2_source_confirmed","classic","False","286","Mr. Grubbs","50586","7","93739","0","|cFFFFD200World Drop:|r Eastern Plaguelands (requires Fiona's Lucky Charm)","drop"
"include","current_db2_source_confirmed","classic","False","287","Tiny Flamefly","51632","2","93813","1","|cFFFFD200Quest:|r SEVEN! YUP!, Not Fireflies, Flameflies|n|cFFFFD200Zone:|r Burning Steppes|n","quest"
"include","current_db2_source_confirmed","cataclysm","False","289","Scooter the Snail","51635","4","93817","6","|cFFFFD200World Event:|r Children's Week","event"
"include","current_db2_source_confirmed","classic","False","291","Singing Sunflower","51090","6","93823","1","|cFFFFD200Quest:|r Lawn of the Dead|n|cFFFFD200Zone:|r Hillsbrad Foothills|n","quest"
"include","current_db2_source_confirmed","classic","False","301","Panther Cub","52226","7","96571","1","|cFFFFD200Quest:|r Some Good Will Come|n|cFFFFD200Zone:|r Northern Stranglethorn|n|n","quest"
"include","current_db2_source_confirmed","classic","False","307","Lashtail Hatchling","52894","7","97779","1","|cFFFFD200Quest: |rAn Old Friend|n|cFFFFD200Zone: |rZul'Gurub","quest"
"include","current_db2_source_confirmed","cataclysm","False","308","Legs","53048","5","98079","6","|cFFFFD200World Event:|r Children's Week","event"
"include","current_db2_source_confirmed","cataclysm","False","318","Crimson Lasher","53661","6","99668","2","|cFFFFD200Vendor: |rAyla Shadowstorm|n|cFFFFD200Zone: |rMolten Front|n|cFFFFD200Cost: |r1500|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","vendor"
