"decision","decision_basis","acquisition_expansion","toy_id","item_id","name","item_expansion_id","source_type_enum","source_text","source"
"include","current_toy_and_item_db2_source_confirmed","mists_of_pandaria","214","32542","Imp in a Ball","0","2","|cFFFFD200Black Market Auction House|r","vendor"
"include","current_toy_and_item_db2_source_confirmed","mists_of_pandaria","4","32566","Picnic Basket","1","2","|cFFFFD200Black Market Auction House|r","vendor"
"include","current_toy_and_item_db2_source_confirmed","mists_of_pandaria","210","33219","Goblin Gumbo Kettle","0","2","|cFFFFD200Black Market Auction House|r","vendor"
"include","current_toy_and_item_db2_source_confirmed","mists_of_pandaria","5","33223","Fishing Chair","0","2","|cFFFFD200Black Market Auction House|r","vendor"
"include","current_toy_and_item_db2_source_confirmed","mists_of_pandaria","100","34499","Paper Flying Machine Kit","0","2","|cFFFFD200Black Market Auction House|r","vendor"
"include","current_toy_and_item_db2_source_confirmed","mists_of_pandaria","253","35227","Goblin Weather Machine - Prototype 01-B","0","2","|cFFFFD200Black Market Auction House|r","vendor"
"include","current_toy_and_item_db2_source_confirmed","mists_of_pandaria","7","38578","The Flag of Ownership","0","2","|cFFFFD200Black Market Auction House|r","vendor"
"include","current_toy_and_item_db2_source_confirmed","mists_of_pandaria","202","45063","Foam Sword Rack","0","2","|cFFFFD200Black Market Auction House|r","vendor"
"include","current_toy_and_item_db2_source_confirmed","mists_of_pandaria","226","46780","Ogre Pinata","0","2","|cFFFFD200Black Market Auction House|r","vendor"
"exclude_missing_current_item","toy_row_has_no_current_itemsparse_record",,"147","72220","","","0","|cFFFFD200Given By: |rOrsur|n|cFFFFD200Zone: |rRavenholdt Manor","drop"
"exclude_missing_current_item","toy_row_has_no_current_itemsparse_record",,"23","72221","","","0","|cFFFFD200Drop: |rHavak|n|cFFFFD200Zone: |rKun-Lai Summit","drop"
"exclude_missing_current_item","toy_row_has_no_current_itemsparse_record",,"131","72224","","","0","|cFFFFD200Drop: |rNessos the Oracle|n|cFFFFD200Zone: |rKun-Lai Summit","drop"
"exclude_missing_current_item","toy_row_has_no_current_itemsparse_record",,"25","72225","","","0","|cFFFFD200Drop: |rSki'thik|n|cFFFFD200Zone: |rKun-Lai Summit","drop"
"exclude_missing_current_item","toy_row_has_no_current_itemsparse_record",,"148","72226","","","0","|cFFFFD200Drop: |rRa'sha|n|cFFFFD200Zone: |rIsle of Thunder","drop"
"exclude_missing_current_item","toy_row_has_no_current_itemsparse_record",,"136","72227","","","0","|cFFFFD200Drop: |rBonobos|n|cFFFFD200Zone: |rValley of the Four Winds","drop"
"exclude_missing_current_item","toy_row_has_no_current_itemsparse_record",,"304","72228","","","0","|cFFFFD200Drop: |rGibblette the Cowardly|n|cFFFFD200Zone: |rFrostfire Ridge","drop"
"exclude_missing_current_item","toy_row_has_no_current_itemsparse_record",,"135","72229","","","0","|cFFFFD200Drop: |rAi-Ran the Shifting Cloud|n|cFFFFD200Zone: |rVale of Eternal Blossoms","drop"
"exclude_missing_current_item","toy_row_has_no_current_itemsparse_record",,"153","72230","","","2","|cFFFFD200Vendor: |rSpeaker Gulan|n|cFFFFD200Zone: |rTimeless Isle","vendor"
"exclude_missing_current_item","toy_row_has_no_current_itemsparse_record",,"20","72231","","","0","|cFFFFD200Drop: |rPandaria","drop"
"exclude_missing_current_item","toy_row_has_no_current_itemsparse_record",,"161","72233","","","0","|cFFFFD200Drop: |rHigh Priest of Ordos|n|cFFFFD200Zone: |rTimeless Isle","drop"
"include","current_toy_and_item_db2_source_confirmed","mists_of_pandaria","140","87528","Honorary Brewmaster Keg","0","5","|cFFFFD200Achievement: |rPub Crawl|n|cFFFFD200Category: |rMists of Pandaria","achievement"
"include","current_toy_and_item_db2_source_confirmed","classic","220","88566","Krastinov's Bag of Horrors","0","0","|cFFFFD200Drop: |rDoctor Theolen Krastinov|n|cFFFFD200Zone: |rScholomance","drop"
"exclude_never_implemented","confirmed_att_never_implemented_catalog",,"216","88587","Iron Belly Spirits","5","1","|cFFFFD200Quest: |rRaising Spirits|n|cFFFFD200Zone: |rTownlong Steppes","quest"
"include","current_toy_and_item_db2_source_confirmed","mists_of_pandaria","359","89205","Mini Mana Bomb","4","5","|cFFFFD200Achievement: |rTheramore's Fall|n|cFFFFD200Category: |rFeats of Strength","achievement"
"include","current_toy_and_item_db2_source_confirmed","mists_of_pandaria","182","89999","Everlasting Alliance Firework","-3","6","|cFFFFD200World Event:|r Lunar Festival|n|n|cFFFFD200Vendor: |rFariel Starsong|n|cFFFFD200Zone: |rMoonglade|n|cFFFFD200Cost: |r25|TINTERFACE\ICONS\INV_MISC_ELVENCOINS.BLP:0|t","event"
"include","current_toy_and_item_db2_source_confirmed","mists_of_pandaria","169","90000","Everlasting Horde Firework","-3","6","|cFFFFD200World Event:|r Lunar Festival|n|n|cFFFFD200Vendor: |rFariel Starsong|n|cFFFFD200Zone: |rMoonglade|n|cFFFFD200Cost: |r25|TINTERFACE\ICONS\INV_MISC_ELVENCOINS.BLP:0|t","event"
"include","current_toy_and_item_db2_source_confirmed","mists_of_pandaria","170","90427","Pandaren Brewpack","-3","2","|cFFFFD200Vendor: |rWorld Vendors|n|cFFFFD200Cost: |r100|TINTERFACE\ICONS\INV_MISC_COIN_01.BLP:0|t","vendor"
"include","current_toy_and_item_db2_source_confirmed","mists_of_pandaria","143","90883","The Pigskin","-3","6","|cFFFFD200World Event: |rFeast of Winter Veil","event"
"include","current_toy_and_item_db2_source_confirmed","mists_of_pandaria","144","90888","Special Edition Foot Ball","-3","6","|cFFFFD200World Event: |rFeast of Winter Veil","event"
"include","current_toy_and_item_db2_source_confirmed","cataclysm","145","90899","Darkmoon Whistle","0","6","|cFFFFD200Vendor: |rGelvas Grimegate|n|cFFFFD200Zone: |rDarkmoon Island|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t","event"
"include","current_toy_and_item_db2_source_confirmed","classic","254","97919","Whole-Body Shrinka'","0","2","|cFFFFD200Vendor: |rRavika|n|cFFFFD200Cost: |r25|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","vendor"
"include","current_toy_and_item_db2_source_confirmed","classic","191","97921","Bom'bay's Color-Seein' Sauce","0","2","|cFFFFD200Vendor: |rLenny ""Fingers"" McCoy|n|cFFFFD200Zone: |rStormwind City|n|cFFFFD200Cost: |r200|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","vendor"
"include","current_toy_and_item_db2_source_confirmed","mists_of_pandaria","411","97994","Darkmoon Seesaw","0","2","|cFFFFD200Vendor: |rGelvas Grimegate|n|cFFFFD200Zone: |rDarkmoon Island","vendor"
"include","current_toy_and_item_db2_source_confirmed","classic","258","98552","Xan'tish's Flute","0","2","|cFFFFD200Vendor: |rRavika|n|cFFFFD200Cost: |r5|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","vendor"
"include","current_toy_and_item_db2_source_confirmed","cataclysm","224","101571","Moonfang Shroud","0","6","|cFFFFD200World Event: |rDarkmoon Faire|n|cFFFFD200Drop: |rMoonfang|n|cFFFFD200Zone: |rDarkmoon Island","event"
"include","current_toy_and_item_db2_source_confirmed","mists_of_pandaria","158","104318","Crashin' Thrashin' Flyer Controller","-3","6","|cFFFFD200World Event: |rFeast of Winter Veil","event"
"include","current_toy_and_item_db2_source_confirmed","mists_of_pandaria","159","104323","The Swineskin","0","2","|cFFFFD200Vendor: |rWorld Vendors|n|cFFFFD200Cost: |r40|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","vendor"
"include","current_toy_and_item_db2_source_confirmed","mists_of_pandaria","160","104324","Foot Ball","0","2","|cFFFFD200Vendor: |rWorld Vendors|n|cFFFFD200Cost: |r40|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","vendor"
"include","current_toy_and_item_db2_source_confirmed","cataclysm","164","105898","Moonfang's Paw","0","6","|cFFFFD200World Event: |rDarkmoon Faire|n|cFFFFD200Drop: |rMoonfang|n|cFFFFD200Zone: |rDarkmoon Island","event"
"include","current_toy_and_item_db2_source_confirmed","wod","416","108632","Crashin' Thrashin' Flamer Controller","-3","6","|cFFFFD200World Event:|r Feast of Winter Veil|n","event"
"include","current_toy_and_item_db2_source_confirmed","wod","412","108635","Crashin' Thrashin' Killdozer Controller","-3","6","|cFFFFD200World Event:|r Feast of Winter Veil|n|n","event"
"include","current_toy_and_item_db2_source_confirmed","wod","1294","110560","Garrison Hearthstone","5","1","|cFFFFD200Quest: |rEstablish Your Garrison|n|cFFFFD200Zone: |rFrostfire Ridge|n|cFFFFD200Zone: |rFrostwall|n|n|cFFFFD200Quest: |rEstablish Your Garrison|n|cFFFFD200Zone: |rShadowmoon Valley|n|cFFFFD200Zone: |rLunarfall","quest"
"exclude_never_implemented","confirmed_att_never_implemented_catalog",,"290","110586","Mysterious Flower","5","0","|n","drop"
"include","current_toy_and_item_db2_source_confirmed","wod","265","116067","Ring of Broken Promises","0","6","|cFFFFD200World Event: |rDarkmoon Faire|n|cFFFFD200Quest: |rBroken Promises","event"
"include","current_toy_and_item_db2_source_confirmed","wod","273","116115","Blazing Wings","0","6","|cFFFFD200World Event: |rDarkmoon Faire|n|cFFFFD200Achievement: |rBrood of Alysrazor","event"
"include","current_toy_and_item_db2_source_confirmed","wod","264","116139","Haunting Memento","0","6","|cFFFFD200Vendor: |rChester|n|cFFFFD200Zone: |rDarkmoon Island","event"
"include","current_toy_and_item_db2_source_confirmed","wod","337","116400","Silver-Plated Turkey Shooter","-3","6","|cFFFFD200World Event: |rPilgrim's Bounty","event"
"include","current_toy_and_item_db2_source_confirmed","wod","345","116435","Cozy Bonfire","-3","6","|cFFFFD200Vendor: |rMidsummer Merchant|n|cFFFFD200Zone: |rCapital Cities|n|cFFFFD200Cost: |r300|TINTERFACE\ICONS\INV_SUMMERFEST_FIREFLOWER.BLP:0|t|n","event"
"include","current_toy_and_item_db2_source_confirmed","wod","344","116440","Burning Defender's Medallion","-3","2","|cFFFFD200Vendor: |rMidsummer Merchant|n|cFFFFD200Zone: |rCapital Cities|n|cFFFFD200Cost: |r300|TINTERFACE\ICONS\INV_SUMMERFEST_FIREFLOWER.BLP:0|t|n","vendor"
"include","current_toy_and_item_db2_source_confirmed","wod","367","116456","Scroll of Storytelling","-3","6","|cFFFFD200World Event:|r Feast of Winter Veil","event"
"include","current_toy_and_item_db2_source_confirmed","wod","334","116651","True Love Prism","-3","6","|cFFFFD200World Event: |rLove is in the Air","event"
"include","current_toy_and_item_db2_source_confirmed","wod","347","116689","Pineapple Lounge Cushion","-3","6","|cFFFFD200World Event: |rFeast of Winter Veil","event"
"include","current_toy_and_item_db2_source_confirmed","wod","348","116690","Safari Lounge Cushion","-3","6","|cFFFFD200World Event: |rFeast of Winter Veil","event"
