module,expansion,achievement_id,criterion_index,criteria_id,criteria_type,asset_id,name,decision,source_keys,group_map,candidate_points,sources,note
rares,shadowlands,14307,17,50608,27,61046,Xixin the Ravening,shared_spawn_pool_needs_context,npc:171040;quest:61046,1533,"[[1533,0.396,0.4499],[1533,0.396,0.45],[1533,0.4743,0.4282],[1533,0.48,0.4295],[1533,0.522,0.328],[1533,0.5603,0.1463],[1533,0.5605,0.146],[1533,0.5965,0.514],[1533,0.5982,0.5165],[1533,0.635,0.359],[1533,0.635,0.36]]",HandyNotes_Shadowlands:39604499;HandyNotes_Shadowlands:47434282;HandyNotes_Shadowlands:52203280;HandyNotes_Shadowlands:56031463;HandyNotes_Shadowlands:59825165;HandyNotes_Shadowlands:63503590;HandyNotes_ShadowlandsTreasures:39604500;HandyNotes_ShadowlandsTreasures:48004295;HandyNotes_ShadowlandsTreasures:52203280;HandyNotes_ShadowlandsTreasures:56051460;HandyNotes_ShadowlandsTreasures:59655140;HandyNotes_ShadowlandsTreasures:63503600,Shared or multi-zone spawn pool; preserve spawn requirements and do not promise a specific active spawn.
rares,shadowlands,14307,18,50609,27,61047,Worldfeaster Chronn,shared_spawn_pool_needs_context,npc:171041;quest:61047,1533,"[[1533,0.396,0.4499],[1533,0.396,0.45],[1533,0.4743,0.4282],[1533,0.48,0.4295],[1533,0.522,0.328],[1533,0.5603,0.1463],[1533,0.5605,0.146],[1533,0.5965,0.514],[1533,0.5982,0.5165],[1533,0.635,0.359],[1533,0.635,0.36]]",HandyNotes_Shadowlands:39604499;HandyNotes_Shadowlands:47434282;HandyNotes_Shadowlands:52203280;HandyNotes_Shadowlands:56031463;HandyNotes_Shadowlands:59825165;HandyNotes_Shadowlands:63503590;HandyNotes_ShadowlandsTreasures:39604500;HandyNotes_ShadowlandsTreasures:48004295;HandyNotes_ShadowlandsTreasures:52203280;HandyNotes_ShadowlandsTreasures:56051460;HandyNotes_ShadowlandsTreasures:59655140;HandyNotes_ShadowlandsTreasures:63503600,Shared or multi-zone spawn pool; preserve spawn requirements and do not promise a specific active spawn.
rares,shadowlands,15054,1,51655,0,177981,Versya the Damned,defer_dynamic_event_marker,npc:177981;npc:177981,1543,"[[1543,0.8537,0.5524]]",HandyNotes_Shadowlands:85375524,"HandyNotes Tormentor node at 85.37/55.24 is an event display anchor, not a verified boss spawn."
rares,shadowlands,15054,2,51654,0,177979,Gralebboih,defer_dynamic_event_marker,npc:177979;npc:177979,1543,"[[1543,0.8537,0.5524]]",HandyNotes_Shadowlands:85375524,"HandyNotes Tormentor node at 85.37/55.24 is an event display anchor, not a verified boss spawn."
rares,shadowlands,15054,3,51644,0,177330,Promathiz,defer_dynamic_event_marker,npc:177330;npc:177330,1543,"[[1543,0.8537,0.5524]]",HandyNotes_Shadowlands:85375524,"HandyNotes Tormentor node at 85.37/55.24 is an event display anchor, not a verified boss spawn."
rares,shadowlands,15054,4,51643,0,177331,Sentinel Pyrophus,defer_dynamic_event_marker,npc:177331;npc:177331,1543,"[[1543,0.8537,0.5524]]",HandyNotes_Shadowlands:85375524,"HandyNotes Tormentor node at 85.37/55.24 is an event display anchor, not a verified boss spawn."
rares,shadowlands,15054,5,51653,0,177980,Gruukuuek the Elder,defer_dynamic_event_marker,npc:177980;npc:177980,1543,"[[1543,0.8537,0.5524]]",HandyNotes_Shadowlands:85375524,"HandyNotes Tormentor node at 85.37/55.24 is an event display anchor, not a verified boss spawn."
rares,shadowlands,15054,6,52101,0,178886,Zul'gath the Flayer,defer_dynamic_event_marker,npc:178886;npc:178886,1543,"[[1543,0.8537,0.5524]]",HandyNotes_Shadowlands:85375524,"HandyNotes Tormentor node at 85.37/55.24 is an event display anchor, not a verified boss spawn."
rares,shadowlands,15054,7,51660,0,178002,Mugrem the Soul Devourer,defer_dynamic_event_marker,npc:178002;npc:178002,1543,"[[1543,0.8537,0.5524]]",HandyNotes_Shadowlands:85375524,"HandyNotes Tormentor node at 85.37/55.24 is an event display anchor, not a verified boss spawn."
rares,shadowlands,15054,8,51639,0,177427,The Mass of Souls,defer_dynamic_event_marker,npc:177427;npc:177427,1543,"[[1543,0.8537,0.5524]]",HandyNotes_Shadowlands:85375524,"HandyNotes Tormentor node at 85.37/55.24 is an event display anchor, not a verified boss spawn."
rares,shadowlands,15054,9,52102,0,178897,Algel the Haunter,defer_dynamic_event_marker,npc:178897;npc:178897,1543,"[[1543,0.8537,0.5524]]",HandyNotes_Shadowlands:85375524,"HandyNotes Tormentor node at 85.37/55.24 is an event display anchor, not a verified boss spawn."
rares,shadowlands,15054,10,52103,0,178883,Sentinel Shakorzeth,defer_dynamic_event_marker,npc:178883;npc:178883,1543,"[[1543,0.8537,0.5524]]",HandyNotes_Shadowlands:85375524,"HandyNotes Tormentor node at 85.37/55.24 is an event display anchor, not a verified boss spawn."
rares,shadowlands,15054,11,52104,0,178882,Kazj the Sentinel,defer_dynamic_event_marker,npc:178882;npc:178882,1543,"[[1543,0.8537,0.5524]]",HandyNotes_Shadowlands:85375524,"HandyNotes Tormentor node at 85.37/55.24 is an event display anchor, not a verified boss spawn."
