decor_id,name,item_id,id,att_file,source_parent_kind,source_parent_id,map_id,coord_x,coord_y,extra_spawns,awp_own,awp_ancestor,awp_ancestor_from,ancestry,own_fields,decision
126,Rolled Scroll,245275,126,ExpansionFeatures.lua,n,78564,,,,,110207,60003,h+3,h:-735>x:6>h:-130>h:-58>n:78564,"{awp=110207,cost={{""c"",824,100}},itemID=245275,spellID=1238355}",concrete_att_source_needs_restriction_review
766,Open Tome of Twilight Nihilism,239177,766,Zones.lua,n,256119,85,58.6,50.3,,,110207,n+1,h:-732>m:12>m:85>h:-58>n:256119,"{cost=20000000,itemID=239177,spellID=1227842}",concrete_att_source_needs_restriction_review
766,Open Tome of Twilight Nihilism,239177,766,Zones.lua,n,256071,84,49.4,80.8,,,110207,n+1,h:-732>m:13>m:84>h:-58>n:256071,"{cost=20000000,itemID=239177,spellID=1227842}",concrete_att_source_needs_restriction_review
768,Tome of Twilight Nihilism,239179,768,Zones.lua,n,256119,85,58.6,50.3,,,110207,n+1,h:-732>m:12>m:85>h:-58>n:256119,"{cost=20000000,itemID=239179,spellID=1227844}",concrete_att_source_needs_restriction_review
768,Tome of Twilight Nihilism,239179,768,Zones.lua,n,256071,84,49.4,80.8,,,110207,n+1,h:-732>m:13>m:84>h:-58>n:256071,"{cost=20000000,itemID=239179,spellID=1227844}",concrete_att_source_needs_restriction_review
1216,Dark Iron Brazier,245426,1216,Professions.lua,ach,4859,,,,,110207,40003,prof+4,h:-44>prof:794>x:4>h:-12>ach:4859,"{awp=110207,itemID=245426,requireSkill=794,spellID=1238558}",concrete_att_source_needs_restriction_review
1216,Dark Iron Brazier,245426,1216,Zones.lua,n,253235,87,23.8,45.2,,,110207,n+1,h:-732>m:13>m:87>h:-58>n:253235,"{cost=7000000,itemID=245426,requireSkill=794,spellID=1238558}",concrete_att_source_needs_restriction_review
1458,Light-Infused Fountain,244668,1458,Zones.lua,n,256828,2393,51.1,56.5,,,120005,h+2,h:-732>m:2537>m:2393>h:-58>n:256828,"{cost=250000000,itemID=244668,spellID=1237798}",defer_external_unlock
1894,Void-Corrupted Fountain,245939,1894,Zones.lua,n,256828,2393,51.1,56.5,,,120005,h+2,h:-732>m:2537>m:2393>h:-58>n:256828,"{cost=250000000,itemID=245939,spellID=1240036}",defer_external_unlock
1998,Embellished Dwarven Tome,246108,1998,Zones.lua,n,253227,241,49.6,29.6,,,110207,n+1,h:-732>m:13>m:241>h:-58>n:253227,"{cost=20000000,itemID=246108,minReputation={1174,9000},spellID=1240795}",concrete_att_source_needs_restriction_review
1998,Embellished Dwarven Tome,246108,1998,Zones.lua,n,49386,241,48.6,30.6,,110207,110207,h+2,h:-732>m:13>m:241>h:-58>n:49386,"{awp=110207,cost=20000000,itemID=246108,minReputation={1174,9000},spellID=1240795}",concrete_att_source_needs_restriction_review
2228,Ironforge Bookcase,246411,2228,Zones.lua,n,253232,87,75.4,9.6,,,110207,n+1,h:-732>m:13>m:87>h:-58>n:253232,"{cost=7000000,itemID=246411,spellID=1242065}",concrete_att_source_needs_restriction_review
2229,Small Ironforge Bookcase,246412,2229,Zones.lua,n,253232,87,75.4,9.6,,,110207,n+1,h:-732>m:13>m:87>h:-58>n:253232,"{cost=4500000,itemID=246412,spellID=1242066}",concrete_att_source_needs_restriction_review
2231,Light-Infused Rotunda,246414,2231,Zones.lua,n,256828,2393,51.1,56.5,,,120005,h+2,h:-732>m:2537>m:2393>h:-58>n:256828,"{cost=250000000,itemID=246414,spellID=1242068}",defer_external_unlock
2241,Square Stormpike Table,246424,2241,PVP.lua,n,13216,91,44.3,18.3,,110207,,,h:-303>h:-292>m:91>h:-58>n:13216,"{awp=110207,cost={{""i"",137642,1}},itemID=246424,pvp=1,spellID=1242108}",concrete_att_source_needs_restriction_review
2242,Round Dwarven Table,246425,2242,Zones.lua,n,253227,241,49.6,29.6,,,110207,n+1,h:-732>m:13>m:241>h:-58>n:253227,"{cost=4000000,itemID=246425,minReputation={1174,3000},spellID=1242109}",concrete_att_source_needs_restriction_review
2242,Round Dwarven Table,246425,2242,Zones.lua,n,49386,241,48.6,30.6,,110207,110207,h+2,h:-732>m:13>m:241>h:-58>n:49386,"{awp=110207,cost=4000000,itemID=246425,minReputation={1174,3000},spellID=1242109}",concrete_att_source_needs_restriction_review
2243,Ornate Ironforge Table,246426,2243,Zones.lua,n,253235,87,23.8,45.2,,,110207,n+1,h:-732>m:13>m:87>h:-58>n:253235,"{cost=6000000,itemID=246426,minReputation={47,9000},spellID=1242110}",concrete_att_source_needs_restriction_review
2243,Ornate Ironforge Table,246426,2243,Zones.lua,n,50309,87,55.8,47.8,,110207,40003,n+1,h:-732>m:13>m:87>h:-58>n:50309,"{awp=110207,cost=6000000,itemID=246426,minReputation={47,9000},spellID=1242110}",concrete_att_source_needs_restriction_review
2299,Grand Aethercharged Crystal,246458,2299,Zones.lua,q,88942,2393,40.4,32.9,,,120001,h+4,h:-732>m:2537>h:-45>ah:42117>ah:42117>q:88942,"{itemID=246458,spellID=1242300}",concrete_att_source_needs_restriction_review
2299,Grand Aethercharged Crystal,246458,2299,Zones.lua,n,259864,2395,43.2,47.5,,,120001,m+3,h:-732>m:2537>m:2395>h:-58>n:259864,"{cost={{""c"",3316,250}},itemID=246458,spellID=1242300}",concrete_att_source_needs_restriction_review
2333,Ironforge Fencepost,246490,2333,Zones.lua,n,253235,87,23.8,45.2,,,110207,n+1,h:-732>m:13>m:87>h:-58>n:253235,"{cost=2500000,itemID=246490,minReputation={47,3000},spellID=1242338}",concrete_att_source_needs_restriction_review
2333,Ironforge Fencepost,246490,2333,Zones.lua,n,50309,87,55.8,47.8,,110207,40003,n+1,h:-732>m:13>m:87>h:-58>n:50309,"{awp=110207,cost=2500000,itemID=246490,minReputation={47,3000},spellID=1242338}",concrete_att_source_needs_restriction_review
