recipe_spell_id,name,profession,decision,source_parent_kind,source_parent_id,source_file,ancestry,map_id,x,y,source_fields,profession_source_file,profession_source_line
1288335,Snakeskin Lining,Tailoring,concrete_acquisition_candidate,inst,1322,Instances.lua,h:-75>x:12>inst:1322>d:101>e:2880,2509,47.2,68.5,"{itemID=270900,requireSkill=197,skillID=2918}",Tailoring-upstream.lua,2030
1289744,Concentrated Silvermoon Health Potion,Alchemy,concrete_acquisition_candidate,n,268228,Zones.lua,h:-732>m:2537>m:2512>h:-31>ah:2772>h:-58>n:268228,2512,58.8,45,"{cost={{""c"",3256,150}},itemID=271885,minReputation={2772,5},requireSkill=171,skillID=2906}",Alchemy-upstream.lua,1394
1289745,Liquid Luster,Alchemy,concrete_acquisition_candidate,n,272751,Zones.lua,h:-732>m:2537>m:2512>m:2509>h:-58>n:272751,2509,51.2,62.4,"{cost={{""c"",3256,150},{""c"",3448,5000}},itemID=271888,requireSkill=171,skillID=2906}",Alchemy-upstream.lua,1396
1289746,Alluring Nostrum,Alchemy,concrete_acquisition_candidate,n,257598,Zones.lua,h:-732>m:2537>m:2512>h:-31>ah:2773>h:-58>n:257598,2512,51.6,49.8,"{cost={{""c"",3261,150}},itemID=271891,minReputation={2773,3},requireSkill=171,skillID=2906}",Alchemy-upstream.lua,1393
1290561,Vantus Rune: Tides,Inscription,concrete_acquisition_candidate,n,268228,Zones.lua,h:-732>m:2537>m:2512>h:-31>ah:2772>h:-58>n:268228,2512,58.8,45,"{cost={{""c"",3261,150}},itemID=272196,minReputation={2772,5},requireSkill=773,skillID=2913}",Inscription-upstream.lua,1911
1291683,Hunter's Ritual Stone,Blacksmithing,concrete_acquisition_candidate,n,252956,ExpansionFeatures.lua,h:-735>x:12>h:-671>h:-58>n:252956,2393,55.7,65.8,"{awp=120100,cost={{""c"",3392,500},{""c"",3257,150}},itemID=273061,requireSkill=164,skillID=2907}",Blacksmithing-upstream.lua,2626
1291687,Coiled Snake-Eye,Engineering,external_world_drop,worlddrop,,wow-professions.com,profession UI source: Drop - World Creatures,,,,"{itemID=273064,requireSkill=202,skillID=2910}",Engineering-upstream.lua,1572
1291690,Polished Ammolite,Jewelcrafting,external_world_drop,worlddrop,,wow-professions.com,profession UI source: Drop - World Creatures,,,,"{itemID=273067,requireSkill=755,skillID=2914}",Jewelcrafting-upstream.lua,2645
1291691,Adorned Fang,Leatherworking,concrete_acquisition_candidate,inst,1320,Instances.lua,h:-75>x:12>inst:1320>d:109>e:2887,2509,47.2,22.7,"{itemID=273070,requireSkill=165,skillID=2915}",Leatherworking-upstream.lua,2767
1291694,Enchant Weapon - Rite of the Hash'ey,Enchanting,concrete_acquisition_candidate,n,268228,Zones.lua,h:-732>m:2537>m:2512>h:-31>ah:2772>h:-58>n:268228,2512,58.8,45,"{cost={{""c"",3258,150}},itemID=273073,minReputation={2772,5},requireSkill=333,skillID=2909}",Enchanting-upstream.lua,1607
1295534,Amani Cornucopia,Cooking,concrete_acquisition_candidate,n,257913,Zones.lua,h:-732>m:2537>m:2393>h:-44>prof:185>n:257913,2393,56.4,69.8,"{awp=120100,learnedAt=100,requireSkill=185,skillID=2908}",Cooking-upstream.lua,1012
1295776,Loa's Gathering,Cooking,concrete_acquisition_candidate,n,268228,Zones.lua,h:-732>m:2537>m:2512>h:-31>ah:2772>h:-58>n:268228,2512,58.8,45,"{cost={{""c"",3316,1500}},itemID=275300,minReputation={2772,5},requireSkill=185,skillID=2908}",Cooking-upstream.lua,1017
1295777,Feast of Knowledge,Cooking,concrete_acquisition_candidate,n,257598,Zones.lua,h:-732>m:2537>m:2512>h:-31>ah:2773>h:-58>n:257598,2512,51.6,49.8,"{cost={{""c"",3316,1500}},itemID=275301,minReputation={2773,4},requireSkill=185,skillID=2908}",Cooking-upstream.lua,1016
1295783,Venom-Spiced Cutlets,Cooking,concrete_acquisition_candidate,n,253843,Zones.lua,h:-732>m:2537>m:2512>h:-58>n:253843,2512,57.2,48.3,"{cost={{""c"",3316,750},{""i"",274596,250}},itemID=275271,requireSkill=185,skillID=2908}",Cooking-upstream.lua,1021
1296418,Puffer Plate,Cooking,concrete_acquisition_candidate,n,257598,Zones.lua,h:-732>m:2537>m:2512>h:-31>ah:2773>h:-58>n:257598,2512,51.6,49.8,"{cost={{""c"",3316,1500}},itemID=278332,minReputation={2773,2},requireSkill=185,skillID=2908}",Cooking-upstream.lua,1018
1296419,Sweet-And-Sour Skewers,Cooking,concrete_acquisition_candidate,,,Craftables.lua,h:-23>x:12>prof:356>ah:278329,,,,"{awp=120001,itemID=275273,requireSkill=185,skillID=2908} | {awp=120001,itemID=278331,requireSkill=185,skillID=2908}",Cooking-upstream.lua,1020
