decision,decision_basis,acquisition_expansion,first_trading_post_patch,first_patch_value,kind,collectible_id,att_source_id,name,item_id,occurrence_count,source_type_enum,source_text,evidence,note
missing_trading_post_entry,still_absent_from_1_14_0_despite_att_trading_post_source,dragonflight,10.2.0,100200,mount,224,49322,Swift Zhevra,37719,2,7,|cFFFFD200Recruit-a-Friend |r,https://worldofwarcraft.blizzard.com/en-us/news/24295383,Rotating availability; historical external origin does not remove the in-game acquisition route.
missing_trading_post_entry,still_absent_from_1_14_0_despite_att_trading_post_source,dragonflight,10.2.0,100200,mount,440,107516,Spectral Gryphon,76889,2,7,|cFFFFD200Promotion:|r Scroll of Resurrection|n,https://worldofwarcraft.blizzard.com/en-gb/news/24022618/updated-411-novembers-trading-post-is-out-of-this-world,Rotating availability; historical external origin does not remove the in-game acquisition route.
missing_trading_post_entry,still_absent_from_1_14_0_despite_att_trading_post_source,dragonflight,10.2.0,100200,mount,441,107517,Spectral Wind Rider,76902,2,7,|cFFFFD200Promotion:|r Scroll of Resurrection|n,https://worldofwarcraft.blizzard.com/en-gb/news/24022618/updated-411-novembers-trading-post-is-out-of-this-world,Rotating availability; historical external origin does not remove the in-game acquisition route.
missing_trading_post_entry,still_absent_from_1_14_0_despite_att_trading_post_source,dragonflight,10.1.0,100100,mount,454,171847,Cindermane Charger,118515,2,7,|cFFFFD200Recruit-a-Friend|r,https://worldofwarcraft.blizzard.com/en-us/news/23960048,Rotating availability; historical external origin does not remove the in-game acquisition route.
missing_trading_post_entry,still_absent_from_1_14_0_despite_att_trading_post_source,tww,11.0.7,110007,mount,593,163024,Warforged Nightmare,112326,1,9,|cFFFFD200In-Game Shop|r,ATT/TradingPost.lua:mount:163024,Rotating availability; historical external origin does not remove the in-game acquisition route.
missing_trading_post_entry,still_absent_from_1_14_0_despite_att_trading_post_source,dragonflight,10.2.6,100206,mount,1051,272770,The Dreadwake,160589,2,9,|cFFFFD200In-Game Shop|r |n,https://worldofwarcraft.blizzard.com/en-us/news/24078321/aprils-trading-post-is-piratical-yet-spring-fresh,Rotating availability; historical external origin does not remove the in-game acquisition route.
missing_trading_post_entry,still_absent_from_1_14_0_despite_att_trading_post_source,midnight,12.0.7,120007,mount,1947,428067,Hateforged Blazecycle,211087,1,7,|cFFFFD200Promotion|r |n,https://worldofwarcraft.blizzard.com/en-us/news/24294061/get-ready-for-a-showdown-in-augusts-trading-post,Rotating availability; historical external origin does not remove the in-game acquisition route.
missing_trading_post_entry,still_absent_from_1_14_0_despite_att_trading_post_source,tww,11.2.5,110205,mount,1957,431359,Soaring Sky Fox,212228,1,9,|cFFFFD200In-Game Shop|r|n,https://news.blizzard.com/en-gb/article/24243210/decembers-trading-post-is-cool-as-ice,Rotating availability; historical external origin does not remove the in-game acquisition route.
missing_trading_post_entry,still_absent_from_1_14_0_despite_att_trading_post_source,tww,11.1.5,110105,pet,168,168,Rocket Chicken,34492,1,8,|cFFFFD200Trading Card Game:|r March of the Legion,https://worldofwarcraft.blizzard.com/en-us/news/24201672/welcome-to-critter-country-during-mays-trading-post,Rotating availability; historical external origin does not remove the in-game acquisition route.
missing_trading_post_entry,still_absent_from_1_14_0_despite_att_trading_post_source,dragonflight,10.1.5,100105,pet,179,179,Spirit of Competition,207962,1,11,|cFFFFD200Promotion:|r Battleground Event|n|cFFFFD200Trading Post|r,https://worldofwarcraft.blizzard.com/en-us/news/24295383,Rotating availability; historical external origin does not remove the in-game acquisition route.
missing_trading_post_entry,still_absent_from_1_14_0_despite_att_trading_post_source,dragonflight,10.1.5,100105,pet,242,242,Spectral Tiger Cub,49343,2,8,|cFFFFD200Trading Card Game:|r Scourgewar,https://worldofwarcraft.blizzard.com/en-us/news/24295383,Rotating availability; historical external origin does not remove the in-game acquisition route.
missing_trading_post_entry,still_absent_from_1_14_0_despite_att_trading_post_source,dragonflight,10.0.5,100005,pet,248,248,Pandaren Monk,49665,1,9,|cFFFFD200In-Game Shop|r,https://worldofwarcraft.blizzard.com/en-us/news/24295383,Rotating availability; historical external origin does not remove the in-game acquisition route.
missing_trading_post_entry,still_absent_from_1_14_0_despite_att_trading_post_source,dragonflight,10.1.7,100107,pet,249,249,Lil' K.T.,49693,1,9,|cFFFFD200In-Game Shop|r,ATT/TradingPost.lua:pet:249,Rotating availability; historical external origin does not remove the in-game acquisition route.
missing_trading_post_entry,still_absent_from_1_14_0_despite_att_trading_post_source,midnight,12.0.5,120005,pet,665,665,Sand Scarab,72153,1,8,|cFFFFD200Trading Card Game: |rTomb of the Forgotten|n,https://news.blizzard.com/en-us/article/24271859/take-a-midsummer-stroll-over-to-the-june-trading-post,Rotating availability; historical external origin does not remove the in-game acquisition route.
missing_trading_post_entry,still_absent_from_1_14_0_despite_att_trading_post_source,midnight,12.0.5,120005,pet,4595,4595,Lil' Flameo,224576,1,7,|cFFFFD200Promotion:|r Steelseries x World of Warcraft|n,https://worldofwarcraft.blizzard.com/en-us/news/24259074/get-decked-out-with-gilnean-flair-at-mays-trading-post,Rotating availability; historical external origin does not remove the in-game acquisition route.
missing_trading_post_entry,still_absent_from_1_14_0_despite_att_trading_post_source,midnight,12.0.7,120007,pet,4617,4617,Thrillbot 9000,228790,1,7,|cFFFFD200Promotion|r |n,https://wow-site-bwa-production-eks-prod-use1-01.worldofwarcraft.blizzard.com/en-us/news/24287639/der-handelsposten-im-juli-entfacht-ein-blaues-wunder,Rotating availability; historical external origin does not remove the in-game acquisition route.
missing_trading_post_entry,still_absent_from_1_14_0_despite_att_trading_post_source,midnight,12.0.7,120007,pet,4618,4618,Chillbot 9000,228793,1,7,|cFFFFD200Promotion|r |n,https://wow-site-bwa-production-eks-prod-use1-01.worldofwarcraft.blizzard.com/en-us/news/24287639/der-handelsposten-im-juli-entfacht-ein-blaues-wunder,Rotating availability; historical external origin does not remove the in-game acquisition route.
