"acquisition_expansion","achievement_id","name","description","category","source","db2_category_id","criteria_tree_id","provider_plugins","provider_files","attribution_basis"
"battle_for_azeroth","12930","Battle Safari","Catch every battle pet on Zandalar and Kul Tiras","collections","pets","15118","68335","HandyNotes_BattleForAzeroth","HandyNotes_BattleForAzeroth:common.lua","handynotes_provider"
"battle_for_azeroth","12936","Battle on Zandalar and Kul Tiras","Complete 20 Pet Battle World Quests on Zandalar and Kul Tiras with a full team of level 25 pets.","collections","pets","15119","68379","HandyNotes_BattleForAzeroth","HandyNotes_BattleForAzeroth:zones\drustvar.lua;HandyNotes_BattleForAzeroth:zones\nazmir.lua;HandyNotes_BattleForAzeroth:zones\stormsong_valley.lua;HandyNotes_BattleForAzeroth:zones\tiragarde_sound.lua;HandyNotes_BattleForAzeroth:zones\voldun.lua;HandyNotes_BattleForAzeroth:zones\zuldazar.lua","handynotes_provider"
"battle_for_azeroth","13270","Beast Mode","Defeat 15 Master Tamers on Kul Tiras or Zandalar with a team of all level 25 Beast pets.","collections","pets","15119","71739","HandyNotes_BattleForAzeroth","HandyNotes_BattleForAzeroth:zones\drustvar.lua;HandyNotes_BattleForAzeroth:zones\nazmir.lua;HandyNotes_BattleForAzeroth:zones\stormsong_valley.lua;HandyNotes_BattleForAzeroth:zones\tiragarde_sound.lua;HandyNotes_BattleForAzeroth:zones\voldun.lua;HandyNotes_BattleForAzeroth:zones\zuldazar.lua","handynotes_provider"
"battle_for_azeroth","13271","Critters With Huge Teeth","Defeat 15 Master Tamers on Kul Tiras or Zandalar with a team of all level 25 Critter pets.","collections","pets","15119","71755","HandyNotes_BattleForAzeroth","HandyNotes_BattleForAzeroth:zones\drustvar.lua;HandyNotes_BattleForAzeroth:zones\nazmir.lua;HandyNotes_BattleForAzeroth:zones\stormsong_valley.lua;HandyNotes_BattleForAzeroth:zones\tiragarde_sound.lua;HandyNotes_BattleForAzeroth:zones\voldun.lua;HandyNotes_BattleForAzeroth:zones\zuldazar.lua","handynotes_provider"
"battle_for_azeroth","13272","Dragons Make Everything Better","Defeat 15 Master Tamers on Kul Tiras or Zandalar with a team of all level 25 Dragonkin pets.","collections","pets","15119","71757","HandyNotes_BattleForAzeroth","HandyNotes_BattleForAzeroth:zones\drustvar.lua;HandyNotes_BattleForAzeroth:zones\nazmir.lua;HandyNotes_BattleForAzeroth:zones\stormsong_valley.lua;HandyNotes_BattleForAzeroth:zones\tiragarde_sound.lua;HandyNotes_BattleForAzeroth:zones\voldun.lua;HandyNotes_BattleForAzeroth:zones\zuldazar.lua","handynotes_provider"
"battle_for_azeroth","13273","Element of Success","Defeat 15 Master Tamers on Kul Tiras or Zandalar with a team of all level 25 Elemental pets.","collections","pets","15119","71759","HandyNotes_BattleForAzeroth","HandyNotes_BattleForAzeroth:zones\drustvar.lua;HandyNotes_BattleForAzeroth:zones\nazmir.lua;HandyNotes_BattleForAzeroth:zones\stormsong_valley.lua;HandyNotes_BattleForAzeroth:zones\tiragarde_sound.lua;HandyNotes_BattleForAzeroth:zones\voldun.lua;HandyNotes_BattleForAzeroth:zones\zuldazar.lua","handynotes_provider"
"battle_for_azeroth","13274","Fun With Flying","Defeat 15 Master Tamers on Kul Tiras or Zandalar with a team of all level 25 Flying pets.","collections","pets","15119","71761","HandyNotes_BattleForAzeroth","HandyNotes_BattleForAzeroth:zones\drustvar.lua;HandyNotes_BattleForAzeroth:zones\nazmir.lua;HandyNotes_BattleForAzeroth:zones\stormsong_valley.lua;HandyNotes_BattleForAzeroth:zones\tiragarde_sound.lua;HandyNotes_BattleForAzeroth:zones\voldun.lua;HandyNotes_BattleForAzeroth:zones\zuldazar.lua","handynotes_provider"
"battle_for_azeroth","13275","Magician's Secrets","Defeat 15 Master Tamers on Kul Tiras or Zandalar with a team of all level 25 Magic pets.","collections","pets","15119","71763","HandyNotes_BattleForAzeroth","HandyNotes_BattleForAzeroth:zones\drustvar.lua;HandyNotes_BattleForAzeroth:zones\nazmir.lua;HandyNotes_BattleForAzeroth:zones\stormsong_valley.lua;HandyNotes_BattleForAzeroth:zones\tiragarde_sound.lua;HandyNotes_BattleForAzeroth:zones\voldun.lua;HandyNotes_BattleForAzeroth:zones\zuldazar.lua","handynotes_provider"
"battle_for_azeroth","13277","Machine Learning","Defeat 15 Master Tamers on Kul Tiras or Zandalar with a team of all level 25 Mechanical pets.","collections","pets","15119","71765","HandyNotes_BattleForAzeroth","HandyNotes_BattleForAzeroth:zones\drustvar.lua;HandyNotes_BattleForAzeroth:zones\nazmir.lua;HandyNotes_BattleForAzeroth:zones\stormsong_valley.lua;HandyNotes_BattleForAzeroth:zones\tiragarde_sound.lua;HandyNotes_BattleForAzeroth:zones\voldun.lua;HandyNotes_BattleForAzeroth:zones\zuldazar.lua","handynotes_provider"
"battle_for_azeroth","13278","Not Quite Dead Yet","Defeat 15 Master Tamers on Kul Tiras or Zandalar with a team of all level 25 Undead pets.","collections","pets","15119","71767","HandyNotes_BattleForAzeroth","HandyNotes_BattleForAzeroth:zones\drustvar.lua;HandyNotes_BattleForAzeroth:zones\nazmir.lua;HandyNotes_BattleForAzeroth:zones\stormsong_valley.lua;HandyNotes_BattleForAzeroth:zones\tiragarde_sound.lua;HandyNotes_BattleForAzeroth:zones\voldun.lua;HandyNotes_BattleForAzeroth:zones\zuldazar.lua","handynotes_provider"
