domain,id_kind,natural_id,label,publishers,publisher_count,families,map_ids,coords,quest_ids,loot_item_ids,achievement_ids,criteria_ids,rewards,node_classes,spawn_count
achievement_criteria,achievement_id,1956,Downstairs; bookshelf on the left,HandyNotes_WrathOfTheLichKing,1,handler,125,"125:0.2600,0.5100;125:0.3000,0.4600;125:0.4300,0.4700;125:0.4600,0.3900;125:0.4700,0.3900;125:0.5200,0.5500;125:0.5600,0.4500;125:0.6400,0.5200",,43824,1956,7236;7237;7238;7239;7240;7241;7242;7243,,,8
achievement_criteria,achievement_id,6716,Inside the Ancient Passage,HandyNotes_MistsOfPandariaTreasures,1,handler,371;379;418;422;434,"371:0.6772,0.2935;379:0.7755,0.9533;418:0.3278,0.2941;422:0.6750,0.6090;434:0.5505,0.1599",,,6716,1;2;3;4,,,5
achievement_criteria,achievement_id,6754,Inside the Tomb of Conquerors,HandyNotes_MistsOfPandariaTreasures,1,handler,371;379;385;390;418,"371:0.4226,0.1747;379:0.5290,0.4660;385:0.5840,0.7121;390:0.4024,0.7748;418:0.5094,0.3169",,,6754,1;2;3;4,,,5
achievement_criteria,achievement_id,6846,,HandyNotes_MistsOfPandariaTreasures,1,handler,371;376;379;418,"371:0.6601,0.8756;376:0.6122,0.3469;379:0.7448,0.8355;418:0.3055,0.3857",,,6846,1;2;3;4,,,4
achievement_criteria,achievement_id,6847,,HandyNotes_MistsOfPandariaTreasures,1,handler,379;388,"379:0.5030,0.7930;379:0.7172,0.6302;388:0.6550,0.5010;388:0.8408,0.7286",,,6847,1;2;3;4,,,4
achievement_criteria,achievement_id,6850,,HandyNotes_MistsOfPandariaTreasures,1,handler,371;376;379;418,"371:0.2638,0.2833;376:0.8319,0.2118;379:0.4576,0.6190;418:0.5239,0.8766",,,6850,1;2;3;4,,,4
achievement_criteria,achievement_id,6855,,HandyNotes_MistsOfPandariaTreasures,1,handler,371;379;388;390;418,"371:0.4708,0.4514;371:0.5588,0.5685;379:0.4090,0.4250;379:0.4382,0.5119;379:0.6776,0.4833;388:0.3774,0.6291;390:0.6880,0.4422;418:0.4050,0.5662",,,6855,1;2;3;4;5;6;7;8,,,8
achievement_criteria,achievement_id,6856,,HandyNotes_MistsOfPandariaTreasures,1,handler,376;418,"376:0.2025,0.5586;376:0.3457,0.6387;376:0.5509,0.4713;418:0.7221,0.3101",,,6856,1;2;3;4,,,4
achievement_criteria,achievement_id,6857,,HandyNotes_MistsOfPandariaTreasures,1,handler,422,"422:0.3553,0.3261;422:0.4838,0.3285;422:0.5252,0.1006;422:0.5990,0.5470",,,6857,1;2;3;4,,,4
achievement_criteria,achievement_id,6858,,HandyNotes_MistsOfPandariaTreasures,1,handler,371;376;379;390,"371:0.3574,0.3046;376:0.1884,0.3170;379:0.6304,0.4082;390:0.2662,0.2149;390:0.5293,0.6865",,,6858,1;2;3;4;5,,,5
